代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
000001,平安银行,-0.79,0.08,12.51,5.5,4.3,银行,金融-银行,       2427.68亿,-0.1,12.5,       2427.63亿,零售金融业务,12.51,786363,98343.39,6.68,0.41,深圳,0,10006,12.62,12.69,12.43,12.61,0.76,2.06,12.51,446986,339377,1.32,4093,2418,--  ,466.26,--  ,--  ,194.06,-0.71,4389,179,0.0001,-2,0.24,1.62,-11.21,-23.02,0.91,       1075.97亿,44.32,5.94,0.38,KDJ死叉,9,13,13,0.08,0.63,-1.43,-0.79,-0.87,-1.42,0.64,0,20220818,19910403,194.06,--  ,--  ,51087.76,4120.98,--  ,91.93,0,112.68,55.16,0,0,0,808.16,920.22,640.61,279.61,77.69,277.83,220.88,220.88,220.42,1693.41,1504.83,-205.95,493029,17445,21.82万,25.62,8.67,0.71,1.61,2.64,1.82,1.030㈡,17.63,4.16,8.73,7.75,8.07,   5.36㈡,30.39,30.39,24,--  ,40745,1,--  ,--  ,--  
000002,万 科Ａ,-0.24,-0.17,16.8,7.99,16.32,全国地产,建筑地产-房地产,       1633.67亿,-0.04,16.8,       1632.52亿,房地产及相关业务,16.81,696804,116590.23,8.68,0.72,深圳,0.01,6635,16.93,16.95,16.57,16.84,0.72,2.26,16.73,314991,381813,0.82,790,598,--  ,694.42,--  ,--  ,97.17,-0.15,4673,149,0.0002,-1,5.72,8.53,-0.47,-10.54,1.08,       1087.72亿,66.58,8.24,0.43,-- -- ,13,14,13,0.53,0.65,-1.6,-0.65,-0.77,-0.88,1.39,0.42,20220831,19910129,116.31,--  ,19.07,18792.02,2342.35,1574.74,79.16,15377.16,142.22,112.02,12434.38,10230.27,65.22,204.77,2069.16,1645.71,242.38,6.2,243.59,181.03,122.23,117.21,936.44,82.88,-33.03,518181,12495,20.99万,10.64,23.82,0.83,23.58,0.94,5.77,1.050㈡,20.28,1.76,8.05,0.71,12.46,   5.22㈡,20.46,11.71,8.75,2.89,139494,2,--  ,--  ,--  
000004,ST国华,1.4,-0.2,9.39,--  ,326.72,软件服务,信息产业-软件服务,         12.47亿,0.13,9.39,         10.92亿,安全类,9.4,15000,1397.45,--  ,1.29,深圳,0.01,315,9.21,9.43,9.21,9.26,0.83,2.38,9.32,9066,5934,1.53,33,175,--  ,9.85,--  ,--  ,1.16,1.49,443,34,0.0029,1,-1.37,-0.84,-2.39,-51.65,1.82,          7.75亿,62.16,--  ,0.79,-- -- ,7,11,13,-0.54,1.84,-0.54,0.65,1.95,-0.42,1.95,0.76,20220901,19910114,1.33,--  ,--  ,10.41,9.12,0,12.35,5.45,0.02,0.32,1.24,0.21,3.23,12.09,0.23,0.09,-0.4,0,-0.41,-0.36,-0.35,-0.36,-4.66,-0.34,-0.34,17285,4778,4.49万,-681.1,-75.63,1.61,-37.13,55.04,0,-0.230㈡,5.85,9.1,-3.51,-0.25,87.66,  -3.88㈡,59.99,-178.49,-158.79,0.22,309,4,--  ,--  ,--  
000005,ST星源,0.56,0,1.81,142.63,28.74,环境保护,公用事业-环境保护,         19.16亿,0.01,1.81,         19.15亿,环保业务收入,1.82,38238,690.17,13.78,0.36,深圳,0,948,1.8,1.82,1.79,1.8,0.71,1.67,1.8,21550,16688,1.29,2155,11071,--  ,3.6,--  ,--  ,10.58,0.64,262,146,0.0014,1,-2.68,3.43,-0.55,-21.3,0.42,         16.51亿,86.19,--  ,0.39,-- -- ,3,9,9,0,1.11,-0.56,0,0.56,-0.55,1.12,0.56,20220827,19901210,10.59,--  ,--  ,23.71,13.84,0.98,37.48,12.34,0.24,0.53,8.18,0.14,1.58,6.81,0.89,0.76,0.03,0.39,0.04,0.04,0.07,0.04,-3.85,0.31,-0.38,91786,9940,1.80万,-96.53,-45.39,1.38,62.51,21.44,0,0.006㈡,1.31,0.64,-0.36,0.03,58.37,   0.49㈡,14.98,3.88,4.63,0.07,563,5,--  ,--  ,--  
000006,深振业Ａ,0.46,0,4.33,13.12,--  ,区域地产,建筑地产-房地产,         58.45亿,0.02,4.32,         58.45亿,房产销售,4.33,115604,4971.76,10.79,0.86,深圳,0,1369,4.29,4.34,4.27,4.31,0.81,1.62,4.3,51538,64066,0.8,665,2555,--  ,17.93,--  ,--  ,13.5,0.55,2377,49,0.0004,2,1.88,5.87,3.1,-0.23,1.36,         36.83亿,63.01,15.53,0.52,多头排列,14,10,11,-0.46,0.7,-0.93,-0.23,0.93,-0.23,1.41,0.7,20220825,19920427,13.5,--  ,--  ,244.67,77.05,5.56,66.23,204.55,0.42,0,86,162.44,0.18,4.84,13.54,8.03,3.15,0.36,3.16,2.4,2.23,2.22,37.6,2.42,10.02,66101,12868,5.57万,-42.59,-8.1,0.76,24.11,4.32,2.79,0.165㈡,5.71,0.36,2.79,0.18,31.49,   2.89㈡,40.73,23.27,17.75,--  ,403,6,--  ,--  ,--  
000007,全新好,3.05,0.11,8.78,--  ,--  ,酒店餐饮,社会服务-酒店餐饮,         30.42亿,0.26,8.77,         27.13亿,汽车销售,8.78,278992,24192.62,76.1,9.03,深圳,0.13,5785,8.62,8.88,8.47,8.52,1.31,4.81,8.67,125590,153402,0.82,1,4404,--  ,301.44,--  ,--  ,3.09,3.14,2517,111,0.0036,2,9.2,11.7,23.84,44.17,10.75,         22.79亿,74.92,94.28,0,多头排列,8,8,12,1.17,4.23,-0.59,1.76,1.86,-1.13,3.66,1.29,20220830,19920413,3.46,--  ,--  ,4.33,0.91,0.11,76.43,3.08,0.48,0,2.12,0.26,0.15,1.57,1.19,1.02,-0.02,-0.01,-0.11,-0.12,-0.1,0,-3.59,0.87,0.83,9465,27424,24.08万,-337.37,116.93,33.31,34.84,25.52,0,-0.029㈡,0.26,0.45,-1.04,0.25,21.09, -10.94㈡,14.45,-1.78,-10.06,--  ,82,7,--  ,--  ,--  
000008,神州高铁,0.84,0,2.4,--  ,20.99,运输设备,装备制造-运输设备,         66.74亿,0.02,2.4,         64.67亿,车辆检修,2.41,102730,2467.3,--  ,0.38,北京,0,1662,2.39,2.42,2.38,2.38,0.6,1.68,2.4,61725,41005,1.51,3589,5867,--  ,11.09,--  ,--  ,26.94,0.93,1845,56,0.0002,1,-1.64,-0.83,-5.14,-18.37,0.63,         39.17亿,58.69,--  ,0.79,平台整理,7,2,5,0.42,1.68,0,0.84,0.42,-0.83,0.84,0,20220831,19920507,27.81,--  ,--  ,117.96,51.22,1.33,55.46,54.44,4.62,2.69,49.3,11.52,24.98,27.88,5.81,3.51,-0.78,0.61,-0.8,-0.85,-0.84,-1.01,-2.72,2.39,-3.82,98842,16512,3.96万,43.39,10.05,1.3,27.94,11.49,0,-0.030㈡,1.84,1,-0.1,0.09,43.42,  -1.64㈡,39.62,-13.51,-14.69,0.98,2240,8,--  ,--  ,--  
000009,中国宝安,4.57,-0.19,15.09,45.98,32.22,电气设备,装备制造-电气设备,        389.20亿,0.66,15.09,        385.01亿,营业收入,15.1,788863,117730.33,37.58,3.09,深圳,0.02,12032,14.6,15.33,14.4,14.43,1.27,6.44,14.92,359542,429321,0.84,596,1553,--  ,496.69,--  ,--  ,25.51,4.66,4464,177,0.0007,1,0.8,5.6,10.39,4.86,4.49,        265.35亿,68.18,50,1.85,KDJ金叉,2,12,2,1.18,6.24,-0.21,3.4,3.36,-1.57,4.79,1.18,20220825,19910625,25.79,--  ,--  ,452.17,83.97,82.83,63.11,302.2,59.88,12.45,209.79,126.37,53.22,14.22,135.11,104.08,12.28,1.12,12.21,10.18,4.23,4.29,40.8,-2.18,1.32,246858,7123,10.75万,-37.8,68.45,4.63,-178.49,2.88,0.23,0.164㈡,3.26,0.55,1.58,-0.08,18.57,   5.04㈡,22.97,9.09,7.53,6.32,14335,9,--  ,--  ,--  
000010,美丽生态,0.56,0,3.57,200.6,7.75,建筑工程,建筑地产-建筑,         37.80亿,0.02,3.57,         18.64亿,工程组合,3.58,99570,3557.97,161.11,1.91,深圳,0.01,464,3.54,3.62,3.54,3.55,0.8,2.25,3.57,55990,43580,1.28,854,1561,--  ,9.31,--  ,--  ,5.22,0.65,1423,70,0.0013,2,-0.28,3.78,-14.8,-5.31,2.03,         17.52亿,46.36,151.78,1.12,-- -- ,11,5,14,-0.28,1.97,-0.28,0.56,0.85,-1.38,0.85,0,20220829,19951027,10.59,--  ,--  ,45.75,12.51,3.44,65.14,35.54,0.16,0.02,28.26,1.64,23.33,19.68,4.35,3.74,0.21,0,0.16,0.12,0.09,-0.1,-17.84,-5.71,3.3,38064,12893,4.60万,18.09,-22.79,3.02,-6.62,8.69,0,0.009㈡,1.18,1.86,-1.69,-0.54,27.34,   0.75㈡,14.01,4.86,2.73,--  ,290,10,--  ,--  ,--  
000011,深物业A,-1.46,0.2,10.14,12.05,--  ,区域地产,建筑地产-房地产,         60.43亿,-0.15,10.13,         53.38亿,房地产,10.14,47081,4779.6,6.02,0.89,深圳,0.01,314,10.26,10.32,10.07,10.29,1.28,2.43,10.15,29457,17624,1.67,423,119,--  ,12.83,--  ,--  ,5.26,-1.37,1715,27,0.0005,-1,-0.39,-0.78,-10.27,-7.65,2.52,         18.96亿,31.38,10.47,0.56,空头排列,13,10,9,-0.29,0.29,-2.14,-1.36,-1.17,-1.74,0.7,-0.1,20220829,19920330,5.96,0.68,--  ,151.66,41.38,0.39,72.46,130.69,0.89,0.01,70.09,98.87,3.73,0.8,19.88,10.69,3.33,0.01,3.34,2.41,2.51,2.57,34.38,-3.96,-4.93,50123,5080,5.15万,-62.98,-26.54,1.46,-15.26,3.04,6.71,0.421㈡,6.94,0.14,5.77,-0.66,27.28,   6.06㈡,46.25,16.74,12.14,0.03,7658,11,--  ,--  ,--  
