代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,上市日期,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
000001,平安银行,-3.38,-0.15,12.56,5.52,4.39,银行,金融-银行,       2437.38亿,19910403,-0.44,12.55,       2437.34亿,零售金融业务,12.56,1357448,171925.29,6.94,0.7,深圳,0.01,30005,12.92,12.95,12.56,13,0.97,3,12.67,761157,596291,1.28,8703,940,--  ,987.48,--  ,--  ,194.06,-1.08,4542,299,0.0002,-1,-3.01,2.53,-10.09,-22.71,1.58,       1080.27亿,44.32,6.18,0.28,上穿BOLL上轨,5,13,13,-0.62,-0.38,-3.38,-2.54,-2.79,-3.01,0,-0.85,20220818,194.06,--  ,--  ,51087.76,4120.98,--  ,91.93,0,112.68,55.16,0,0,0,808.16,920.22,640.61,279.61,77.69,277.83,220.88,220.88,220.42,1693.41,1504.83,-205.95,493029,17445,21.91万,25.62,8.67,0.71,1.62,2.65,1.75,1.030㈡,17.63,4.16,8.73,7.75,8.07,   5.36㈡,30.39,30.39,24,--  ,40745,1,--  ,--  ,--  
000002,万 科Ａ,-2.7,-0.16,18,8.56,17.88,全国地产,建筑地产-房地产,       1750.36亿,19910129,-0.5,18,       1749.12亿,房地产开发及相关资产经营业务,18.01,1144959,208516.35,9.55,1.18,深圳,0,17482,18.35,18.59,17.91,18.5,1.05,3.68,18.21,667799,477160,1.4,1534,64,--  ,426.27,--  ,--  ,97.17,-0.4,4726,242,0.0002,-1,-1,13.85,2.33,-4.15,1.77,       1165.42亿,66.58,9.08,0.32,多头排列,2,5,13,-0.81,0.49,-3.19,-1.57,-1.91,-3.17,0.5,-1.14,20220831,116.31,--  ,19.07,18792.02,2342.35,1574.74,79.16,15377.16,142.22,112.02,12434.38,10230.27,65.22,204.77,2069.16,1645.71,242.38,6.2,243.59,181.03,122.23,117.21,936.44,82.88,-33.03,518181,12495,22.49万,10.64,23.82,0.89,25.26,1.01,5.24,1.050㈡,20.28,1.76,8.05,0.71,12.46,   5.22㈡,20.46,11.71,8.75,2.89,139494,2,--  ,--  ,--  
000004,ST国华,-2.85,0.21,9.54,--  ,318.16,软件服务,信息产业-软件服务,         12.67亿,19910114,-0.28,9.53,         11.10亿,安全类,9.54,46793,4546.32,--  ,4.02,深圳,0.16,724,9.83,9.94,9.48,9.82,1.72,4.68,9.72,27169,19624,1.38,524,270,--  ,131.33,--  ,--  ,1.16,-0.55,1191,39,0.0034,-1,2.25,-1.55,2.7,-50.87,5.67,          7.88亿,62.16,--  ,0.72,-- -- ,3,11,13,0.1,1.22,-3.46,-1.02,-2.95,-4.02,0.63,-1.83,20220913,1.33,--  ,--  ,10.41,9.12,0,12.35,5.45,0.02,0.32,1.24,0.21,3.23,12.09,0.23,0.09,-0.4,0,-0.41,-0.36,-0.35,-0.36,-4.66,-0.34,-0.34,17160,4812,4.59万,-681.1,-75.63,1.63,-37.72,55.92,0,-0.230㈡,5.85,9.1,-3.51,-0.25,87.66,  -3.88㈡,59.99,-178.49,-158.79,0.22,309,4,--  ,--  ,--  
000005,ST星源,-4.32,0.57,1.77,139.48,28.19,环境保护,公用事业-环境保护,         18.74亿,19901210,-0.08,1.76,         18.73亿,环保业务收入,1.77,115956,2082.98,14.08,1.1,深圳,0,664,1.84,1.85,1.76,1.85,1.99,4.86,1.8,85501,30455,2.81,1091,2293,--  ,1.84,--  ,--  ,10.58,-2.02,700,166,0.0016,-2,-5.35,-2.75,-2.75,-23.05,1.33,         15.39亿,82.12,--  ,0.45,-- -- ,8,13,11,-0.54,0,-4.86,-2.7,-3.8,-4.32,0.57,-1.62,20220906,10.59,--  ,--  ,23.71,13.84,0.98,37.48,12.34,0.24,0.53,8.18,0.14,1.58,6.81,0.89,0.76,0.03,0.39,0.04,0.04,0.07,0.04,-3.85,0.31,-0.38,91786,9470,1.68万,-96.53,-45.39,1.35,61.13,20.97,0,0.006㈡,1.31,0.64,-0.36,0.03,58.37,   0.49㈡,14.98,3.88,4.63,0.07,563,5,--  ,--  ,--  
000006,深振业Ａ,-3.8,0.23,4.3,13.03,--  ,区域地产,建筑地产-房地产,         58.05亿,19920427,-0.17,4.29,         58.05亿,房产销售,4.3,243444,10691.97,11.14,1.8,深圳,0.01,1942,4.44,4.49,4.28,4.47,1.37,4.7,4.39,150315,93129,1.61,2159,2265,--  ,47.77,--  ,--  ,13.5,-1.5,2856,85,0.0006,-1,-2.94,4.87,-4.87,-0.92,2.86,         36.58亿,63.01,16.03,0.43,多头排列,5,10,11,-0.67,0.45,-4.25,-1.79,-3.15,-4.23,0.47,-2.01,20220825,13.5,--  ,--  ,244.67,77.05,5.56,66.23,204.55,0.42,0,86,162.44,0.18,4.84,13.54,8.03,3.15,0.36,3.16,2.4,2.23,2.22,37.6,2.42,10.02,66101,12868,5.53万,-42.59,-8.1,0.75,23.94,4.29,2.71,0.165㈡,5.71,0.36,2.79,0.18,31.49,   2.89㈡,40.73,23.27,17.75,--  ,403,6,--  ,--  ,--  
000007,全新好,-2.58,1.41,7.93,--  ,--  ,酒店餐饮,社会服务-酒店餐饮,         27.47亿,19920413,-0.21,7.92,         24.50亿,汽车销售及相关服务,7.93,182801,14433.66,70.55,5.92,深圳,0.02,3459,8.1,8.1,7.7,8.14,1.76,4.91,7.9,92354,90447,1.02,23,67,--  ,51.6,--  ,--  ,3.09,-0.28,2236,82,0.0026,-1,-2.83,1.15,14.1,30.21,7.04,         20.58亿,74.92,87.4,0,-- -- ,10,8,12,-0.49,-0.49,-5.41,-2.95,-2.1,-2.1,2.99,0.37,20220830,3.46,--  ,--  ,4.33,0.91,0.11,76.43,3.08,0.48,0,2.12,0.26,0.15,1.57,1.19,1.02,-0.02,-0.01,-0.11,-0.12,-0.1,0,-3.59,0.87,0.83,9465,27424,21.75万,-337.37,116.93,30.08,31.47,23.05,0,-0.029㈡,0.26,0.45,-1.04,0.25,21.09, -10.94㈡,14.45,-1.78,-10.06,--  ,82,7,--  ,--  ,--  
000008,神州高铁,-2.92,-0.42,2.33,--  ,20.6,运输设备,装备制造-运输设备,         64.79亿,19920507,-0.07,2.33,         62.78亿,车辆检修,2.34,239687,5653.14,--  ,0.89,北京,0,4910,2.41,2.41,2.33,2.4,1.24,3.33,2.36,168337,71350,2.36,8648,1355,--  ,8.41,--  ,--  ,26.94,-0.61,2203,109,0.0004,-4,-5.28,-5.66,-7.17,-20.75,1.47,         38.03亿,58.69,--  ,0.8,MACD死叉,9,2,5,0.42,0.42,-2.92,-1.67,-3.32,-3.32,0,-1.25,20220914,27.81,--  ,--  ,117.96,51.22,1.33,55.46,54.44,4.62,2.69,49.3,11.52,24.98,27.88,5.81,3.51,-0.78,0.61,-0.8,-0.85,-0.84,-1.01,-2.72,2.39,-3.82,96291,16949,3.95万,43.39,10.05,1.27,27.12,11.15,0,-0.030㈡,1.84,1,-0.1,0.09,43.42,  -1.64㈡,39.62,-13.51,-14.69,0.98,2240,8,--  ,--  ,--  
000009,中国宝安,-4.74,-0.7,12.67,38.61,30.46,电气设备,装备制造-电气设备,        326.79亿,19910625,-0.63,12.67,        323.27亿,营业收入,12.68,513829,66510.9,33.12,2.01,深圳,0.01,24453,13.26,13.31,12.67,13.3,1.06,4.81,12.94,275365,238464,1.15,916,427,--  ,179.01,--  ,--  ,25.51,-2.43,4182,123,0.0005,-6,-13.34,-26.04,-8.92,-11.95,2.92,        222.79亿,68.18,44.07,1.82,跌破BOLL下轨,10,12,2,-0.3,0.08,-4.74,-2.71,-4.45,-4.81,0,-2.03,20220825,25.79,--  ,--  ,452.17,83.97,82.83,63.11,302.2,59.88,12.45,209.79,126.37,53.22,14.22,135.11,104.08,12.28,1.12,12.21,10.18,4.23,4.29,40.8,-2.18,1.32,246858,7123,9.03万,-37.8,68.45,3.89,-149.86,2.42,0.26,0.164㈡,3.26,0.55,1.58,-0.08,18.57,   5.04㈡,22.97,9.09,7.53,6.32,14335,9,--  ,--  ,--  
000010,美丽生态,-5.25,-0.28,3.43,192.73,7.91,建筑工程,建筑地产-建筑,         36.31亿,19951027,-0.19,3.43,         17.91亿,工程组合,3.44,101806,3558.14,163.37,1.95,深圳,0,1121,3.61,3.64,3.42,3.62,1.14,6.08,3.5,54798,47008,1.17,195,832,--  ,3.1,--  ,--  ,5.22,-2.95,1906,53,0.001,-2,-7.3,-0.29,-21.51,-9.02,2.25,         15.49亿,42.66,153.9,0.92,-- -- ,11,5,14,-0.28,0.55,-5.52,-3.31,-4.99,-5.77,0.29,-1.93,20220907,10.59,--  ,--  ,45.75,12.51,3.44,65.14,35.54,0.16,0.02,28.26,1.64,23.33,19.68,4.35,3.74,0.21,0,0.16,0.12,0.09,-0.1,-17.84,-5.71,3.3,38064,11866,4.07万,18.09,-22.79,2.9,-6.36,8.35,0,0.009㈡,1.18,1.86,-1.69,-0.54,27.34,   0.75㈡,14.01,4.86,2.73,--  ,290,10,--  ,--  ,--  
000011,深物业A,-6.39,-0.09,10.11,12.01,--  ,区域地产,建筑地产-房地产,         60.25亿,19920330,-0.69,10.11,         53.23亿,房地产,10.12,134035,14036.14,6.41,2.55,深圳,0.02,1219,10.7,10.87,10.1,10.8,1.53,7.13,10.47,83912,50123,1.67,24,314,--  ,30.17,--  ,--  ,5.26,-4.09,2840,47,0.0009,-1,-3.07,-1.17,-17.81,-7.92,7.17,         18.91亿,31.38,11.15,0.41,上穿BOLL上轨,2,10,9,-0.93,0.65,-6.48,-3.06,-5.51,-6.99,0.1,-3.33,20220829,5.96,0.68,--  ,151.66,41.38,0.39,72.46,130.69,0.89,0.01,70.09,98.87,3.73,0.8,19.88,10.69,3.33,0.01,3.34,2.41,2.51,2.57,34.38,-3.96,-4.93,50123,5080,5.14万,-62.98,-26.54,1.46,-15.22,3.03,6.3,0.421㈡,6.94,0.14,5.77,-0.66,27.28,   6.06㈡,46.25,16.74,12.14,0.03,7658,11,--  ,--  ,--  
