代码,名称,大板块
880446,电气设备,制造
880471,银行,金融
880381,白酒,食品消费
880492,元器件,电子
880336,化工原料,化工
880491,半导体,电子
880472,证券,金融
880398,医疗保健,医疗
880493,软件服务,软件信息
880445,专用机械,制造
880392,汽车配件,制造
880401,化学制药,医疗
880387,家用电器,生活消费
880391,汽车整车,生活消费
880477,建筑工程,土木地产
880302,煤炭开采,能源
880375,食品,食品消费
880473,保险,金融
880490,通信设备,电子
880329,小金属,金属
880402,生物制药,医疗
880311,石油开采,能源
880448,电器仪表,制造
880403,中成药,医疗
880306,水力发电,能源
880430,航空,高端制造
880308,新型电力,能源
880337,农药化肥,化工
880464,仓储物流,运输
880366,农业综合,第一产业
880307,火力发电,能源
880330,化纤,化工
880483,全国地产,土木地产
880456,环境保护,公共事业
880494,互联网,软件信息
880312,石油加工,能源
880452,电信运营,公共事业
880319,普钢,金属
880439,机械基件,制造
880447,工程机械,制造
880326,铝,金属
880484,区域地产,土木地产
880338,塑料,材料
880325,铜,金属
880474,多元金融,金融
880462,空运,运输
880425,旅游服务,娱乐服务
880432,运输设备,高端制造
880489,IT设备,电子
880369,服饰,生活消费
880420,影视音像,娱乐服务
880468,港口,运输
880346,水泥,材料
880461,水运,运输
880460,铁路,运输
880455,供气供热,公共事业
880410,医药商业,商业
880399,家居用品,生活消费
880421,广告包装,娱乐服务
880373,乳制品,食品消费
880364,饲料,第一产业
880347,玻璃,材料
880320,特种钢,金属
880431,船舶,高端制造
880348,其他建材,材料
880351,矿物制品,高端制造
880422,文教休闲,娱乐服务
880407,百货,商业
880328,黄金,金属
880467,机场,运输
880466,路桥,运输
880355,日用化工,生活消费
880419,出版业,娱乐服务
880350,造纸,制造
880340,染料涂料,化工
880414,商贸代理,商业
880382,啤酒,食品消费
880368,纺织,制造
880485,园区开发,土木地产
880327,铅锌,金属
880321,钢加工,金属
880361,种植业,第一产业
880394,摩托车,生活消费
880497,综合类,综合类
880374,软饮料,食品消费
880478,装修装饰,土木地产
880441,化工机械,制造
880426,旅游景点,娱乐服务
880454,水务,公共事业
880303,焦炭加工,能源
880423,酒店餐饮,娱乐服务
880411,其他商业,商业
880393,汽车服务,娱乐服务
880408,超市连锁,商业
880339,橡胶,材料
880438,机床制造,制造
880442,轻工机械,制造
880383,红黄酒,食品消费
880345,陶瓷,材料
880413,批发业,商业
880486,房产服务,土木地产
880443,纺织机械,制造
880412,商品城,土木地产
880313,石油贸易,能源
880444,农用机械,制造
880409,电器连锁,商业
880362,渔业,第一产业
880453,公共交通,公共事业
880363,林业,第一产业
880463,公路,运输
