code,code,volunit,decimal_point,name,pre_close,sse,sec
000001,000001,100.0,2.0,上证指数,2822.4423828125,sh,index_cn
000002,000002,100.0,2.0,Ａ股指数,2958.1525878906,sh,index_cn
000003,000003,100.0,2.0,Ｂ股指数,210.9898071289,sh,index_cn
000004,000004,100.0,2.0,工业指数,2291.3681640625,sh,index_cn
000005,000005,100.0,2.0,商业指数,2728.3303222656,sh,index_cn
000006,000006,100.0,2.0,地产指数,6482.7084960938,sh,index_cn
000007,000007,100.0,2.0,公用指数,4206.5415039062,sh,index_cn
000008,000008,100.0,2.0,综合指数,2653.0930175781,sh,index_cn
000009,000009,100.0,2.0,上证380,4681.0087890625,sh,index_cn
000010,000010,100.0,2.0,上证180,8242.6240234375,sh,index_cn
000011,000011,100.0,2.0,基金指数,6164.0473632812,sh,index_cn
000012,000012,100.0,2.0,国债指数,182.7626037598,sh,index_cn
000013,000013,100.0,2.0,企债指数,244.2590942383,sh,index_cn
000015,000015,100.0,2.0,红利指数,2414.5524902344,sh,index_cn
000016,000016,100.0,2.0,上证50,2844.8142089844,sh,index_cn
000017,000017,100.0,2.0,新综指,2385.2490234375,sh,index_cn
000018,000018,100.0,2.0,180金融,5052.1455078125,sh,index_cn
000019,000019,100.0,2.0,治理指数,950.007019043,sh,index_cn
000020,000020,100.0,2.0,中型综指,1063.5268554688,sh,index_cn
000021,000021,100.0,2.0,180治理,880.6262207031,sh,index_cn
000022,000022,100.0,2.0,沪公司债,207.7687988281,sh,index_cn
000025,000025,100.0,2.0,180基建,1514.6472167969,sh,index_cn
000026,000026,100.0,2.0,180资源,1913.9505615234,sh,index_cn
000027,000027,100.0,2.0,180运输,866.7457885742,sh,index_cn
000028,000028,100.0,2.0,180成长,3834.5207519531,sh,index_cn
000029,000029,100.0,2.0,180价值,3701.0930175781,sh,index_cn
000030,000030,100.0,2.0,180R成长,2308.7846679688,sh,index_cn
000031,000031,100.0,2.0,180R价值,2672.712890625,sh,index_cn
000032,000032,100.0,2.0,上证能源,1008.6871948242,sh,index_cn
000033,000033,100.0,2.0,上证材料,1774.5788574219,sh,index_cn
000034,000034,100.0,2.0,上证工业,1946.7795410156,sh,index_cn
000035,000035,100.0,2.0,上证可选,2117.1665039062,sh,index_cn
000036,000036,100.0,2.0,上证消费,11750.3701171875,sh,index_cn
000037,000037,100.0,2.0,上证医药,7344.5517578125,sh,index_cn
000038,000038,100.0,2.0,上证金融,5009.8295898438,sh,index_cn
000039,000039,100.0,2.0,上证信息,4330.0405273438,sh,index_cn
000040,000040,100.0,2.0,上证电信,3099.4763183594,sh,index_cn
000041,000041,100.0,2.0,上证公用,1713.4836425781,sh,index_cn
000042,000042,100.0,2.0,上证央企,1404.7961425781,sh,index_cn
000043,000043,100.0,2.0,超大盘,2322.8054199219,sh,index_cn
000044,000044,100.0,2.0,上证中盘,3173.5966796875,sh,index_cn
000045,000045,100.0,2.0,上证小盘,3738.4291992188,sh,index_cn
000046,000046,100.0,2.0,上证中小,3455.1215820312,sh,index_cn
000047,000047,100.0,2.0,上证全指,3107.5817871094,sh,index_cn
000048,000048,100.0,2.0,责任指数,1341.8580322266,sh,index_cn
000049,000049,100.0,2.0,上证民企,1918.9632568359,sh,index_cn
000050,000050,100.0,2.0,50等权,2270.5852050781,sh,index_cn
000051,000051,100.0,2.0,180等权,7690.95703125,sh,index_cn
000052,000052,100.0,2.0,50基本,2769.1455078125,sh,index_cn
000053,000053,100.0,2.0,180基本,9862.9375,sh,index_cn
000054,000054,100.0,2.0,上证海外,1236.4659423828,sh,index_cn
000055,000055,100.0,2.0,上证地企,1166.9241943359,sh,index_cn
000056,000056,100.0,2.0,上证国企,996.1655883789,sh,index_cn
000057,000057,100.0,2.0,全指成长,4108.51953125,sh,index_cn
000058,000058,100.0,2.0,全指价值,3663.0554199219,sh,index_cn
000059,000059,100.0,2.0,全R成长,2978.1809082031,sh,index_cn
000060,000060,100.0,2.0,全R价值,3207.0915527344,sh,index_cn
000061,000061,100.0,2.0,沪企债30,162.2707061768,sh,index_cn
