blockname,0
300ESG,"['000001', '000002', '000063', '000066', '000069', '000100', '000166', '000333', '000338', '000538', '000568', '000596', '000625', '000651', '000656', '000661', '000703', '000708', '000725', '000728', '000768', '000776', '000783', '000786', '000800', '000858', '000876', '000895', '000938', '000963', '000977', '001979', '002001', '002007', '002024', '002027', '002044', '002050', '002120', '002129', '002142', '002153', '002157', '002179', '002202', '002230', '002236', '002241', '002271', '002304', '002311', '002352', '002371', '002384', '002410', '002414', '002415', '002460', '002463', '002475', '002493', '002508', '002555', '002558', '002594', '002600', '002602', '002607', '002624', '002714', '002736', '002773', '002812', '002841', '002916', '002938', '003816', '300014', '300015', '300059', '300122', '300124', '300136', '300142', '300274', '300347', '300408', '300413', '300433', '300450', '300498', '300529', '300558', '300601', '300628', '300676', '300677', '600000', '600009', '600011', '600015', '600016', '600018', '600019', '600025', '600029', '600030', '600036', '600048', '600050', '600079', '600085', '600104', '600109', '600111', '600115', '600161', '600176', '600183', '600196', '600233', '600276', '600299', '600309', '600332', '600346', '600352', '600362', '600406', '600436', '600438', '600482', '600489', '600519', '600521', '600522', '600547', '600570', '600585', '600588', '600600', '600606', '600655', '600660', '600690', '600705', '600741', '600760', '600809', '600837', '600845', '600848', '600887', '600893', '600900', '600919', '600926', '600958', '600989', '600999', '601006', '601009', '601012', '601066', '601077', '601088', '601100', '601108', '601111', '601138', '601155', '601166', '601186', '601211', '601225', '601229', '601231', '601238', '601288', '601318', '601319', '601328', '601336', '601377', '601390', '601398', '601601', '601607', '601618', '601628', '601633', '601658', '601668', '601688', '601727', '601766', '601788', '601799', '601800', '601808', '601818', '601838', '601857', '601877', '601881', '601888', '601899', '601916', '601919', '601933', '601939', '601985', '601988', '601989', '601990', '601995', '601998', '603019', '603233', '603259', '603288', '603338', '603392', '603501', '603659', '603799', '603833', '603882', '603899', '603939', '603993', '688009', '688036', '688111', '688396']"
300周期,"['000001', '000002', '000069', '000166', '000656', '000708', '000728', '000776', '000783', '000786', '001979', '002032', '002142', '002271', '002460', '002673', '002736', '002939', '002945', '300033', '300059', '600000', '600009', '600010', '600015', '600016', '600018', '600019', '600028', '600029', '600030', '600036', '600048', '600061', '600109', '600111', '600115', '600176', '600340', '600362', '600383', '600489', '600547', '600585', '600606', '600660', '600705', '600837', '600848', '600918', '600919', '600926', '600958', '600999', '601006', '601009', '601012', '601021', '601066', '601077', '601088', '601108', '601111', '601155', '601162', '601166', '601169', '601211', '601225', '601229', '601236', '601288', '601318', '601319', '601328', '601336', '601377', '601398', '601555', '601600', '601601', '601628', '601658', '601688', '601696', '601788', '601808', '601816', '601818', '601838', '601857', '601872', '601878', '601881', '601899', '601901', '601916', '601919', '601939', '601988', '601990', '601995', '601998', '603799', '603993']"
300非周,"['000063', '000066', '000100', '000157', '000333', '000338', '000425', '000538', '000568', '000596', '000625', '000651', '000661', '000703', '000725', '000768', '000800', '000858', '000860', '000876', '000895', '000938', '000963', '000977', '002001', '002007', '002008', '002024', '002027', '002044', '002049', '002050', '002120', '002129', '002153', '002157', '002179', '002202', '002230', '002236', '002241', '002252', '002304', '002311', '002352', '002371', '002384', '002410', '002414', '002415', '002456', '002463', '002475', '002493', '002508', '002555', '002558', '002594', '002600', '002601', '002602', '002607', '002624', '002714', '002739', '002773', '002812', '002821', '002841', '002916', '002938', '003816', '300003', '300014', '300015', '300122', '300124', '300136', '300142', '300144', '300274', '300347', '300408', '300413', '300433', '300450', '300498', '300529', '300558', '300595', '300601', '300628', '300676', '300677', '600011', '600025', '600031', '600050', '600079', '600085', '600104', '600118', '600132', '600143', '600150', '600161', '600183', '600196', '600233', '600276', '600299', '600309', '600332', '600346', '600352', '600406', '600426', '600436', '600438', '600482', '600519', '600521', '600522', '600570', '600584', '600588', '600600', '600655', '600690', '600703', '600741', '600745', '600760', '600763', '600795', '600809', '600845', '600872', '600886', '600887', '600893', '600900', '600989', '601100', '601138', '601186', '601216', '601231', '601238', '601360', '601390', '601607', '601618', '601633', '601668', '601669', '601698', '601727', '601766', '601799', '601800', '601877', '601888', '601933', '601985', '601989', '603019', '603087', '603160', '603195', '603233', '603259', '603288', '603338', '603369', '603392', '603501', '603517', '603658', '603659', '603806', '603833', '603882', '603899', '603939', '603986', '688008', '688009', '688012', '688036', '688111', '688126', '688169', '688363', '688396']"
3D打印,"['000638', '000821', '000837', '000928', '000938', '000969', '000988', '002008', '002171', '002182', '002222', '002302', '002309', '002339', '002347', '002348', '002361', '002375', '002376', '002420', '002526', '002529', '002540', '002545', '002576', '002690', '002691', '002698', '002721', '002730', '002786', '002886', '002901', '300004', '300024', '300043', '300161', '300177', '300210', '300220', '300221', '300227', '300236', '300285', '300331', '300337', '300345', '300521', '300620', '300853', '300963', '301033', '600080', '600114', '600115', '600206', '600288', '600456', '600466', '600705', '600765', '600980', '601700', '603002', '603112', '603928', '603977', '605376', '605589', '688333', '688456', '688786']"
5G概念,"['000004', '000049', '000063', '000066', '000070', '000547', '000586', '000636', '000801', '000823', '000836', '000881', '000889', '000890', '000909', '000938', '000988', '002017', '002023', '002025', '002049', '002056', '002089', '002093', '002101', '002104', '002115', '002123', '002137', '002138', '002148', '002194', '002201', '002217', '002229', '002231', '002261', '002268', '002281', '002288', '002309', '002313', '002316', '002364', '002369', '002384', '002396', '002402', '002413', '002426', '002446', '002451', '002463', '002467', '002475', '002491', '002522', '002528', '002542', '002544', '002547', '002579', '002583', '002600', '002617', '002635', '002725', '002733', '002782', '002786', '002792', '002796', '002815', '002819', '002837', '002845', '002848', '002851', '002860', '002881', '002885', '002886', '002889', '002897', '002902', '002912', '002913', '002916', '002927', '002929', '002935', '002937', '002938', '002947', '002965', '002975', '002976', '003031', '300002', '300025', '300038', '300047', '300050', '300052', '300068', '300077', '300081', '300083', '300098', '300099', '300115', '300123', '300131', '300134', '300136', '300166', '300184', '300205', '300209', '300217', '300221', '300249', '300250', '300252', '300265', '300279', '300288', '300292', '300299', '300308', '300310', '300312', '300319', '300322', '300325', '300328', '300345', '300366', '300379', '300394', '300397', '300408', '300410', '300414', '300415', '300472', '300476', '300493', '300502', '300504', '300513', '300520', '300532', '300537', '300538', '300548', '300560', '300563', '300565', '300570', '300571', '300576', '300578', '300590', '300593', '300597', '300602', '300608', '300615', '300620', '300638', '300644', '300647', '300679', '300684', '300698', '300710', '300711', '300726', '300731', '300735', '300739', '300747', '300762', '300782', '300814', '300828', '300852', '300903', '300936', '300964', '300991', '301013', '301041', '600050', '600103', '600105', '600198', '600206', '600260', '600289', '600330', '600345', '600353', '600405', '600487', '600498', '600522', '600703', '600734', '600745', '600775', '600776', '600804', '601068', '601138', '601728', '601869', '603002', '603005', '603042', '603083', '603118', '603186', '603203', '603220', '603228', '603236', '603322', '603328', '603559', '603602', '603618', '603703', '603728', '603773', '603803', '603912', '603920', '603936', '603991', '605258', '688001', '688135', '688159', '688183', '688216', '688219', '688313', '688418', '688519', '688536', '688609', '688662', '688668', '688682', '688689', '688800', '835640', '838924']"
BIPV概念,"['000012', '000027', '000040', '000055', '000058', '000591', '000928', '001896', '002047', '002056', '002135', '002178', '002218', '002309', '002334', '002482', '002610', '002620', '002623', '002783', '002822', '003013', '300001', '300029', '300040', '300117', '300118', '300160', '300187', '300320', '300324', '300393', '300444', '300490', '300500', '300621', '300675', '300746', '301046', '600477', '600496', '600580', '600667', '600710', '601012', '601222', '601615', '601778', '601877', '601886', '603017', '603060', '603098', '603105', '603628', '605117', '688408', '688599']"
C2M概念,"['000521', '000726', '002042', '002094', '002154', '002193', '002269', '002345', '002397', '002404', '002489', '002503', '002571', '002612', '002631', '002705', '002763', '002776', '002818', '002853', '300067', '300170', '300195', '300307', '300378', '300382', '300466', '300532', '300577', '300608', '300616', '300687', '300840', '300918', '301004', '600282', '600337', '600448', '600702', '600983', '603001', '603076', '603116', '603313', '603608', '603668', '603808', '603833', '603992', '688022']"
CXO概念,"['002370', '002821', '300012', '300149', '300347', '300363', '300404', '300683', '300702', '300725', '300759', '300887', '301047', '600222', '600721', '603127', '603259', '603456', '603739', '688076', '688117', '688131', '688202', '688222', '688621']"
ETC概念,"['000909', '000948', '000997', '002017', '002049', '002104', '002217', '002316', '002331', '002373', '002401', '002436', '002484', '002512', '002654', '002682', '002860', '002869', '002941', '300020', '300075', '300079', '300184', '300205', '300376', '300379', '300448', '300462', '300541', '300552', '300603', '300717', '300790', '600035', '600106', '600271', '601801', '603068', '603223', '603458', '603869', '603933']"
HJT电池,"['000821', '002079', '002129', '002309', '002459', '002610', '002613', '002860', '300080', '300093', '300118', '300260', '300667', '300724', '300751', '300757', '300776', '300842', '600438', '600546', '601012', '601137', '601615', '603212', '603396', '688359', '688516', '688599']"
