,category,细分行业
0,超大板块,银行
1,超大板块,电气设备
2,超大板块,白酒
3,超大板块,元器件
4,超大板块,化工原料
5,超大板块,半导体
6,超大板块,证券
7,超大板块,医疗保健
8,超大板块,软件服务
9,大板块,化学制药
10,大板块,专用机械
11,大板块,汽车配件
12,大板块,家用电器
13,大板块,建筑工程
14,大板块,保险
15,大板块,通信设备
16,大板块,食品
17,大板块,汽车整车
18,大板块,煤炭开采
19,大板块,小金属
20,大板块,生物制药
21,中型板块,石油开采
22,中型板块,电器仪表
23,中型板块,水力发电
24,中型板块,中成药
25,中型板块,航空
26,中型板块,新型电力
27,中型板块,农药化肥
28,中型板块,农业综合
29,中型板块,仓储物流
30,中型板块,火力发电
31,中型板块,全国地产
32,中型板块,化纤
33,中型板块,环境保护
34,中型板块,互联网
35,中型板块,石油加工
36,中型板块,电信运营
37,中型板块,普钢
38,中型板块,机械基件
39,中型板块,工程机械
40,中型板块,区域地产
41,中小型板块,铝
42,中小型板块,多元金融
43,中小型板块,塑料
44,中小型板块,服饰
45,中小型板块,铜
46,中小型板块,影视音像
47,中小型板块,空运
48,中小型板块,IT设备
49,中小型板块,运输设备
50,中小型板块,港口
51,中小型板块,水泥
52,中小型板块,旅游服务
53,中小型板块,水运
54,中小型板块,铁路
55,中小型板块,医药商业
56,中小型板块,家居用品
57,中小型板块,广告包装
58,中小型板块,供气供热
59,中小型板块,饲料
60,中小型板块,乳制品
61,中小型板块,特种钢
62,中小型板块,玻璃
63,中小型板块,船舶
64,中小型板块,其他建材
65,中小型板块,矿物制品
66,中小型板块,文教休闲
67,中小型板块,百货
68,中小型板块,黄金
69,中小型板块,路桥
70,中小型板块,机场
71,小型板块,出版业
72,小型板块,造纸
73,小型板块,日用化工
74,小型板块,染料涂料
75,小型板块,园区开发
76,小型板块,商贸代理
77,小型板块,纺织
78,小型板块,啤酒
79,小型板块,铅锌
80,小型板块,钢加工
81,小型板块,种植业
82,小型板块,摩托车
83,小型板块,综合类
84,小型板块,软饮料
85,小型板块,装修装饰
86,小型板块,旅游景点
87,小型板块,化工机械
88,小型板块,水务
89,小型板块,酒店餐饮
90,小型板块,其他商业
91,小型板块,焦炭加工
92,小型板块,超市连锁
93,小型板块,汽车服务
94,小型板块,机床制造
95,小型板块,橡胶
96,小型板块,轻工机械
97,小型板块,红黄酒
98,小型板块,陶瓷
99,小型板块,房产服务
100,小型板块,批发业
101,小型板块,纺织机械
102,小型板块,商品城
103,小型板块,石油贸易
104,小型板块,农用机械
105,小型板块,电器连锁
106,小型板块,公共交通
107,小型板块,渔业
108,小型板块,林业
109,小型板块,公路
