代码,名称,涨幅%,涨速%,细分行业,现价,涨跌,买价,卖价,总量,现量,换手%,今开,最高,最低,总市值,流通市值,昨收,市盈(动),总金额,量比,地区,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,开盘换手Z,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,昨涨幅%,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,年涨停天,换手Z,流通市值Z,流通比例Z,市盈(TTM),市盈(静),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),货币资金(亿),存货(亿),应收账款(亿),合同负债(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
000001,平安银行,2.91,0,银行,12.72,0.36,12.72,12.73,1951297,16149,1.01,12.4,12.74,12.36,       2468.43亿,       2468.39亿,12.36,5.59,246913.13,2.6,深圳,3.07,12.65,852371,1098926,0.78,218,11392,--  ,435.5,0,--  ,--  ,194.06,1.8,4709,414,0.0002,2,0.24,1.75,2.75,-10.55,-21.72,0,2.27,       1094.04亿,44.32,6.04,6.79,0.33,KDJ金叉,13,13,9,0.32,3.07,0,2.35,2.58,-0.16,2.91,20220818,19910403,194.06,--  ,--  ,51087.76,4120.98,--  ,91.93,0,112.68,55.16,0,3808.08,0,0,--  ,808.16,920.22,640.61,279.61,77.69,277.83,220.88,220.88,220.42,1693.41,1504.83,-205.95,493029,17445,22.19万,25.62,8.67,0.72,1.64,2.68,1.79,1.030㈡,17.63,--  ,4.16,8.73,7.75,8.07,   5.36㈡,30.39,30.39,24,--  ,40745,1,--  ,--  ,--  
000002,万 科Ａ,3.24,0,全国地产,18.15,0.57,18.14,18.15,1412026,13700,1.45,17.49,18.39,17.41,       2110.97亿,       1763.70亿,17.58,8.64,255432.19,1.51,深圳,5.57,18.09,652502,759523,0.86,816,1689,--  ,265.67,0,--  ,--  ,97.17,2.13,4728,299,0.0003,2,0.34,1.67,17.86,5.71,-3.35,0,2.18,       1175.13亿,66.58,8.91,9.37,0.47,上穿BOLL上轨,2,5,13,-0.51,4.61,-0.97,2.9,3.77,-1.31,4.25,20220831,19910129,116.31,--  ,19.07,18792.02,2342.35,1574.74,79.16,15377.16,142.22,112.02,12434.38,1410.73,10230.27,65.22,5876.06,204.77,2069.16,1645.71,242.38,6.2,243.59,181.03,122.23,117.21,936.44,82.88,-33.03,518181,12495,22.68万,10.64,23.82,0.89,25.47,1.02,5.34,1.050㈡,20.28,--  ,1.76,8.05,0.71,12.46,   5.22㈡,20.46,11.71,8.75,2.89,139494,2,--  ,--  ,--  
000004,ST国华,0.88,0,软件服务,9.17,0.08,9.16,9.17,10151,142,0.87,9.22,9.24,9.1,         12.18亿,         10.67亿,9.09,--  ,930.9,0.73,深圳,1.54,9.17,5148,5003,1.03,86,108,--  ,24.99,0.03,--  ,--  ,1.16,-0.23,349,29,0.0025,1,-1.84,-2.45,-5.27,-0.43,-52.78,11,1.23,          7.57亿,62.16,--  ,--  ,0.83,-- -- ,14,11,13,1.43,1.65,0.11,0.88,-0.54,-0.76,0.77,20220901,19910114,1.33,--  ,--  ,10.41,9.12,0,12.35,5.45,0.02,0.32,1.24,1.31,0.21,3.23,0.13,12.09,0.23,0.09,-0.4,0,-0.41,-0.36,-0.35,-0.36,-4.66,-0.34,-0.34,17285,4778,4.38万,-681.1,-75.63,1.57,-36.26,53.75,0,-0.230㈡,5.85,--  ,9.1,-3.51,-0.25,87.66,  -3.88㈡,59.99,-178.49,-158.79,0.22,309,4,--  ,--  ,--  
000005,ST星源,0,0,环境保护,1.87,0,1.86,1.87,37735,821,0.36,1.86,1.87,1.85,         19.79亿,         19.78亿,1.87,147.36,701.92,0.63,深圳,1.07,1.86,23353,14382,1.62,2075,7342,--  ,23.66,0.01,--  ,--  ,10.58,-1.11,290,130,0.0012,0,-0.53,0,4.47,3.89,-18.7,2,0.43,         16.25亿,82.12,--  ,14.24,0.41,-- -- ,7,13,9,-0.53,0,-1.07,-0.53,0.54,0,1.08,20220906,19901210,10.59,--  ,--  ,23.71,13.84,0.98,37.48,12.34,0.24,0.53,8.18,0.76,0.14,1.58,0.07,6.81,0.89,0.76,0.03,0.39,0.04,0.04,0.07,0.04,-3.85,0.31,-0.38,91786,9470,1.77万,-96.53,-45.39,1.43,64.58,22.15,0,0.006㈡,1.31,--  ,0.64,-0.36,0.03,58.37,   0.49㈡,14.98,3.88,4.63,0.07,563,5,--  ,--  ,--  
000006,深振业Ａ,0.22,0.22,区域地产,4.49,0.01,4.48,4.49,223357,1212,1.65,4.43,4.54,4.43,         60.61亿,         60.61亿,4.48,13.6,10027.23,1.43,深圳,2.46,4.49,114776,108581,1.06,547,935,--  ,18.74,0,--  ,--  ,13.5,-0.89,2706,83,0.0006,1,0,0.44,8.72,7.42,3.46,2,2.63,         38.19亿,63.01,16.1,11.19,0.53,多头排列,5,10,11,-1.12,1.34,-1.12,0.22,1.35,-1.1,1.35,20220825,19920427,13.5,--  ,--  ,244.67,77.05,5.56,66.23,204.55,0.42,0,86,36.79,162.44,0.18,26,4.84,13.54,8.03,3.15,0.36,3.16,2.4,2.23,2.22,37.6,2.42,10.02,66101,12868,5.78万,-42.59,-8.1,0.79,25,4.48,2.69,0.165㈡,5.71,--  ,0.36,2.79,0.18,31.49,   2.89㈡,40.73,23.27,17.75,--  ,403,6,--  ,--  ,--  
000007,全新好,0.12,0.12,酒店餐饮,8.12,0.01,8.11,8.12,72957,1105,2.36,8.11,8.18,8.06,         28.13亿,         25.09亿,8.11,--  ,5920.41,0.28,深圳,1.48,8.11,39573,33384,1.19,1000,891,--  ,17.27,0.01,--  ,--  ,3.09,-0.99,1911,38,0.0012,1,0,-1.34,1.37,14.69,33.33,15,2.81,         21.08亿,74.92,87.19,70.38,0,-- -- ,10,8,12,0,0.86,-0.62,0,0.12,-0.73,0.74,20220830,19920413,3.46,--  ,--  ,4.33,0.91,0.11,76.43,3.08,0.48,0,2.12,1.42,0.26,0.15,0.01,1.57,1.19,1.02,-0.02,-0.01,-0.11,-0.12,-0.1,0,-3.59,0.87,0.83,9465,27424,22.27万,-337.37,116.93,30.8,32.22,23.6,0,-0.029㈡,0.26,--  ,0.45,-1.04,0.25,21.09, -10.94㈡,14.45,-1.78,-10.06,--  ,82,7,--  ,--  ,--  
000008,神州高铁,0.4,0.4,运输设备,2.49,0.01,2.48,2.49,161856,1795,0.6,2.49,2.5,2.47,         69.24亿,         67.09亿,2.48,--  ,4012.69,0.84,北京,1.21,2.48,89350,72506,1.23,8245,20798,--  ,61.88,0.02,--  ,--  ,26.94,-0.71,1836,88,0.0003,2,0.4,0.4,2.05,-0.4,-15.31,7,0.99,         40.64亿,58.69,--  ,--  ,0.82,平台整理,7,2,5,0.4,0.81,-0.4,0,0,-0.4,0.81,20220831,19920507,27.81,--  ,--  ,117.96,51.22,1.33,55.46,54.44,4.62,2.69,49.3,6.98,11.52,24.98,8.07,27.88,5.81,3.51,-0.78,0.61,-0.8,-0.85,-0.84,-1.01,-2.72,2.39,-3.82,98842,16512,4.11万,43.39,10.05,1.35,28.99,11.92,0,-0.030㈡,1.84,--  ,1,-0.1,0.09,43.42,  -1.64㈡,39.62,-13.51,-14.69,0.98,2240,8,--  ,--  ,--  
000009,中国宝安,-0.34,0.2,电气设备,14.83,-0.05,14.83,14.84,304677,8421,1.19,14.92,14.98,14.7,        382.50亿,        378.38亿,14.88,45.19,45179.75,0.5,深圳,1.88,14.83,155347,149330,1.04,1347,145,--  ,195.75,0.01,--  ,--  ,25.51,-1.45,3868,79,0.0003,-2,-3.25,-1.59,-8.63,2.13,3.06,6,1.73,        260.77亿,68.18,49.14,36.93,1.84,-- -- ,14,12,2,0.27,0.67,-1.21,-0.34,-0.6,-1,0.88,20220825,19910625,25.79,--  ,--  ,452.17,83.97,82.83,63.11,302.2,59.88,12.45,209.79,77.13,126.37,53.22,15.07,14.22,135.11,104.08,12.28,1.12,12.21,10.18,4.23,4.29,40.8,-2.18,1.32,246858,7123,10.56万,-37.8,68.45,4.55,-175.41,2.83,0.24,0.164㈡,3.26,--  ,0.55,1.58,-0.08,18.57,   5.04㈡,22.97,9.09,7.53,6.32,14335,9,--  ,--  ,--  
000010,美丽生态,0.55,-0.26,建筑工程,3.68,0.02,3.68,3.69,89449,947,1.71,3.65,3.71,3.61,         38.96亿,         19.22亿,3.66,206.78,3268.89,0.74,深圳,2.73,3.65,45538,43911,1.04,516,1387,--  ,6.24,0,--  ,--  ,5.22,-0.57,1742,51,0.001,1,-1.88,0.27,5.75,-15.4,-2.39,8,1.98,         16.62亿,42.66,156.45,166.08,0.97,EXPMA金叉,11,5,14,-0.27,1.37,-1.37,-0.27,0.82,-0.81,1.94,20220907,19951027,10.59,--  ,--  ,45.75,12.51,3.44,65.14,35.54,0.16,0.02,28.26,3.68,1.64,23.33,0.91,19.68,4.35,3.74,0.21,0,0.16,0.12,0.09,-0.1,-17.84,-5.71,3.3,38064,11866,4.37万,18.09,-22.79,3.11,-6.82,8.96,0,0.009㈡,1.18,--  ,1.86,-1.69,-0.54,27.34,   0.75㈡,14.01,4.86,2.73,--  ,290,10,--  ,--  ,--  
000011,深物业A,1.53,-0.08,区域地产,10.63,0.16,10.63,10.64,81278,1130,1.54,10.46,10.68,10.41,         63.35亿,         55.96亿,10.47,12.63,8627.41,1.46,深圳,2.58,10.61,33414,47864,0.7,212,834,--  ,8.79,0,--  ,--  ,5.26,0.41,2385,34,0.0006,1,-0.95,1.43,3,-9.15,-3.19,2,4.35,         19.88亿,31.38,10.97,6.31,0.63,多头排列,2,10,9,-0.1,2.01,-0.57,1.34,1.63,-0.47,2.11,20220829,19920330,5.96,0.68,--  ,151.66,41.38,0.39,72.46,130.69,0.89,0.01,70.09,18.49,98.87,3.73,8.25,0.8,19.88,10.69,3.33,0.01,3.34,2.41,2.51,2.57,34.38,-3.96,-4.93,50123,5080,5.40万,-62.98,-26.54,1.53,-16,3.19,6.4,0.421㈡,6.94,--  ,0.14,5.77,-0.66,27.28,   6.06㈡,46.25,16.74,12.14,0.03,7658,11,20200815,27.7,-57.69
