细分行业,代码,名称,ab_mv,blk_mv,mv_share,count
软件服务,002230,科大讯飞,868.85,22044.600000000013,3.9413280349836217,273
电气设备,300750,宁德时代,11378.94,62863.98000000002,18.10089020771513,263
元器件,002475,立讯精密,2685.39,33136.58,8.104004698131188,252
化工原料,600309,万华化学,2730.01,29082.089999999997,9.387255180078187,226
专用机械,300316,晶盛机电,969.49,17882.269999999997,5.4215152774228335,217
汽车配件,601689,拓普集团,883.51,17607.84,5.017708020972476,200
医疗保健,300760,迈瑞医疗,3588.83,25302.000000000022,14.183977551181712,156
通信设备,601138,工业富联,1849.06,14625.449999999999,12.642756291259417,138
化学制药,603259,药明康德,2212.37,18012.010000000002,12.282749121280743,136
环境保护,603568,伟明环保,430.5,6787.129999999999,6.342887199744222,125
半导体,002371,北方华创,1505.86,27098.159999999996,5.5570562724554,124
建筑工程,601668,中国建筑,2142.85,15022.900000000003,14.263890460563536,115
机械基件,600481,双良节能,292.95,5227.069999999999,5.604478225851195,100
电器仪表,002415,海康威视,2782.8,9856.559999999996,28.23297377584067,90
食品,603288,海天味业,3614.39,14605.570000000002,24.74665487207962,88
家用电器,000333,美的集团,3754.44,16237.719999999994,23.12171905907973,79
互联网,601360,三六零,527.33,6330.299999999998,8.330252910604557,78
中成药,600436,片仔癀,1786.48,9537.790000000003,18.730544497205322,74
生物制药,300122,智飞生物,1552.8,12629.189999999999,12.295325353407465,73
塑料,603806,福斯特,841.14,4318.459999999999,19.47777680006299,68
服饰,300979,华利集团,696.47,4151.910000000001,16.774689239410293,64
家居用品,603833,欧派家居,777.95,3448.2200000000003,22.560915486830886,59
农药化肥,000792,盐湖股份,1458.73,7925.01,18.40666447108584,53
区域地产,601155,新城控股,459.11,4560.110000000001,10.067958886956674,53
小金属,002466,天齐锂业,1554.2,13060.150000000003,11.900322737487699,53
证券,300059,东方财富,2893.9,26627.41999999999,10.86812015583936,49
仓储物流,002352,顺丰控股,2371.73,7877.439999999999,30.107877686151852,49
广告包装,002027,分众传媒,846.31,3386.78,24.98863227017993,47
航空,600893,航发动力,1205.38,9057.800000000001,13.307646448364945,46
文教休闲,603899,晨光股份,407.85,2620.09,15.566259174303173,45
影视音像,300413,芒果超媒,524.36,4128.45,12.701134808463227,44
纺织,603055,台华新材,92.61,1766.4099999999999,5.242837166909156,44
IT设备,002180,纳思达,642.18,4114.45,15.607918433812538,44
银行,601398,工商银行,11728.13,64237.22999999999,18.257527605097547,42
运输设备,601766,中国中车,1201.79,4106.94,29.26241922209723,41
供气供热,600803,新奥股份,601.14,3234.9100000000008,18.582897205795522,41
农业综合,002714,牧原股份,3140.07,7908.170000000001,39.7066577982011,39
百货,600655,豫园股份,312.84,2491.49,12.556341787444461,38
化纤,002493,荣盛石化,1422.64,7016.220000000002,20.276445151377803,34
其他建材,002271,东方雨虹,768.78,2957.189999999999,25.9969768597892,33
医药商业,601607,上海医药,486.03,3488.600000000001,13.931949779281084,33
全国地产,600048,保利发展,2037.37,7327.679999999999,27.803752347264073,32
铝,601600,中国铝业,587.0,4471.009999999999,13.129024538079765,32
火力发电,600011,华能国际,901.81,7413.85,12.16385548669045,31
装修装饰,603098,森特股份,166.76,1257.84,13.257648031546143,31
造纸,002078,太阳纸业,319.75,2083.78,15.344710094155811,31
多元金融,000617,中油资本,637.16,4405.250000000001,14.463651325123427,30
出版业,601928,凤凰传媒,228.53,2095.71,10.904657610070096,28
染料涂料,603737,三棵树,347.75,1967.1600000000003,17.677768966428758,28
综合类,002967,广电计量,127.93,1356.6099999999997,9.430123616956976,27
商贸代理,002505,鹏都农牧,202.7,1814.3799999999999,11.171860360012786,27
工程机械,600031,三一重工,1325.8,5042.089999999999,26.294651622640615,27
煤炭开采,601088,中国神华,5056.15,14325.53,35.29468019682343,26
普钢,600019,宝钢股份,1173.55,5377.19,21.824596118046788,25
水泥,600585,海螺水泥,1246.71,3964.6699999999996,31.44549231083546,23
钢加工,002541,鸿路钢构,190.44,1583.5700000000002,12.025991904367977,23
汽车整车,002594,比亚迪,5113.06,14556.1,35.126579234822515,23
矿物制品,603688,石英股份,444.48,2761.17,16.097523875748323,23
新型电力,600905,三峡能源,1722.95,8096.65,21.279788554525638,22
石油开采,601857,中国石油,8776.18,12025.27,72.98114720085287,20
白酒,600519,贵州茅台,23553.71,43895.07,53.65912390616987,20
路桥,001965,招商公路,468.31,2246.5999999999995,20.84527730793199,20
玻璃,601865,福莱特,649.57,3039.2700000000004,21.372566438651386,20
铜,601899,紫金矿业,1754.47,4147.08,42.30615276290788,18
饲料,002311,海大集团,1005.0,3197.15,31.434246125455484,18
水力发电,600900,长江电力,5417.11,9594.84,56.458575651079116,18
港口,600018,上港集团,1234.06,4036.18,30.574949581039494,18
机床制造,000410,*ST沈机,103.91,914.2,11.366221833296871,18
种植业,600598,北大荒,265.76,1497.4399999999998,17.747622609253128,17
日用化工,300957,贝泰妮,768.41,2058.1400000000003,37.335166703917125,16
乳制品,600887,伊利股份,2169.38,3098.0,70.02517753389283,16
水务,601158,重庆水务,254.4,1137.25,22.36975159375687,16
园区开发,600663,陆家嘴,402.61,1917.3899999999999,20.997814737742456,15
汽车服务,600297,广汇汽车,191.42,993.09,19.275191573774784,14
铅锌,600497,驰宏锌锗,266.27,1611.2299999999998,16.525883952011817,14
房产服务,001914,招商积余,182.17,615.6500000000001,29.589864370990004,13
黄金,600547,山东黄金,639.4,2363.23,27.05619004498081,13
橡胶,601118,海南橡胶,192.15,905.2999999999998,21.225008284546565,13
水运,601919,中远海控,1697.81,3801.4199999999996,44.66252084747279,12
超市连锁,601933,永辉超市,314.0,1022.3199999999999,30.71445340010956,12
其他商业,601828,美凯龙,177.78,1040.46,17.08667320223747,12
旅游景点,000069,华侨城Ａ,423.21,1148.8399999999997,36.838027923818814,12
旅游服务,601888,中国中免,3520.51,3952.4100000000003,89.07248994917025,12
纺织机械,603025,大豪科技,166.01,559.14,29.69023858067747,11
特种钢,000708,中信特钢,950.38,3095.920000000001,30.697821649138213,11
船舶,600150,中国船舶,1167.3,2989.42,39.047708251098875,11
石油加工,600028,中国石化,4070.76,6130.75,66.39905394935367,11
电信运营,601728,中国电信,2942.17,5706.43,51.558855536649006,11
红黄酒,002568,百润股份,239.33,823.8000000000001,29.051954357853848,10
农用机械,601038,一拖股份,75.07,347.85999999999996,21.580520899212328,10
软饮料,605499,东鹏饮料,584.53,1296.1599999999999,45.097055919022345,10
化工机械,002353,杰瑞股份,390.55,1138.0800000000002,34.316568255307175,10
摩托车,689009,九号公司-WD,305.73,1432.3700000000001,21.344345385619636,9
空运,601111,中国国航,975.29,4127.719999999999,23.627813902105764,9
酒店餐饮,600754,锦江酒店,581.68,1100.61,52.85069188904335,9
焦炭加工,000723,美锦能源,480.83,1039.38,46.261232657930684,8
批发业,000927,中国铁物,168.8,608.7100000000002,27.730774917448368,8
轻工机械,300442,普丽盛,379.36,839.69,45.17857780847694,8
渔业,300094,国联水产,51.73,241.77,21.396368449352686,7
陶瓷,300285,国瓷材料,306.06,619.9099999999999,49.37168298623995,7
石油贸易,002221,东华能源,151.55,368.58000000000004,41.11726083889522,7
啤酒,600600,青岛啤酒,723.47,1715.3600000000001,42.17598638186736,7
公共交通,600611,大众交通,72.81,262.69,27.7170809699646,6
保险,601628,中国人寿,6184.59,14884.230000000001,41.55129287843577,6
铁路,601816,京沪高铁,2195.06,3529.8999999999996,62.18476444091902,6
机场,600009,上海机场,1300.38,2207.3700000000003,58.910830535886596,5
林业,000592,平潭发展,54.86,133.02,41.241918508494955,4
商品城,600415,小商品城,269.07,460.67,58.408405149022066,4
电器连锁,002024,ST易购,191.79,314.35,61.0116112613329,2
公路,603069,海汽集团,78.05,97.49,80.0594932813622,2
