代码,名称
880431,船舶
880490,通信设备
880494,互联网
880492,元器件
880418,传媒娱乐
880452,电信运营
880414,商贸代理
880453,公共交通
880491,半导体
880421,广告包装
880437,通用机械
880489,IT设备
880493,软件服务
880422,文教休闲
880474,多元金融
880305,电力
880367,纺织服饰
880310,石油
880448,电器仪表
880440,工业机械
880497,综合类
880424,旅游
880330,化纤
880430,航空
880360,农林牧渔
880390,汽车类
880456,环境保护
880335,化工
880423,酒店餐饮
880432,运输设备
880459,运输服务
880350,造纸
880406,商业连锁
880465,交通设施
880454,水务
880464,仓储物流
880399,家居用品
880455,供气供热
880476,建筑
880398,医疗保健
880471,银行
880472,证券
880400,医药
880324,有色
880318,钢铁
880482,房地产
880446,电气设备
880387,家用电器
880344,建材
880372,食品饮料
880447,工程机械
880473,保险
880380,酿酒
880355,日用化工
880301,煤炭
880351,矿物制品
