                  螺纹主连 (RBL8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量,EXPMA1.EXP0  ,EXPMA1.EXP1  ,EXPMA1.EXP2  ,EXPMA1.EXP3  ,EXPMA1.EXP4  ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      , VOL1.VOLUME, VOL1.MAVOL1, VOL1.MAVOL2, VOL1.MAVOL3, VOL1.LB    , VOL1.FZFL  , VOL1.分布  , VOL1.      , VOL1.      , VOL1.      , VOL1.      , VOL1.      ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_KL.多头  ,LH_KL.空头  ,LH_KL.靠拢  ,TTEST.多头  ,TTEST.空头  ,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4 ,LH_KT.抽MA3 ,LH_KT.抽MA2 ,LH_KT.抽MA1 ,LH_KT.超买  ,LH_KT.超买L ,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势  ,LH_DF_SLP.DF01  ,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.SLP0  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,LH_ZDF.LS    ,LH_ZDF.US    ,LH_ZDF.MAB   ,LH_ZDF.ZFS   ,LH_ZDF.MA_US ,LH_ZDF.MA_LS ,LH_ZDF.LABEL_BSP,LH_ZDF.BIAS0 ,LH_ZDF.BIAS1 ,LH_ZDF.BIAS2 ,LH_ZDF.BIAS3 ,LH_ZDF.BIAS4 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2022/11/04-22:40,3508,3512,3507,3509,9666,3509,3509,3509,3509,3509,0,0,0,0,0,0,0,0,0,9666,           ,           ,           ,           ,           ,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,           ,           ,           ,0,0,1,           ,           ,           ,           ,0,0,0,1,0,0,0,0,0,0,0,           ,           ,0,0,0,0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,1,3,           ,           ,           ,           ,           ,0,0,0,0,0
 2022/11/04-22:45,3508,3515,3508,3515,16259,3510.2,3509.57,3509.29,3509.2,3509.1,0,0,0,0,0,0,0,0,0,16259,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,1,0,           ,           ,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.22,0.08,0.03,0.03,1000.34,1000.16,1000.08,1000.06,1000.03,           ,           ,           ,           ,           ,0,0,           ,           ,           ,           ,           ,1.33,1.55,1.63,1.65,1.68
 2022/11/04-22:50,3515,3517,3512,3516,19373,3511.36,3510.18,3509.62,3509.42,3509.21,0,0,0,0,0,0,0,0,0,19373,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.4,0.16,0.06,0.06,1000.33,1000.17,1000.09,1000.06,1000.03,           ,           ,           ,           ,1000.34,3,1,           ,           ,           ,           ,           ,1.26,1.66,1.82,1.87,1.93
 2022/11/04-22:55,3516,3520,3514,3518,26989,3512.69,3510.93,3510.03,3509.7,3509.36,0,0,0,0,0,0,0,0,0,26989,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.59,0.26,0.09,0.1,1000.38,1000.21,1000.12,1000.08,1000.04,           ,           ,           ,           ,1000.35,2,2,           ,           ,           ,           ,           ,1.42,2.01,2.27,2.36,2.46
 2022/11/04-23:00,3518,3519,3512,3512,24185,3512.55,3511.03,3510.12,3509.78,3509.4,0,0,0,0,0,0,0,0,0,24185,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.5,0.26,0.1,0.11,999.96,1000.03,1000.03,1000.02,1000.01,1000.25,1000.14,1000.08,1000.06,1000.17,0,1,           ,           ,           ,           ,           ,-0.23,0.28,0.53,0.63,0.74
 2022/11/04-09:05,3510,3515,3508,3510,25575,3512.04,3510.93,3510.12,3509.78,3509.41,0,0,0,0,0,0,0,0,0,25575,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.35,0.23,0.1,0.11,999.85,999.97,1000,1000,1000,1000.13,1000.1,1000.06,1000.04,999.91,2,5,           ,           ,           ,           ,           ,-0.62,-0.27,-0.03,0.06,0.17
 2022/11/04-09:10,3510,3518,3510,3518,14541,3513.23,3511.61,3510.5,3510.05,3509.55,0,0,0,0,0,0,0,0,0,14541,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.53,0.31,0.13,0.14,1000.34,1000.19,1000.11,1000.08,1000.04,1000.13,1000.1,1000.06,1000.05,1000.1,0,0,           ,           ,           ,           ,           ,1.29,1.82,2.14,2.26,2.41
 2022/11/04-09:15,3518,3528,3517,3524,53455,3515.39,3512.79,3511.16,3510.51,3509.79,0,0,0,0,0,0,0,0,0,53455,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.86,0.46,0.19,0.2,1000.61,1000.34,1000.19,1000.13,1000.07,1000.19,1000.13,1000.08,1000.06,1000.48,1,4,           ,           ,           ,           ,           ,2.33,3.19,3.66,3.84,4.05
 2022/11/04-09:20,3524,3525,3514,3520,32237,3516.31,3513.47,3511.59,3510.82,3509.96,0,0,0,0,0,0,0,0,0,32237,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.93,0.54,0.22,0.25,1000.26,1000.2,1000.12,1000.09,1000.05,1000.27,1000.17,1000.1,1000.07,1000.44,6,1,           ,           ,           ,           ,           ,0.93,1.86,2.39,2.61,2.86
 2022/11/04-09:25,3520,3525,3518,3522,14028,3517.45,3514.28,3512.1,3511.19,3510.16,0,0,0,0,0,0,0,0,0,14028,23630.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.03,0.62,0.26,0.29,1000.32,1000.23,1000.14,1000.1,1000.06,1000.38,1000.24,1000.14,1000.1,1000.29,2,3,           ,           ,           ,           ,           ,1.16,2.2,2.82,3.08,3.37
 2022/11/04-09:30,3521,3529,3520,3528,17589,3519.56,3515.59,3512.88,3511.74,3510.46,0,0,0,0,0,0,0,0,0,17589,24423.1,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.3,0.77,0.32,0.37,1000.6,1000.37,1000.22,1000.16,1000.08,1000.45,1000.28,1000.17,1000.12,1000.46,1,1,           ,           ,           ,           ,           ,2.23,3.53,4.31,4.63,5
 2022/11/04-09:35,3528,3534,3528,3528,55520,3521.25,3516.77,3513.61,3512.27,3510.75,0,0,0,0,0,0,0,0,0,55520,28349.2,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.46,0.9,0.38,0.43,1000.48,1000.34,1000.21,1000.15,1000.08,1000.42,1000.28,1000.17,1000.13,1000.54,0,6,           ,           ,           ,           ,           ,1.73,3.19,4.09,4.48,4.91
 2022/11/04-09:40,3528,3531,3523,3526,26753,3522.2,3517.65,3514.22,3512.72,3511,0,0,0,0,0,0,0,0,0,26753,29087.2,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.47,0.98,0.43,0.49,1000.27,1000.25,1000.17,1000.13,1000.07,1000.42,1000.3,1000.19,1000.14,1000.37,3,3,           ,           ,           ,           ,           ,0.91,2.37,3.35,3.78,4.27
 2022/11/04-09:45,3525,3529,3523,3528,18093,3523.36,3518.64,3514.89,3513.22,3511.28,0,0,0,0,0,0,0,0,0,18093,28197.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.52,1.07,0.47,0.55,1000.33,1000.28,1000.19,1000.14,1000.08,1000.42,1000.31,1000.2,1000.14,1000.3,2,1,           ,           ,           ,           ,           ,1.15,2.66,3.73,4.21,4.76
 2022/11/04-09:50,3527,3533,3525,3532,16245,3525.09,3519.91,3515.73,3513.84,3511.62,0,0,0,0,0,0,0,0,0,16245,27403.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.66,1.19,0.54,0.63,1000.49,1000.36,1000.24,1000.18,1000.1,1000.39,1000.31,1000.2,1000.15,1000.41,2,1,           ,           ,           ,           ,           ,1.77,3.43,4.63,5.17,5.8
 2022/11/04-09:55,3532,3535,3530,3534,22442,3526.87,3521.25,3516.62,3514.5,3511.99,0,0,0,0,0,0,0,0,0,22442,27090.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.8,1.32,0.6,0.71,1000.51,1000.38,1000.25,1000.19,1000.11,1000.4,1000.32,1000.21,1000.16,1000.5,2,1,           ,           ,           ,           ,           ,1.82,3.62,4.94,5.55,6.27
 2022/11/04-10:00,3534,3535,3526,3534,25376,3528.29,3522.47,3517.46,3515.14,3512.35,0,0,0,0,0,0,0,0,0,25376,28173.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.86,1.42,0.66,0.79,1000.4,1000.34,1000.24,1000.18,1000.1,1000.43,1000.34,1000.23,1000.17,1000.46,8,1,           ,           ,           ,           ,           ,1.41,3.27,4.7,5.37,6.16
 2022/11/04-10:05,3533,3535,3524,3529,25012,3528.44,3523.09,3518.03,3515.59,3512.63,0,0,0,0,0,0,0,0,0,25012,25329.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.68,1.44,0.69,0.84,1000.04,1000.18,1000.16,1000.13,1000.08,1000.36,1000.32,1000.22,1000.17,1000.22,5,2,           ,           ,           ,           ,           ,0,1.68,3.12,3.81,4.66
