      时间,    开盘,    最高,    最低,    收盘,         成交量,LH_MAS.MA0   ,LH_MAS.M5_1  ,LH_MAS.M5_2  ,LH_MAS.M5_3  ,LH_MAS.M15_1 , VOL1.VOLUME, VOL1.MAVOL1, VOL1.MAVOL2, VOL1.MAVOL3, VOL1.LB    , VOL1.FZFL  , VOL1.分布  , VOL1.      , VOL1.      , VOL1.      , VOL1.      , VOL1.      ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_SIGNAL.B     ,LH_SIGNAL.S     ,LH_KL.多头  ,LH_KL.空头  ,LH_KL.靠拢  ,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4 ,LH_KT.抽MA3 ,LH_KT.抽MA2 ,LH_KT.抽MA1 ,LH_KT.超买  ,LH_KT.超买L ,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势  ,LH_DF_SLP.DF01  ,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.SLP0  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2022/07/06-09:10,681.5,684,680,683,5952,683,683,683,683,683,5952,           ,           ,           ,           ,           ,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,           ,           ,           ,           ,           ,0,0,1,           ,           ,0,0,0,1,0,0,0,0,0,0,0,           ,           ,0,0,0,0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,5952,           ,           
 2022/07/06-09:15,682.5,685.5,680,683.5,5882,683.11,683.05,683.02,683.02,683.01,5882,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,           ,           ,0,0,1,           ,           ,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.09,0.03,0.01,0.01,1000.15,1000.07,1000.04,1000.02,1000.01,           ,           ,           ,           ,           ,5882,           ,           
 2022/07/06-09:20,683.5,684,680,681.5,3732,682.75,682.9,682.95,682.97,682.98,3732,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.22,-0.07,-0.02,-0.02,999.53,999.78,999.89,999.93,999.96,           ,           ,           ,           ,999.84,3732,           ,           
 2022/07/06-09:25,681,682.5,676.5,677,4522,681.47,682.34,682.66,682.77,682.88,4522,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-1.26,-0.47,-0.16,-0.17,998.31,999.18,999.58,999.71,999.86,           ,           ,           ,           ,998.92,4522,           ,           
 2022/07/06-09:30,677,679,676,677,2964,680.48,681.83,682.38,682.58,682.79,2964,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,3,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-1.98,-0.81,-0.29,-0.3,998.64,999.25,999.6,999.72,999.86,999.16,999.57,999.77,999.85,998.48,2964,4610.4,           
 2022/07/06-09:35,677,678.5,675.5,678,2766,679.93,681.47,682.17,682.43,682.71,2766,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,4,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-2.25,-1.03,-0.38,-0.41,999.21,999.47,999.69,999.78,999.88,998.92,999.42,999.69,999.79,998.93,2766,3973.2,           
 2022/07/06-09:40,678,679,675,676,2883,679.06,680.94,681.87,682.22,682.6,2883,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,5,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-2.77,-1.35,-0.52,-0.55,998.78,999.24,999.56,999.69,999.84,998.73,999.28,999.6,999.73,998.99,2883,3373.4,           
 2022/07/06-09:45,676,677.5,675,677,2284,678.6,680.57,681.63,682.05,682.5,2284,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,6,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-2.89,-1.56,-0.61,-0.67,999.31,999.45,999.65,999.75,999.86,998.99,999.35,999.62,999.74,999.05,2284,3083.8,           
 2022/07/06-09:50,677,678.5,671.5,672,3791,677.13,679.75,681.16,681.72,682.33,3791,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,7,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-3.84,-2.07,-0.82,-0.9,997.98,998.8,999.31,999.52,999.75,998.82,999.24,999.55,999.68,998.65,3791,2937.6,           
 2022/07/06-09:55,672,672.5,665,668,9179,675.1,678.63,680.52,681.27,682.09,9179,4395.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,8,8,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-5.18,-2.77,-1.1,-1.21,997.2,998.35,999.06,999.34,999.65,998.32,998.96,999.39,999.57,997.59,9179,4180.6,4395.5
