time,open,high,low,close,vol,MA0,M5_1,M5_2,M5_3,M15_1,B_STOPLOSS,S_STOPLOSS,巨量,大量,阶段放量,反攻放量,BBB,SSS,BK,LABEL_BSP,弱买卖压,涨跌系数,BIG_K,relative_bsp,BIAS0,BIAS1,BIAS2,BIAS3,BIAS4,DF01,DF12,DF23,DF34,SLP0,SLP1,SLP2,SLP3,SLP4,MS0,MS1,MS2,MS3,MS0_HT,多头,空头,靠拢,多进攻,多调整,多中继34,多中继23,多中继12,踩MA4,踩MA3,踩MA2,踩MA1,超卖,多转空,过渡,AMO1,VOLUME,MV1,MV2,MV3
2022/05/18-09:45,4519,4525,4516,4516,651,4519.11,4519.62,4519.8,4519.87,4519.93,,,,,0,0,0,,0,,,,,,-0.69,-0.8,-0.84,-0.86,-0.87,-0.11,-0.04,-0.01,-0.01,999.82,999.92,999.96,999.97,999.99,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,,,6.51
2022/05/18-09:50,4517,4521,4508,4511,1496,4517.31,4518.8,4519.38,4519.58,4519.79,,,,,0,0,0,0,0,,,,,,-1.4,-1.73,-1.85,-1.9,-1.94,-0.33,-0.13,-0.04,-0.05,999.64,999.82,999.9,999.94,999.97,,,,,999.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,,,10.74
2022/05/18-09:55,4511,4517,4506,4508,1615,4515.24,4517.77,4518.82,4519.2,4519.59,,,,,0,0,0,0,0,,,,,,-1.6,-2.16,-2.39,-2.48,-2.56,-0.56,-0.23,-0.08,-0.09,999.58,999.77,999.88,999.92,999.96,,,,,999.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,,,12.54
2022/05/18-10:00,4507,4516,4506,4513,635,4514.74,4517.32,4518.54,4519,4519.48,,,,,0,0,0,0,,,,,,,-0.39,-0.96,-1.23,-1.33,-1.43,-0.57,-0.27,-0.1,-0.11,999.88,999.9,999.94,999.96,999.98,999.73,999.85,999.92,999.94,999.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,,,10.99
2022/05/18-10:05,4511,4521,4511,4516,978,4515.02,4517.19,4518.41,4518.9,4519.43,4506.97,,,,0,0,1,0,,,,,,,0.22,-0.26,-0.53,-0.64,-0.76,-0.48,-0.27,-0.11,-0.12,1000.04,999.97,999.97,999.98,999.99,999.78,999.87,999.92,999.95,999.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,,,10.75
2022/05/18-10:10,4516,4518,4510,4510,1280,4513.91,4516.51,4518,4518.61,4519.27,4506.97,4519.02,,,0,0,0,1,0,,,,,,-0.87,-1.44,-1.77,-1.9,-2.05,-0.58,-0.33,-0.13,-0.15,999.77,999.85,999.91,999.94,999.97,999.82,999.87,999.92,999.95,999.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,,,11.09
2022/05/18-10:15,4510,4514,4506,4512,639,4513.48,4516.08,4517.71,4518.39,4519.15,4506.97,4519.02,,,0,0,0,0,,,,,,,-0.33,-0.9,-1.26,-1.41,-1.58,-0.57,-0.36,-0.15,-0.17,999.9,999.9,999.94,999.95,999.97,999.9,999.91,999.94,999.96,999.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,,,10.42
2022/05/18-10:35,4512,4512,4503,4504,1895,4511.38,4514.93,4517.04,4517.92,4518.9,4506.97,4513.01,,,0,0,0,0,0,,,,,,-1.63,-2.42,-2.89,-3.08,-3.3,-0.79,-0.47,-0.19,-0.22,999.57,999.75,999.85,999.9,999.94,999.82,999.87,999.92,999.94,999.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95,,,11.49
2022/05/18-10:40,4504,4518,4503,4517,950,4512.63,4515.12,4517.04,4517.89,4518.87,4507.97,4513.01,,,0,0,1,0,,,,,,,0.97,0.42,-0.01,-0.2,-0.41,-0.55,-0.42,-0.19,-0.22,1000.23,1000.04,1000,999.99,999.99,999.87,999.89,999.92,999.94,999.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,11.09,,11.27
2022/05/18-10:45,4517,4528,4515,4527,900,4515.82,4516.25,4517.52,4518.19,4519,4517.95,4513.01,,,0,0,0,0,,,,,,,2.48,2.38,2.1,1.95,1.77,-0.1,-0.28,-0.15,-0.18,1000.63,1000.25,1000.11,1000.07,1000.03,1000.08,999.99,999.97,999.98,1000.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11.04,,11.04
