time,open,high,low,close,amount,ma0,ma1,ma2,ma3,ma4,volume,mavol1,mavol2,mavol3,VOL1.LB,VOL1.FZFL,VOL1.分布,VOL1.,VOL1.,VOL1.,VOL1.,VOL1.,LH_RQ.REDIAN,LH_RQ.GWANG,LH_RQ.FL,LH_RQ.SL,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_KL.多头,LH_KL.空头,LH_KL.靠拢,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4,LH_KT.抽MA3,LH_KT.抽MA2,LH_KT.抽MA1,LH_KT.超买,LH_KT.超买L,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势,DF01,DF12,DF23,DF34,SLP0,SLP1,SLP2,SLP3,SLP4,MS0,MS1,MS2,MS3,MS0_HT,LH_ZDF.LS,LH_ZDF.US,LH_ZDF.MAB,LH_ZDF.ZFS,LH_ZDF.MA_US,LH_ZDF.MA_LS,LH_ZDF.LABEL_BSP,LH_ZDF.BIAS0,LH_ZDF.BIAS1,LH_ZDF.BIAS2,LH_ZDF.BIAS3,LH_ZDF.BIAS4,LH_SIGNAL.B,LH_SIGNAL.S
2022/10/11-21:10,3876,3878,3864,3867,54245,3867,3867,3867,3867,3867,54245,,,,,,,0,0,0,0,0,,,,,0,,,,,,,0,0,1,,,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,3,2,,,,,,0,0,0,0,0,,
2022/10/11-21:15,3866,3868,3861,3862,33653,3865.89,3866.52,3866.76,3866.84,3866.92,33653,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,-0.16,-0.06,-0.02,-0.02,999.74,999.88,999.94,999.96,999.98,,,,,,1,2,,,,,,-1.01,-1.17,-1.23,-1.25,-1.27,,
2022/10/11-21:20,3862,3864,3856,3864,40754,3865.47,3866.28,3866.62,3866.74,3866.87,40754,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.21,-0.09,-0.03,-0.03,999.9,999.94,999.97,999.98,999.99,,,,,999.82,6,0,,,,,,-0.38,-0.59,-0.68,-0.71,-0.74,0,0
2022/10/11-21:25,3864,3867,3862,3866,24099,3865.59,3866.26,3866.59,3866.72,3866.85,24099,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.17,-0.09,-0.03,-0.04,1000.02,999.99,999.99,999.99,1000,,,,,999.96,2,1,,,,,,0.11,-0.07,-0.15,-0.19,-0.22,1,0
2022/10/11-21:30,3866,3866,3859,3860,14768,3864.35,3865.66,3866.27,3866.5,3866.74,14768,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.34,-0.16,-0.06,-0.06,999.71,999.85,999.92,999.94,999.97,999.84,999.91,999.95,999.97,999.86,1,0,,,,,,-1.12,-1.46,-1.62,-1.68,-1.74,0,1
2022/10/11-21:35,3860,3864,3859,3862,15603,3863.82,3865.31,3866.06,3866.35,3866.66,15603,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,-0.38,-0.19,-0.07,-0.08,999.87,999.91,999.95,999.96,999.98,999.87,999.92,999.96,999.97,999.79,1,2,,,,,,-0.47,-0.86,-1.05,-1.13,-1.21,0,0
2022/10/11-21:40,3862,3865,3860,3864,10497,3863.86,3865.19,3865.96,3866.27,3866.62,10497,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.34,-0.2,-0.08,-0.09,1000,999.97,999.97,999.98,999.99,999.9,999.93,999.96,999.97,999.93,2,1,,,,,,0.04,-0.31,-0.51,-0.59,-0.68,0,0
2022/10/11-21:45,3865,3865,3862,3863,8721,3863.67,3864.98,3865.82,3866.17,3866.56,8721,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.34,-0.22,-0.09,-0.1,999.95,999.95,999.96,999.97,999.98,999.88,999.92,999.95,999.96,999.97,1,0,,,,,,-0.17,-0.51,-0.73,-0.82,-0.92,0,0
2022/10/11-21:50,3863,3863,3855,3861,26888,3863.08,3864.6,3865.58,3866,3866.47,26888,,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,-0.39,-0.25,-0.11,-0.12,999.85,999.9,999.94,999.96,999.98,999.92,999.93,999.96,999.97,999.9,6,0,,,,,,-0.54,-0.93,-1.19,-1.29,-1.41,0,0
2022/10/11-21:55,3861,3862,3859,3859,7718,3862.17,3864.07,3865.26,3865.77,3866.34,7718,23694.6,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.49,-0.31,-0.13,-0.15,999.78,999.86,999.92,999.94,999.97,999.89,999.92,999.95,999.96,999.82,0,1,,,,,,-0.82,-1.31,-1.62,-1.75,-1.9,0,0
2022/10/11-22:00,3859,3865,3858,3862,10815,3862.13,3863.87,3865.1,3865.64,3866.27,10815,19351.6,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,-0.45,-0.32,-0.14,-0.16,999.98,999.95,999.96,999.97,999.98,999.89,999.91,999.94,999.96,999.88,1,3,,,,,,-0.03,-0.48,-0.8,-0.94,-1.1,0,0
2022/10/11-22:05,3862,3868,3861,3866,16571,3862.99,3864.07,3865.15,3865.66,3866.27,16571,17643.4,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.28,-0.28,-0.13,-0.16,1000.19,1000.05,1000.01,1000,1000,999.95,999.94,999.96,999.97,1000.08,1,2,,,,,,0.78,0.5,0.22,0.09,-0.07,1,0
2022/10/11-22:10,3867,3868,3862,3862,7312,3862.77,3863.88,3864.99,3865.54,3866.2,7312,14299.2,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,-0.29,-0.29,-0.14,-0.17,999.95,999.95,999.96,999.97,999.98,999.97,999.95,999.96,999.97,1000.07,0,1,,,,,,-0.2,-0.49,-0.77,-0.91,-1.09,0,1
2022/10/11-22:15,3862,3865,3861,3865,5309,3863.27,3863.98,3864.99,3865.52,3866.18,5309,12420.2,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.19,-0.26,-0.14,-0.17,1000.11,1000.03,1000,1000,999.99,1000.06,999.99,999.98,999.98,1000.03,1,0,,,,,,0.45,0.26,0,-0.13,-0.3,1,0
2022/10/11-22:20,3865,3866,3863,3866,3988,3863.87,3864.17,3865.04,3865.53,3866.17,3988,11342.2,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.08,-0.22,-0.13,-0.17,1000.14,1000.05,1000.01,1000,1000,1000.1,1000.02,1000,999.99,1000.13,2,0,,,,,,0.55,0.47,0.25,0.12,-0.05,0,0
2022/10/11-22:25,3865,3866,3864,3865,3478,3864.12,3864.25,3865.04,3865.52,3866.15,3478,10129.7,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,-0.03,-0.2,-0.12,-0.17,1000.06,1000.02,1000,1000,999.99,1000.06,1000.01,999.99,999.99,1000.1,1,1,,,,,,0.23,0.19,-0.01,-0.13,-0.3,0,0
2022/10/11-22:30,3865,3865,3859,3860,8632,3863.21,3863.85,3864.79,3865.34,3866.05,8632,9943.2,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,-0.17,-0.24,-0.14,-0.19,999.79,999.9,999.94,999.95,999.97,1000.03,1000,999.99,999.99,999.93,1,0,,,,,,-0.83,-1,-1.24,-1.38,-1.57,0,1
2022/10/11-22:35,3859,3860,3855,3859,16405,3862.27,3863.39,3864.51,3865.13,3865.94,16405,10711.6,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.29,-0.29,-0.16,-0.21,999.78,999.88,999.93,999.95,999.97,999.94,999.96,999.97,999.97,999.79,4,1,,,,,,-0.85,-1.14,-1.43,-1.59,-1.79,0,0
2022/10/11-22:40,3858,3859,3851,3852,22127,3859.99,3862.3,3863.9,3864.7,3865.71,22127,10235.5,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.6,-0.41,-0.21,-0.26,999.46,999.72,999.84,999.89,999.94,999.77,999.88,999.93,999.95,999.62,1,1,,,,,,-2.07,-2.67,-3.08,-3.29,-3.55,0,0
2022/10/11-22:45,3851,3853,3850,3850,18087,3857.77,3861.13,3863.22,3864.22,3865.45,18087,11272.4,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.87,-0.54,-0.26,-0.32,999.47,999.7,999.82,999.88,999.93,999.62,999.8,999.88,999.92,999.46,0,2,3.05,0.33,1,1.75,,-2.01,-2.88,-3.42,-3.68,-4,0,0
2022/10/11-22:50,3850,3856,3847,3856,18595,3857.38,3860.64,3862.87,3863.95,3865.29,18595,12050.4,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.85,-0.58,-0.28,-0.35,999.88,999.87,999.91,999.93,999.96,999.65,999.79,999.88,999.91,999.67,3,0,2.9,2.07,0.9,1.75,,-0.36,-1.2,-1.78,-2.06,-2.4,0,0
2022/10/11-22:55,3856,3857,3853,3854,6015,3856.63,3860.01,3862.44,3863.62,3865.1,6015,10994.8,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.88,-0.63,-0.31,-0.38,999.8,999.84,999.89,999.92,999.95,999.65,999.78,999.87,999.9,999.84,1,1,2.8,0.71,0.85,1.75,,-0.68,-1.56,-2.18,-2.49,-2.87,0,0
2022/10/11-23:00,3855,3856,3846,3847,18382,3854.49,3858.77,3861.68,3863.08,3864.8,18382,12101.8,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.11,-0.75,-0.36,-0.45,999.48,999.68,999.8,999.86,999.92,999.66,999.77,999.86,999.9,999.64,1,1,3.1,2.58,0.9,1.5,,-1.94,-3.05,-3.8,-4.16,-4.61,0,0
2022/10/11-09:05,3845,3851,3832,3834,68578,3849.93,3856.41,3860.33,3862.12,3864.29,68578,18428.7,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.68,-1.02,-0.46,-0.56,998.91,999.39,999.65,999.75,999.87,999.52,999.69,999.81,999.86,999.19,2,6,3.55,3.1,1.15,1.5,,-4.14,-5.81,-6.82,-7.28,-7.84,0,0
2022/10/11-09:10,3833,3842,3831,3833,35622,3846.17,3854.18,3859,3861.17,3863.78,35622,21592.1,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.07,-1.25,-0.56,-0.68,999.07,999.42,999.65,999.75,999.87,999.32,999.58,999.75,999.82,998.99,2,9,3.25,0,1.6,1.55,,-3.42,-5.5,-6.74,-7.29,-7.97,0,0
2022/10/11-09:15,3833,3835,3827,3830,33740,3842.58,3851.88,3857.59,3860.15,3863.22,33740,24618.3,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.41,-1.48,-0.66,-0.8,999.1,999.4,999.63,999.74,999.86,999.14,999.47,999.69,999.78,999.09,3,2,3.3,0.91,1.6,1.65,,-3.27,-5.68,-7.15,-7.81,-8.6,0,0
