time,open,high,low,close,volume
2024/09/11-21:35,7032,7034,7007,7012,23149
2024/09/11-21:40,7013,7020,7004,7007,14113
2024/09/11-21:45,7006,7015,7003,7015,11766
2024/09/11-21:50,7016,7017,6999,7007,13468
2024/09/11-21:55,7006,7006,6988,7004,22161
2024/09/11-22:00,7004,7007,6989,6990,12783
2024/09/11-22:05,6990,6990,6968,6985,28663
2024/09/11-22:10,6985,6985,6969,6977,15368
2024/09/11-22:15,6978,6983,6943,6948,31007
2024/09/11-22:20,6948,6969,6945,6949,25898
2024/09/11-22:25,6949,6964,6949,6962,14174
2024/09/11-22:30,6962,6968,6953,6955,13111
2024/09/11-22:35,6955,6979,6946,6974,23332
2024/09/11-22:40,6974,7004,6973,7001,28461
2024/09/11-22:45,7003,7004,6983,6990,19316
2024/09/11-22:50,6991,7011,6987,7010,19832
2024/09/11-22:55,7010,7020,7004,7011,20595
2024/09/11-23:00,7011,7016,7000,7016,17091
2024/09/11-23:05,7016,7016,6987,6995,25386
2024/09/11-23:10,6996,7009,6987,6999,16504
2024/09/11-23:15,6999,7006,6991,6995,11060
2024/09/11-23:20,6996,7002,6990,6999,9438
2024/09/11-23:25,6999,7002,6990,7001,8100
2024/09/11-23:30,7001,7013,7000,7008,14918
2024/09/11-23:35,7006,7015,7006,7009,9219
2024/09/11-23:40,7009,7029,7002,7003,22374
2024/09/11-23:45,7003,7008,7000,7007,10222
2024/09/11-23:50,7007,7012,7005,7011,6474
2024/09/11-23:55,7011,7011,6991,6996,15314
2024/09/11-00:00,6996,6996,6985,6986,13413
2024/09/11-00:05,6988,6988,6975,6980,14934
2024/09/11-00:10,6979,6987,6975,6984,11389
2024/09/11-00:15,6984,6993,6983,6988,8486
2024/09/11-00:20,6989,6998,6989,6994,5741
2024/09/11-00:25,6994,6997,6988,6992,6249
2024/09/11-00:30,6991,7004,6990,7000,8691
2024/09/11-00:35,7000,7003,6997,6999,4357
2024/09/11-00:40,6999,7007,6995,6997,6294
2024/09/11-00:45,6997,6999,6993,6997,3728
2024/09/11-00:50,6996,7006,6996,6996,4650
2024/09/11-00:55,6996,7005,6993,7001,4974
2024/09/11-01:00,7001,7002,6997,6997,2324
2024/09/11-01:05,6997,7002,6990,7001,7878
2024/09/11-01:10,7001,7005,6998,7000,3734
2024/09/11-01:15,6999,7002,6996,7000,2383
2024/09/11-01:20,7000,7005,7000,7004,2994
2024/09/11-01:25,7004,7012,7001,7002,5947
2024/09/11-01:30,7002,7004,6998,6999,3018
2024/09/11-01:35,6998,6999,6994,6997,3257
2024/09/11-01:40,6997,7005,6996,7000,2841
2024/09/11-01:45,6999,7003,6999,7002,1222
2024/09/11-01:50,7001,7005,7001,7002,1242
2024/09/11-01:55,7003,7005,7002,7005,1366
2024/09/11-02:00,7005,7007,7000,7001,2185
2024/09/11-02:05,7001,7001,6997,7001,2154
2024/09/11-02:10,7001,7004,6999,7003,1306
2024/09/11-02:15,7002,7005,6999,7005,1718
2024/09/11-02:20,7004,7006,7003,7005,1439
2024/09/11-02:25,7005,7008,7001,7004,2026
2024/09/11-02:30,7005,7010,7003,7010,3609
2024/09/11-09:05,7008,7015,6997,7003,20569
2024/09/11-09:10,7005,7025,7004,7024,15080
2024/09/11-09:15,7025,7035,7017,7032,14913
2024/09/11-09:20,7032,7033,7022,7024,10043
2024/09/11-09:25,7024,7028,7013,7027,7947
2024/09/11-09:30,7027,7030,7022,7029,5310
2024/09/11-09:35,7028,7041,7024,7028,12417
2024/09/11-09:40,7028,7038,7025,7038,6936
2024/09/11-09:45,7039,7049,7037,7044,12846
2024/09/11-09:50,7044,7060,7041,7055,16860
2024/09/11-09:55,7054,7055,7036,7038,13379
2024/09/11-10:00,7038,7038,7026,7032,9552
2024/09/11-10:05,7033,7039,7029,7035,7135
2024/09/11-10:10,7034,7045,7034,7045,4965
2024/09/11-10:15,7044,7045,7030,7035,5115
2024/09/11-10:35,7039,7050,7039,7047,8168
2024/09/11-10:40,7047,7051,7041,7045,4868
2024/09/11-10:45,7045,7046,7040,7042,2698
2024/09/11-10:50,7042,7048,7038,7048,3717
2024/09/11-10:55,7048,7053,7040,7042,5300
2024/09/11-11:00,7042,7042,7033,7034,4775
2024/09/11-11:05,7035,7038,7027,7032,6911
2024/09/11-11:10,7031,7033,7025,7028,5473
2024/09/11-11:15,7028,7036,7026,7034,3912
2024/09/11-11:20,7034,7037,7028,7031,2833
2024/09/11-11:25,7031,7033,7025,7029,3053
2024/09/11-11:30,7030,7045,7029,7045,5671
2024/09/11-13:35,7048,7063,7048,7055,19666
2024/09/11-13:40,7055,7068,7051,7063,12698
2024/09/11-13:45,7063,7066,7054,7063,8079
2024/09/11-13:50,7063,7075,7063,7070,12822
2024/09/11-13:55,7070,7071,7061,7064,6722
2024/09/11-14:00,7065,7077,7065,7074,7936
