time,open,high,low,close,volume
2024/08/20-21:50,7427,7437,7420,7437,12781
2024/08/20-21:55,7436,7451,7430,7450,19288
2024/08/20-22:00,7450,7455,7443,7451,13421
2024/08/20-22:05,7451,7476,7450,7469,31073
2024/08/20-22:10,7469,7498,7464,7488,37925
2024/08/20-22:15,7489,7489,7473,7480,25793
2024/08/20-22:20,7480,7480,7462,7466,20663
2024/08/20-22:25,7466,7474,7457,7466,18018
2024/08/20-22:30,7466,7480,7466,7480,12961
2024/08/20-22:35,7480,7499,7478,7495,21145
2024/08/20-22:40,7494,7503,7489,7493,23806
2024/08/20-22:45,7494,7503,7487,7494,17062
2024/08/20-22:50,7494,7509,7486,7508,19796
2024/08/20-22:55,7509,7515,7501,7507,21096
2024/08/20-23:00,7507,7514,7498,7501,15984
2024/08/20-23:05,7501,7513,7493,7505,18243
2024/08/20-23:10,7505,7526,7505,7525,24906
2024/08/20-23:15,7526,7528,7517,7519,15227
2024/08/20-23:20,7519,7526,7514,7519,10489
2024/08/20-23:25,7520,7522,7513,7513,8581
2024/08/20-23:30,7514,7533,7513,7526,17555
2024/08/20-23:35,7526,7527,7515,7520,9755
2024/08/20-23:40,7519,7520,7504,7508,14329
2024/08/20-23:45,7508,7511,7497,7509,17239
2024/08/20-23:50,7510,7517,7504,7515,9427
2024/08/20-23:55,7514,7520,7511,7515,6764
2024/08/20-00:00,7515,7516,7504,7509,7615
2024/08/20-00:05,7509,7517,7502,7509,8405
2024/08/20-00:10,7509,7509,7503,7504,5039
2024/08/20-00:15,7503,7507,7497,7504,8744
2024/08/20-00:20,7505,7506,7486,7490,10916
2024/08/20-00:25,7489,7495,7485,7488,11364
2024/08/20-00:30,7488,7504,7487,7502,8533
2024/08/20-00:35,7501,7504,7498,7502,5106
2024/08/20-00:40,7502,7507,7496,7507,4601
2024/08/20-00:45,7507,7512,7504,7507,6929
2024/08/20-00:50,7506,7508,7501,7505,3715
2024/08/20-00:55,7505,7506,7492,7495,5604
2024/08/20-01:00,7494,7499,7488,7495,6691
2024/08/20-01:05,7495,7495,7482,7491,8114
2024/08/20-01:10,7491,7494,7487,7489,3669
2024/08/20-01:15,7489,7493,7489,7490,2765
2024/08/20-01:20,7490,7498,7489,7495,4082
2024/08/20-01:25,7494,7498,7487,7487,4692
2024/08/20-01:30,7486,7489,7481,7485,6419
2024/08/20-01:35,7485,7489,7481,7487,4091
2024/08/20-01:40,7487,7493,7486,7487,2843
2024/08/20-01:45,7487,7497,7486,7496,3495
2024/08/20-01:50,7496,7506,7495,7499,6180
2024/08/20-01:55,7499,7502,7496,7500,2230
2024/08/20-02:00,7501,7507,7496,7499,3168
2024/08/20-02:05,7498,7501,7496,7498,1557
2024/08/20-02:10,7497,7500,7496,7500,867
2024/08/20-02:15,7500,7505,7498,7502,2316
2024/08/20-02:20,7503,7503,7489,7494,4305
2024/08/20-02:25,7494,7502,7493,7498,1698
2024/08/20-02:30,7499,7501,7483,7485,5523
2024/08/20-09:05,7510,7515,7498,7508,20890
2024/08/20-09:10,7508,7518,7503,7510,13765
2024/08/20-09:15,7510,7514,7498,7501,9968
2024/08/20-09:20,7502,7515,7501,7507,7232
2024/08/20-09:25,7508,7521,7505,7520,8562
2024/08/20-09:30,7520,7525,7515,7520,8664
2024/08/20-09:35,7521,7526,7512,7523,9506
2024/08/20-09:40,7523,7523,7510,7511,7251
2024/08/20-09:45,7511,7518,7506,7517,6299
2024/08/20-09:50,7517,7521,7506,7508,6263
2024/08/20-09:55,7508,7511,7491,7494,12806
2024/08/20-10:00,7494,7501,7492,7498,7268
2024/08/20-10:05,7497,7500,7483,7486,10484
2024/08/20-10:10,7487,7491,7468,7481,20314
2024/08/20-10:15,7480,7483,7462,7477,16138
2024/08/20-10:35,7478,7479,7463,7472,11472
2024/08/20-10:40,7472,7476,7465,7475,8358
2024/08/20-10:45,7475,7485,7473,7481,10216
2024/08/20-10:50,7481,7484,7473,7476,5181
2024/08/20-10:55,7476,7486,7476,7486,3900
2024/08/20-11:00,7487,7487,7481,7485,4292
2024/08/20-11:05,7484,7489,7481,7485,4651
2024/08/20-11:10,7485,7488,7478,7479,3950
2024/08/20-11:15,7480,7482,7473,7480,4553
2024/08/20-11:20,7480,7486,7480,7485,2981
2024/08/20-11:25,7485,7506,7484,7502,11691
2024/08/20-11:30,7503,7509,7501,7505,10363
2024/08/20-13:35,7509,7516,7504,7510,15493
2024/08/20-13:40,7510,7513,7507,7512,6330
2024/08/20-13:45,7512,7514,7504,7505,5499
2024/08/20-13:50,7505,7512,7502,7508,5663
2024/08/20-13:55,7507,7513,7505,7513,4331
2024/08/20-14:00,7512,7515,7505,7509,4490
2024/08/20-14:05,7508,7524,7506,7519,11483
2024/08/20-14:10,7519,7520,7502,7502,9573
2024/08/20-14:15,7502,7507,7493,7505,14102
2024/08/20-14:20,7505,7508,7499,7504,4857
2024/08/20-14:25,7504,7513,7503,7510,5719
2024/08/20-14:30,7510,7547,7510,7543,33975
2024/08/20-14:35,7542,7552,7533,7541,22237
2024/08/20-14:40,7541,7555,7540,7547,14832
2024/08/20-14:45,7547,7560,7546,7557,14136
2024/08/20-14:50,7558,7565,7555,7560,15371
2024/08/20-14:55,7560,7566,7553,7554,12941
2024/08/20-15:00,7554,7556,7549,7554,18212
2024/08/21-21:05,7620,7624,7602,7612,53737
2024/08/21-21:10,7611,7614,7594,7604,29556
2024/08/21-21:15,7604,7616,7599,7608,15593
2024/08/21-21:20,7608,7611,7586,7602,20151
2024/08/21-21:25,7603,7615,7602,7610,14960
2024/08/21-21:30,7610,7631,7605,7628,20673
2024/08/21-21:35,7628,7647,7612,7618,47218
2024/08/21-21:40,7618,7620,7595,7602,31726
2024/08/21-21:45,7602,7612,7596,7610,18119
2024/08/21-21:50,7609,7617,7607,7612,12708
2024/08/21-21:55,7612,7631,7610,7628,19403
2024/08/21-22:00,7627,7631,7619,7627,11454
2024/08/21-22:05,7626,7628,7618,7625,10565
2024/08/21-22:10,7625,7626,7617,7620,9866
2024/08/21-22:15,7620,7620,7601,7606,21392
2024/08/21-22:20,7606,7607,7578,7583,33582
2024/08/21-22:25,7583,7585,7568,7573,26532
2024/08/21-22:30,7573,7581,7562,7579,29063
2024/08/21-22:35,7579,7591,7574,7588,18640
2024/08/21-22:40,7590,7592,7568,7570,19056
2024/08/21-22:45,7570,7581,7566,7567,12145
2024/08/21-22:50,7566,7581,7561,7580,14304
2024/08/21-22:55,7580,7585,7570,7570,11391
2024/08/21-23:00,7571,7575,7566,7570,11258
2024/08/21-23:05,7570,7570,7540,7549,42401
2024/08/21-23:10,7549,7554,7533,7553,32481
2024/08/21-23:15,7553,7557,7543,7544,17752
2024/08/21-23:20,7544,7550,7529,7545,18809
2024/08/21-23:25,7544,7552,7540,7547,12971
2024/08/21-23:30,7548,7555,7539,7548,12713
2024/08/21-23:35,7548,7558,7544,7557,11076
2024/08/21-23:40,7557,7564,7553,7557,14132
2024/08/21-23:45,7557,7558,7542,7544,10724
2024/08/21-23:50,7544,7544,7532,7537,15664
2024/08/21-23:55,7537,7542,7533,7537,9765
2024/08/21-00:00,7537,7538,7524,7526,16475
2024/08/21-00:05,7526,7526,7496,7514,40090
2024/08/21-00:10,7514,7522,7505,7518,20104
2024/08/21-00:15,7518,7528,7517,7526,12261
2024/08/21-00:20,7526,7528,7517,7519,8698
2024/08/21-00:25,7519,7525,7515,7517,8516
2024/08/21-00:30,7517,7521,7511,7517,6195
2024/08/21-00:35,7518,7520,7505,7510,8799
2024/08/21-00:40,7509,7521,7504,7520,7325
2024/08/21-00:45,7521,7521,7513,7519,4889
2024/08/21-00:50,7518,7529,7517,7526,7887
2024/08/21-00:55,7526,7530,7522,7529,6792
2024/08/21-01:00,7530,7537,7529,7532,9339
2024/08/21-01:05,7533,7533,7523,7526,8127
2024/08/21-01:10,7526,7542,7526,7541,7630
2024/08/21-01:15,7541,7542,7533,7534,5741
2024/08/21-01:20,7534,7540,7533,7534,3711
2024/08/21-01:25,7534,7545,7533,7543,5005
2024/08/21-01:30,7543,7544,7539,7543,2921
2024/08/21-01:35,7543,7543,7529,7531,6063
2024/08/21-01:40,7532,7539,7531,7536,2643
2024/08/21-01:45,7537,7537,7532,7537,2434
2024/08/21-01:50,7536,7537,7527,7530,3382
2024/08/21-01:55,7530,7532,7529,7531,1598
2024/08/21-02:00,7530,7534,7530,7534,1664
2024/08/21-02:05,7532,7537,7530,7537,2765
2024/08/21-02:10,7537,7538,7533,7535,2309
2024/08/21-02:15,7535,7542,7535,7540,2626
2024/08/21-02:20,7541,7542,7536,7539,2150
2024/08/21-02:25,7539,7543,7537,7542,2649
2024/08/21-02:30,7540,7542,7535,7535,4802
2024/08/21-09:05,7528,7535,7518,7533,17392
2024/08/21-09:10,7533,7534,7515,7530,12808
2024/08/21-09:15,7530,7536,7512,7512,10940
2024/08/21-09:20,7511,7520,7506,7511,13193
2024/08/21-09:25,7512,7522,7510,7517,7240
2024/08/21-09:30,7517,7522,7513,7516,4830
2024/08/21-09:35,7514,7520,7497,7501,15236
2024/08/21-09:40,7501,7514,7496,7509,13305
2024/08/21-09:45,7509,7527,7508,7521,10491
2024/08/21-09:50,7521,7536,7521,7536,11464
2024/08/21-09:55,7536,7545,7529,7543,13970
2024/08/21-10:00,7542,7545,7535,7537,7138
2024/08/21-10:05,7536,7557,7535,7550,18560
2024/08/21-10:10,7550,7564,7549,7560,13595
2024/08/21-10:15,7559,7561,7552,7559,8120
2024/08/21-10:35,7559,7559,7546,7556,9456
2024/08/21-10:40,7554,7558,7546,7547,4710
2024/08/21-10:45,7548,7555,7548,7550,4046
2024/08/21-10:50,7552,7553,7542,7548,5729
2024/08/21-10:55,7548,7551,7544,7549,3528
2024/08/21-11:00,7548,7558,7548,7557,5419
2024/08/21-11:05,7557,7559,7538,7538,9240
2024/08/21-11:10,7540,7541,7534,7538,6838
2024/08/21-11:15,7538,7544,7536,7540,4123
2024/08/21-11:20,7541,7542,7533,7535,4614
2024/08/21-11:25,7535,7542,7531,7542,4609
2024/08/21-11:30,7542,7546,7538,7540,5150
2024/08/21-13:35,7548,7555,7548,7554,8876
2024/08/21-13:40,7554,7562,7551,7559,8295
2024/08/21-13:45,7560,7572,7557,7568,12899
2024/08/21-13:50,7568,7575,7564,7566,9796
2024/08/21-13:55,7565,7567,7556,7557,6592
2024/08/21-14:00,7557,7563,7555,7556,5517
2024/08/21-14:05,7556,7567,7556,7562,4476
2024/08/21-14:10,7561,7562,7545,7549,9220
2024/08/21-14:15,7548,7556,7543,7554,7837
2024/08/21-14:20,7555,7558,7550,7558,3748
2024/08/21-14:25,7557,7572,7556,7567,8854
2024/08/21-14:30,7568,7572,7563,7572,8185
2024/08/21-14:35,7571,7573,7559,7560,7131
2024/08/21-14:40,7560,7570,7559,7564,3926
2024/08/21-14:45,7564,7565,7556,7557,4025
2024/08/21-14:50,7557,7564,7555,7559,4787
2024/08/21-14:55,7559,7567,7556,7560,6285
2024/08/21-15:00,7560,7563,7557,7562,9314
2024/08/22-21:05,7574,7574,7548,7548,22886
2024/08/22-21:10,7548,7555,7539,7539,14267
2024/08/22-21:15,7540,7542,7526,7537,23952
2024/08/22-21:20,7536,7540,7522,7537,18579
2024/08/22-21:25,7537,7540,7524,7527,10304
2024/08/22-21:30,7528,7534,7518,7524,12771
2024/08/22-21:35,7524,7525,7491,7507,38388
2024/08/22-21:40,7508,7521,7507,7508,20722
2024/08/22-21:45,7508,7508,7478,7483,37032
2024/08/22-21:50,7481,7495,7481,7494,23299
2024/08/22-21:55,7494,7495,7476,7494,19777
2024/08/22-22:00,7495,7503,7494,7501,19082
2024/08/22-22:05,7501,7501,7476,7489,35164
2024/08/22-22:10,7489,7497,7482,7487,18129
2024/08/22-22:15,7486,7522,7483,7517,31833
2024/08/22-22:20,7517,7521,7508,7513,21584
2024/08/22-22:25,7513,7517,7503,7506,14435
2024/08/22-22:30,7506,7514,7499,7499,14599
2024/08/22-22:35,7499,7512,7498,7502,17040
2024/08/22-22:40,7501,7514,7495,7513,15630
2024/08/22-22:45,7513,7525,7503,7523,20166
2024/08/22-22:50,7524,7530,7519,7528,16104
2024/08/22-22:55,7529,7530,7511,7516,16078
2024/08/22-23:00,7516,7517,7503,7506,13850
2024/08/22-23:05,7507,7518,7506,7517,12310
2024/08/22-23:10,7517,7526,7516,7522,13355
2024/08/22-23:15,7522,7526,7518,7524,8334
2024/08/22-23:20,7523,7542,7519,7536,16597
2024/08/22-23:25,7537,7541,7534,7538,10505
2024/08/22-23:30,7538,7548,7537,7544,11557
2024/08/22-23:35,7545,7555,7541,7554,17604
2024/08/22-23:40,7553,7555,7547,7552,8864
2024/08/22-23:45,7551,7554,7546,7548,8477
2024/08/22-23:50,7548,7565,7546,7560,14124
2024/08/22-23:55,7561,7561,7539,7540,15601
2024/08/22-00:00,7540,7545,7536,7538,10540
2024/08/22-00:05,7539,7540,7532,7539,11284
2024/08/22-00:10,7540,7541,7527,7527,10563
2024/08/22-00:15,7529,7529,7519,7527,13825
2024/08/22-00:20,7527,7530,7523,7527,6206
2024/08/22-00:25,7528,7531,7524,7530,5958
2024/08/22-00:30,7530,7536,7530,7532,6990
2024/08/22-00:35,7532,7533,7525,7529,4642
2024/08/22-00:40,7529,7538,7525,7538,5145
2024/08/22-00:45,7539,7539,7523,7528,7017
2024/08/22-00:50,7528,7532,7526,7529,3279
2024/08/22-00:55,7529,7535,7529,7534,4248
2024/08/22-01:00,7534,7540,7532,7536,5665
2024/08/22-01:05,7536,7549,7536,7541,9149
2024/08/22-01:10,7541,7546,7540,7542,3906
2024/08/22-01:15,7543,7544,7535,7543,5584
2024/08/22-01:20,7542,7543,7535,7538,2686
2024/08/22-01:25,7539,7548,7537,7542,4330
2024/08/22-01:30,7542,7544,7531,7533,5581
2024/08/22-01:35,7533,7540,7533,7540,2957
2024/08/22-01:40,7540,7540,7532,7533,2351
2024/08/22-01:45,7533,7535,7519,7525,9198
2024/08/22-01:50,7525,7534,7524,7533,3901
2024/08/22-01:55,7533,7535,7529,7530,2119
2024/08/22-02:00,7530,7537,7530,7533,2648
2024/08/22-02:05,7533,7549,7532,7546,8500
2024/08/22-02:10,7546,7555,7542,7552,6249
2024/08/22-02:15,7551,7565,7549,7563,9966
2024/08/22-02:20,7564,7596,7564,7593,21007
2024/08/22-02:25,7594,7595,7582,7585,6946
2024/08/22-02:30,7586,7594,7581,7591,8643
2024/08/22-09:05,7578,7578,7558,7563,22536
2024/08/22-09:10,7564,7569,7556,7557,9938
2024/08/22-09:15,7559,7575,7557,7568,10595
2024/08/22-09:20,7568,7577,7564,7573,8258
2024/08/22-09:25,7574,7582,7572,7576,8349
2024/08/22-09:30,7575,7586,7574,7583,7270
2024/08/22-09:35,7583,7585,7570,7573,7679
2024/08/22-09:40,7572,7572,7559,7560,9142
2024/08/22-09:45,7560,7566,7544,7551,14811
2024/08/22-09:50,7551,7557,7545,7548,8845
2024/08/22-09:55,7549,7553,7542,7543,9963
2024/08/22-10:00,7544,7549,7535,7542,9907
2024/08/22-10:05,7542,7547,7536,7545,7536
2024/08/22-10:10,7545,7546,7532,7539,7188
2024/08/22-10:15,7539,7542,7533,7540,5103
2024/08/22-10:35,7519,7536,7513,7529,19966
2024/08/22-10:40,7529,7532,7517,7517,10044
2024/08/22-10:45,7517,7531,7515,7529,10425
2024/08/22-10:50,7529,7533,7520,7522,6741
2024/08/22-10:55,7521,7531,7518,7528,5764
2024/08/22-11:00,7527,7540,7525,7536,7691
2024/08/22-11:05,7535,7541,7534,7539,5325
2024/08/22-11:10,7540,7546,7538,7541,6866
2024/08/22-11:15,7541,7551,7539,7548,7433
2024/08/22-11:20,7548,7550,7542,7546,4750
2024/08/22-11:25,7547,7549,7535,7537,5610
2024/08/22-11:30,7538,7542,7537,7539,4311
2024/08/22-13:35,7545,7554,7536,7546,9710
2024/08/22-13:40,7545,7547,7540,7546,4051
2024/08/22-13:45,7545,7547,7528,7533,8480
2024/08/22-13:50,7532,7534,7524,7532,7132
2024/08/22-13:55,7532,7555,7531,7555,10072
2024/08/22-14:00,7555,7566,7548,7553,14562
2024/08/22-14:05,7553,7553,7542,7545,5798
2024/08/22-14:10,7547,7552,7537,7547,7533
2024/08/22-14:15,7547,7556,7546,7550,4958
2024/08/22-14:20,7550,7560,7539,7544,9031
2024/08/22-14:25,7545,7547,7541,7546,3871
2024/08/22-14:30,7547,7556,7542,7556,7049
2024/08/22-14:35,7555,7556,7540,7541,7433
2024/08/22-14:40,7541,7544,7520,7521,13024
2024/08/22-14:45,7521,7524,7504,7518,21487
2024/08/22-14:50,7518,7523,7509,7519,11381
2024/08/22-14:55,7520,7522,7515,7518,6154
2024/08/22-15:00,7518,7524,7512,7512,10959
2024/08/23-21:05,7553,7553,7537,7541,35619
2024/08/23-21:10,7541,7563,7541,7560,25517
2024/08/23-21:15,7558,7571,7554,7561,19961
2024/08/23-21:20,7561,7567,7543,7551,16979
2024/08/23-21:25,7551,7555,7525,7529,26500
2024/08/23-21:30,7529,7537,7525,7532,13261
2024/08/23-21:35,7532,7532,7487,7496,46083
2024/08/23-21:40,7497,7519,7496,7510,32692
2024/08/23-21:45,7509,7519,7494,7506,21278
2024/08/23-21:50,7505,7510,7492,7507,23067
2024/08/23-21:55,7507,7522,7507,7514,20182
2024/08/23-22:00,7514,7521,7505,7517,12946
2024/08/23-22:05,7516,7517,7489,7490,23284
2024/08/23-22:10,7491,7496,7463,7469,44297
2024/08/23-22:15,7470,7472,7425,7430,59603
2024/08/23-22:20,7431,7443,7412,7426,44884
2024/08/23-22:25,7424,7431,7402,7418,43773
2024/08/23-22:30,7418,7436,7418,7429,32546
2024/08/23-22:35,7429,7436,7403,7407,25097
2024/08/23-22:40,7405,7412,7388,7410,46082
2024/08/23-22:45,7410,7420,7408,7413,19520
2024/08/23-22:50,7413,7426,7410,7418,18044
2024/08/23-22:55,7418,7436,7415,7435,21359
2024/08/23-23:00,7435,7436,7426,7427,14899
2024/08/23-23:05,7427,7446,7425,7436,25626
2024/08/23-23:10,7436,7436,7417,7424,21681
2024/08/23-23:15,7423,7428,7416,7420,13405
2024/08/23-23:20,7421,7426,7415,7423,10345
2024/08/23-23:25,7423,7427,7416,7419,7978
2024/08/23-23:30,7419,7422,7412,7414,7650
2024/08/23-23:35,7413,7422,7403,7410,13665
2024/08/23-23:40,7411,7423,7411,7416,11116
2024/08/23-23:45,7417,7427,7416,7425,8496
2024/08/23-23:50,7425,7432,7419,7420,12705
2024/08/23-23:55,7420,7424,7417,7423,6633
2024/08/23-00:00,7423,7430,7421,7428,5948
2024/08/23-00:05,7428,7437,7426,7433,8502
2024/08/23-00:10,7433,7437,7429,7436,5965
2024/08/23-00:15,7435,7448,7432,7443,12982
2024/08/23-00:20,7443,7457,7441,7452,13059
2024/08/23-00:25,7452,7459,7444,7444,12617
2024/08/23-00:30,7445,7451,7443,7448,7488
2024/08/23-00:35,7449,7453,7441,7453,8478
2024/08/23-00:40,7452,7456,7448,7451,6009
2024/08/23-00:45,7451,7453,7449,7451,4068
2024/08/23-00:50,7450,7464,7450,7456,10451
2024/08/23-00:55,7456,7456,7445,7446,6555
2024/08/23-01:00,7447,7448,7437,7444,8812
2024/08/23-01:05,7444,7445,7435,7436,6391
2024/08/23-01:10,7436,7439,7429,7432,7977
2024/08/23-01:15,7433,7436,7424,7425,7818
2024/08/23-01:20,7425,7428,7414,7418,10698
2024/08/23-01:25,7418,7423,7414,7422,7808
2024/08/23-01:30,7422,7423,7411,7422,7653
2024/08/23-01:35,7422,7428,7419,7423,6416
2024/08/23-01:40,7424,7435,7422,7432,6403
2024/08/23-01:45,7431,7433,7426,7426,3428
2024/08/23-01:50,7427,7431,7421,7424,4642
2024/08/23-01:55,7424,7429,7417,7419,4219
2024/08/23-02:00,7418,7425,7416,7418,3940
2024/08/23-02:05,7417,7421,7410,7415,6403
2024/08/23-02:10,7415,7415,7396,7408,11941
2024/08/23-02:15,7409,7409,7394,7404,5913
2024/08/23-02:20,7404,7421,7402,7416,7636
2024/08/23-02:25,7417,7420,7412,7417,3046
2024/08/23-02:30,7417,7417,7407,7415,5640
2024/08/23-09:05,7427,7442,7427,7438,20705
2024/08/23-09:10,7437,7449,7436,7438,12953
2024/08/23-09:15,7438,7440,7429,7431,9121
2024/08/23-09:20,7430,7446,7425,7437,8409
2024/08/23-09:25,7437,7438,7427,7433,5775
2024/08/23-09:30,7433,7442,7432,7437,3947
2024/08/23-09:35,7436,7441,7430,7438,5062
2024/08/23-09:40,7439,7445,7436,7442,5870
2024/08/23-09:45,7442,7449,7441,7441,6477
2024/08/23-09:50,7441,7453,7437,7445,8238
2024/08/23-09:55,7444,7453,7440,7448,5718
2024/08/23-10:00,7447,7450,7443,7447,3919
2024/08/23-10:05,7448,7451,7438,7441,6037
2024/08/23-10:10,7441,7441,7430,7433,7572
2024/08/23-10:15,7434,7435,7430,7434,3807
2024/08/23-10:35,7435,7436,7416,7425,11683
2024/08/23-10:40,7425,7430,7422,7425,4469
2024/08/23-10:45,7424,7429,7419,7423,3789
2024/08/23-10:50,7425,7432,7419,7430,4988
2024/08/23-10:55,7429,7433,7423,7426,3331
2024/08/23-11:00,7425,7432,7421,7430,3873
2024/08/23-11:05,7430,7445,7429,7443,7443
2024/08/23-11:10,7442,7450,7438,7440,8232
2024/08/23-11:15,7441,7445,7438,7439,3061
2024/08/23-11:20,7439,7449,7436,7449,3831
2024/08/23-11:25,7448,7449,7442,7443,3395
2024/08/23-11:30,7445,7454,7442,7453,6416
2024/08/23-13:35,7464,7484,7464,7475,26724
2024/08/23-13:40,7474,7493,7474,7488,15578
2024/08/23-13:45,7488,7490,7475,7479,9080
2024/08/23-13:50,7479,7489,7478,7479,7306
2024/08/23-13:55,7480,7480,7469,7473,8878
2024/08/23-14:00,7473,7485,7472,7482,7683
2024/08/23-14:05,7482,7486,7474,7485,6262
2024/08/23-14:10,7484,7499,7484,7489,12980
2024/08/23-14:15,7489,7490,7480,7480,6278
2024/08/23-14:20,7480,7487,7478,7479,4745
2024/08/23-14:25,7478,7485,7473,7482,7864
2024/08/23-14:30,7481,7485,7475,7484,4405
2024/08/23-14:35,7484,7484,7465,7467,9241
2024/08/23-14:40,7466,7482,7465,7479,6772
2024/08/23-14:45,7479,7495,7479,7489,11174
2024/08/23-14:50,7487,7495,7485,7492,8537
2024/08/23-14:55,7493,7495,7485,7494,8063
2024/08/23-15:00,7495,7496,7487,7493,12169
2024/08/26-21:05,7508,7515,7482,7489,30688
2024/08/26-21:10,7490,7491,7471,7478,17447
2024/08/26-21:15,7478,7494,7478,7483,12085
2024/08/26-21:20,7483,7502,7480,7491,15268
2024/08/26-21:25,7491,7496,7469,7478,18102
2024/08/26-21:30,7478,7481,7467,7475,11598
2024/08/26-21:35,7475,7476,7463,7471,14209
2024/08/26-21:40,7471,7480,7465,7469,12935
2024/08/26-21:45,7470,7475,7459,7470,15396
2024/08/26-21:50,7471,7474,7458,7466,11915
2024/08/26-21:55,7465,7487,7464,7482,15051
2024/08/26-22:00,7483,7486,7477,7481,7447
2024/08/26-22:05,7481,7561,7480,7558,104730
2024/08/26-22:10,7558,7611,7557,7575,103373
2024/08/26-22:15,7575,7618,7574,7614,61498
2024/08/26-22:20,7615,7616,7545,7549,72898
2024/08/26-22:25,7549,7576,7522,7569,71676
2024/08/26-22:30,7569,7587,7555,7579,34512
2024/08/26-22:35,7579,7599,7579,7591,39774
2024/08/26-22:40,7591,7593,7566,7578,34941
2024/08/26-22:45,7578,7578,7565,7574,19625
2024/08/26-22:50,7575,7582,7542,7554,32623
2024/08/26-22:55,7554,7560,7531,7543,33713
