time,open,high,low,close,volume
 2024/03/12-10:40,6160,6163,6160,6161,1778
 2024/03/12-10:45,6161,6162,6161,6161,1086
 2024/03/12-10:50,6162,6164,6161,6163,1018
 2024/03/12-10:55,6163,6163,6160,6160,1127
 2024/03/12-11:00,6160,6162,6158,6160,2972
 2024/03/12-11:05,6160,6162,6160,6161,1425
 2024/03/12-11:10,6161,6161,6155,6156,3525
 2024/03/12-11:15,6156,6156,6152,6156,5279
 2024/03/12-11:20,6156,6156,6151,6153,5238
 2024/03/12-11:25,6153,6153,6150,6153,4124
 2024/03/12-11:30,6153,6158,6152,6158,4650
 2024/03/12-13:35,6162,6166,6162,6163,9676
 2024/03/12-13:40,6162,6163,6157,6160,4989
 2024/03/12-13:45,6159,6161,6153,6154,5742
 2024/03/12-13:50,6154,6158,6153,6156,4533
 2024/03/12-13:55,6157,6158,6156,6157,2820
 2024/03/12-14:00,6157,6161,6155,6160,4013
 2024/03/12-14:05,6159,6163,6157,6157,3952
 2024/03/12-14:10,6157,6161,6157,6159,2567
 2024/03/12-14:15,6158,6159,6156,6157,1706
 2024/03/12-14:20,6157,6158,6152,6156,6386
 2024/03/12-14:25,6156,6156,6152,6154,3819
 2024/03/12-14:30,6154,6158,6154,6157,3731
 2024/03/12-14:35,6157,6157,6155,6155,2254
 2024/03/12-14:40,6155,6156,6151,6155,3736
 2024/03/12-14:45,6155,6158,6155,6156,3123
 2024/03/12-14:50,6156,6156,6152,6153,4199
 2024/03/12-14:55,6153,6154,6152,6153,3814
 2024/03/12-15:00,6153,6156,6152,6154,7439
 2024/03/13-21:05,6155,6155,6115,6125,62134
 2024/03/13-21:10,6125,6136,6119,6128,42644
 2024/03/13-21:15,6128,6134,6122,6133,22336
 2024/03/13-21:20,6133,6137,6120,6121,18642
 2024/03/13-21:25,6120,6135,6118,6135,18655
 2024/03/13-21:30,6135,6142,6134,6140,17323
 2024/03/13-21:35,6139,6139,6130,6130,14775
 2024/03/13-21:40,6130,6131,6107,6109,43895
 2024/03/13-21:45,6110,6117,6104,6109,32999
 2024/03/13-21:50,6107,6119,6107,6117,14407
 2024/03/13-21:55,6117,6122,6116,6119,12966
 2024/03/13-22:00,6119,6122,6115,6118,6895
 2024/03/13-22:05,6118,6125,6114,6116,12309
 2024/03/13-22:10,6115,6120,6112,6112,9498
 2024/03/13-22:15,6113,6113,6106,6110,13974
 2024/03/13-22:20,6111,6121,6109,6120,10861
 2024/03/13-22:25,6120,6124,6118,6124,9132
 2024/03/13-22:30,6124,6127,6123,6124,9389
 2024/03/13-22:35,6124,6129,6123,6129,7566
 2024/03/13-22:40,6129,6130,6124,6125,8589
 2024/03/13-22:45,6125,6126,6121,6122,4591
 2024/03/13-22:50,6122,6130,6120,6128,6035
 2024/03/13-22:55,6128,6133,6127,6130,8874
 2024/03/13-23:00,6131,6131,6124,6126,6096
 2024/03/13-23:05,6126,6127,6120,6121,8157
 2024/03/13-23:10,6121,6124,6120,6124,5241
 2024/03/13-23:15,6124,6125,6121,6124,3087
 2024/03/13-23:20,6124,6126,6122,6122,4189
 2024/03/13-23:25,6122,6123,6118,6123,6039
 2024/03/13-23:30,6123,6124,6122,6124,3131
 2024/03/13-23:35,6124,6129,6123,6128,5396
 2024/03/13-23:40,6128,6129,6127,6128,3003
 2024/03/13-23:45,6128,6128,6126,6127,2441
 2024/03/13-23:50,6127,6129,6126,6126,1458
 2024/03/13-23:55,6126,6129,6126,6128,1208
 2024/03/13-00:00,6128,6128,6126,6127,1000
 2024/03/13-00:05,6127,6127,6125,6126,1441
 2024/03/13-00:10,6126,6126,6125,6125,1337
 2024/03/13-00:15,6126,6128,6125,6128,990
 2024/03/13-00:20,6128,6128,6124,6125,1236
 2024/03/13-00:25,6125,6129,6125,6128,1412
 2024/03/13-00:30,6128,6129,6125,6125,981
 2024/03/13-00:35,6126,6127,6125,6127,590
 2024/03/13-00:40,6127,6129,6126,6128,1188
 2024/03/13-00:45,6128,6128,6126,6127,1632
 2024/03/13-00:50,6127,6129,6127,6129,1152
 2024/03/13-00:55,6129,6132,6128,6131,2963
 2024/03/13-01:00,6131,6132,6130,6130,1758
 2024/03/13-01:05,6130,6130,6124,6126,4358
 2024/03/13-01:10,6126,6126,6123,6123,2391
 2024/03/13-01:15,6123,6124,6122,6123,1609
 2024/03/13-01:20,6123,6123,6118,6120,4052
 2024/03/13-01:25,6120,6123,6120,6122,1726
 2024/03/13-01:30,6122,6123,6120,6121,1257
 2024/03/13-01:35,6121,6121,6116,6118,2594
 2024/03/13-01:40,6118,6122,6118,6122,1083
 2024/03/13-01:45,6122,6122,6117,6119,1187
 2024/03/13-01:50,6119,6119,6116,6117,1375
 2024/03/13-01:55,6118,6119,6116,6116,1052
 2024/03/13-02:00,6117,6119,6115,6115,2113
 2024/03/13-02:05,6115,6117,6112,6114,3120
 2024/03/13-02:10,6114,6116,6112,6114,1244
 2024/03/13-02:15,6114,6114,6109,6110,3840
 2024/03/13-02:20,6110,6116,6109,6115,2199
 2024/03/13-02:25,6116,6119,6115,6119,1416
 2024/03/13-02:30,6119,6120,6117,6119,3616
 2024/03/13-09:05,6122,6127,6121,6123,10440
 2024/03/13-09:10,6123,6126,6121,6125,3959
 2024/03/13-09:15,6125,6125,6122,6123,2351
 2024/03/13-09:20,6122,6124,6121,6124,2034
 2024/03/13-09:25,6124,6126,6122,6124,1383
 2024/03/13-09:30,6124,6124,6121,6122,1565
 2024/03/13-09:35,6122,6124,6121,6124,1647
 2024/03/13-09:40,6123,6124,6122,6123,1178
 2024/03/13-09:45,6122,6124,6121,6123,2182
 2024/03/13-09:50,6124,6125,6122,6125,1588
 2024/03/13-09:55,6124,6126,6124,6126,2337
