      时间,    开盘,    最高,    最低,    收盘,         成交量,LH_MA_ALL.M0    ,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M2M   ,LH_MA_ALL.      ,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,MA_STAGE.P1    ,MA_STAGE.P2    ,MA_STAGE.P3    ,MA_STAGE.P4    ,MA_STAGE.P5    ,MA_STAGE.P6    ,MA_STAGE.P7    ,MA_STAGE.P8    ,MA_STAGE.P9    ,MA_STAGE.P10   ,MA_STAGE.P11   ,MA_STAGE.P12   ,MA_STAGE.P13   ,MA_STAGE.P14   ,MA_STAGE.P15   ,MA_STAGE.P16   ,MA_STAGE.P17   ,MA_STAGE.P18   ,MV_STAGE.P10   ,MV_STAGE.S1    ,MV_STAGE.S2    ,MV_STAGE.S3    ,LH_VOL_TDX.AMO1  ,LH_VOL_TDX.VOLUME,LH_VOL_TDX.MV1   ,LH_VOL_TDX.MV2   ,LH_VOL_TDX.MV3   ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_KL_ALL.KL_S  ,LH_KL_ALL.KL_M  ,LH_KL_ALL.KL_L  ,LH_BIAS.BI1S  ,LH_BIAS.BI2S  ,LH_BIAS.BI3S  ,LH_BIAS.BI2M  ,LH_BIAS.BI3M  ,LH_BIAS.BI2L  ,LH_BIAS.BI3L  ,LH_BIAS.BI2S_DF,LH_BIAS.BI3S_DF,LH_BIAS.BI1M_DF,LH_BIAS.BI2M_DF,LH_BIAS.BI3M_DF,LH_BIAS.BI1L_DF,LH_BIAS.BI2L_DF,LH_BIAS.BI3L_DF,LH_BSP.BODY  ,LH_BSP.MAB   ,LH_BSP.LABEL_BSP,LH_BSP.弱买卖压,LH_BSP.涨跌系数,LH_BSP.BIG_K ,LH_BSP.RELATIVE_BSP,LH_BSP.BSP_RARIO,LH_BSP.YC_BSP,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.DF45  ,LH_DF_SLP.DF56  ,LH_DF_SLP.DF67  ,LH_DF_SLP.DF78  ,LH_DF_SLP.DF89  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,LH_ZDF_V_P.UP_K_10,LH_ZDF_V_P.DW_K_10,LH_ZDF_V_P.UP_K_20,LH_ZDF_V_P.DW_K_20,LH_ZDF_V_P.UP_K_40,LH_ZDF_V_P.DW_K_40,LH_ZDF_V_P.BPV_10_2K,LH_ZDF_V_P.UP_PV_10,LH_ZDF_V_P.DW_PV_10,LH_ZDF_V_P.UP_PV_20,LH_ZDF_V_P.DW_PV_20,LH_ZDF_V_P.UP_PV_40,LH_ZDF_V_P.DW_PV_40
 2024/03/12-10:40,6160,6163,6160,6161,1778,6161,6161,6161,6161,6161,6161,0.01,17.78,17.78,17.78,17.78,0,0,0,0,           ,0,0,0,0,           ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,           ,0.01,17.78,17.78,17.78,17.78,0,0,0,0,0,0,           ,0,1,1,1,0,0,0,0,0,0,0,           ,           ,           ,           ,           ,           ,           ,           ,1,           ,           ,           ,           ,           ,           ,           ,           ,0,0,0,0,0,0,0,0,           ,           ,           ,           ,           ,           ,           ,           ,           ,1,0,1,0,1,0,           ,1,0,1,0,1,0
 2024/03/12-10:45,6161,6162,6161,6161,1086,6161,6161,6161,6161,6161,6159.75,0.01,10.86,16.52,17.44,10.86,0,0,0,0,16.52,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.01,10.86,16.52,17.44,10.86,0,0,0,0,0,0,16.52,0,1,1,1,0,0,0,0,0,0,0,           ,           ,           ,           ,           ,           ,           ,           ,0,           ,           ,           ,           ,           ,           ,           ,           ,0,0,0,0,0,0,0,0,1000,1000,1000,1000,           ,           ,           ,           ,           ,1,0,1,0,1,0,0,1,0,1,0,1,0
 2024/03/12-10:50,6162,6164,6161,6163,1018,6161.8,6161.44,6161.24,6161.12,6161.06,6158.5,0.01,10.18,15.37,17.09,10.41,0,0,0,0,15.37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.01,10.18,15.37,17.09,10.41,0,0,0,0,0,0,15.37,0,1,1,1,0.25,0.29,0.3,0.31,0.32,0.32,0.32,           ,           ,           ,           ,           ,           ,           ,           ,1,           ,           ,           ,           ,           ,           ,           ,           ,0.03,0.02,0,0.01,0,0,0,0,1000.03,1000.02,1000.01,1000.01,           ,           ,           ,           ,1000.03,1,0,1,0,1,0,0,1,0,1,0,1,0
 2024/03/12-10:55,6163,6163,6160,6160,1127,6161.08,6161.12,6161.09,6161.05,6161.03,6157.25,0.01,11.27,14.62,16.8,10.84,0,0,0,0,14.62,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.01,11.27,14.62,16.8,10.84,0,0,0,0,0,0,14.62,0,1,1,1,-0.18,-0.18,-0.17,-0.17,-0.16,-0.16,-0.16,           ,           ,           ,           ,           ,           ,           ,           ,-3,           ,           ,           ,           ,           ,           ,           ,           ,0.01,0.01,0,0,0,0,0,0,999.98,999.99,999.99,1000,           ,           ,           ,           ,1000.01,0,1,0,1,0,1,0,1,0,1,0,1,0
 2024/03/12-11:00,6160,6162,6158,6160,2972,6160.65,6160.87,6160.96,6160.99,6161,6156,0.01,29.72,17.37,17.43,18.39,0,0,0,0,           ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,29.72,17.37,17.43,18.39,0,0,0,1,0,1,           ,1,1,1,1,-0.14,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,           ,           ,           ,           ,           ,           ,           ,           ,0,           ,           ,           ,           ,           ,           ,           ,           ,-0.01,0,0,0,0,0,0,0,999.98,999.99,999.99,1000,1000,1000,1000,1000,999.96,0,1,0,1,0,1,0,1,0,1,0,1,0
 2024/03/12-11:05,6160,6162,6160,6161,1425,6160.79,6160.9,6160.97,6160.99,6161,6154.75,0.01,14.25,16.8,17.28,17.01,0,0,0,0,           ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.01,14.25,16.8,17.28,17.01,0,0,0,0,0,0,           ,0,1,1,1,0.02,0.01,0,0,0,0,0,           ,           ,           ,           ,           ,           ,           ,           ,1,           ,           ,           ,           ,           ,           ,           ,           ,-0.01,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,999.98,0,1,0,1,0,1,0,1,0,1,0,1,0
 2024/03/12-11:10,6161,6161,6155,6156,3525,6158.87,6159.81,6160.38,6160.69,6160.84,6153.5,0.01,35.25,20.16,18.16,22.22,0,0,0,0,           ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.01,35.25,20.16,18.16,22.22,0,0,0,1,0,0,           ,1,1,1,1,-0.62,-0.71,-0.76,-0.79,-0.8,-0.81,-0.81,-0.6,           ,           ,           ,           ,           ,           ,           ,-5,           ,           ,           ,           ,           ,           ,           ,           ,-0.09,-0.05,0,-0.03,-0.01,0,-0.01,0,999.92,999.96,999.97,999.99,999.94,999.97,999.99,999.99,999.92,0,1,0,1,0,1,0,1,0,1,0,1,0
 2024/03/12-11:15,6156,6156,6152,6156,5279,6157.72,6158.97,6159.87,6160.4,6160.69,6152.25,0.01,52.79,26.09,19.85,29.86,0,0,0,0,           ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.01,52.79,26.09,19.85,29.86,0,0,0,1,0,0,           ,1,1,1,1,-0.48,-0.63,-0.71,-0.76,-0.79,-0.8,-0.81,-0.43,           ,           ,           ,           ,           ,           ,           ,0,           ,           ,           ,           ,           ,           ,           ,           ,-0.15,-0.09,0,-0.05,-0.02,0,-0.01,-0.01,999.93,999.96,999.97,999.99,999.92,999.96,999.98,999.99,999.86,0,1,0,1,0,1,0,1,0,1,0,1,0
 2024/03/12-11:20,6156,6156,6151,6153,5238,6155.83,6157.64,6159.06,6159.95,6160.46,6151,0.01,52.38,30.87,21.43,34.87,0,0,0,0,           ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.01,52.38,30.87,21.43,34.87,0,0,0,1,0,0,           ,1,1,1,1,-0.75,-0.98,-1.13,-1.21,-1.25,-1.28,-1.29,-0.65,           ,           ,           ,           ,           ,           ,           ,-3,           ,           ,           ,           ,           ,           ,           ,           ,-0.23,-0.15,0,-0.08,-0.04,0,-0.02,-0.01,999.89,999.94,999.96,999.98,999.88,999.94,999.97,999.98,999.84,0,1,0,1,0,1,0,1,0,1,0,1,0
 2024/03/12-11:25,6153,6153,6150,6153,4124,6154.7,6156.61,6158.35,6159.53,6160.23,6149.75,0.01,41.24,32.75,22.4,36.14,0,0,0,0,           ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.01,41.24,32.75,22.4,36.14,0,0,0,0,0,0,           ,0,1,1,1,-0.59,-0.87,-1.06,-1.17,-1.23,-1.27,-1.28,-0.37,           ,-0.69,           ,           ,-0.83,           ,           ,0,           ,           ,           ,           ,           ,           ,           ,           ,-0.28,-0.19,0,-0.11,-0.06,0,-0.03,-0.02,999.9,999.94,999.96,999.98,999.84,999.91,999.95,999.97,999.82,0,1,0,1,0,1,0,1,0,1,0,1,0
