time,open,high,low,close,volume,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M2M   ,LH_MA_ALL.M3M   ,LH_MA_ALL.PV1   ,LH_MA_ALL.PV2   ,LH_MA_ALL.PV3   ,LH_MA_ALL.PEAK_PREV1,LH_MA_ALL.PEAK_PREV2,LH_MA_ALL.T_PREV1,LH_MA_ALL.T_PREV2,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO
2025/07/21-09:35,6036,6051.2,6022.8,6046.2,4428,6046.2,6046.2,6046.2,6046.2,6046.2,6046.2,6046.2,6046.2,           ,           ,           ,           ,0,44.28,44.28,44.28,44.28,0,0,0,0,           ,0,0,0,0,           ,0,1,1,1,1,1,1,           ,0,44.28,44.28,44.28,44.28,0,0,0,0,           ,0,0,0,0,           ,0,1,1,1,1,1,1,           
2025/07/21-09:40,6046.8,6059.2,6045.4,6053,2867,6048.14,6047.25,6046.74,6046.48,6046.34,6048.42,6048.42,6047.29,           ,           ,           ,           ,0,28.67,41.44,43.52,28.67,0,0,0,0,41.44,1,0,0,0,0,0,1.52,1.45,0.95,0.69,0.66,1,0.65,0,28.67,41.44,43.52,28.67,0,0,0,0,41.44,1,0,0,0,0,0,1.52,1.45,0.95,0.69,0.66,1,0.65
2025/07/21-09:45,6053.6,6057.2,6043,6054,1842,6049.82,6048.29,6047.32,6046.78,6046.5,6050.63,6050.63,6048.38,           ,           ,           ,           ,0,18.42,37.26,42.29,21.84,0,0,0,0,37.26,1,0,0,0,0,0,1.94,1.71,0.88,0.49,0.44,0.84,0.64,0,18.42,37.26,42.29,21.84,0,0,0,0,37.26,1,0,0,0,0,0,1.94,1.71,0.88,0.49,0.44,0.84,0.64
2025/07/21-09:50,6054,6067.8,6041.2,6043.2,2057,6047.93,6047.5,6046.99,6046.64,6046.43,6052.85,6052.85,6049.47,           ,           ,           ,           ,0,20.57,34.22,41.23,21.2,0,0,0,0,34.22,1,0,0,0,0,0,1.94,1.61,0.83,0.6,0.5,0.97,1.12,0,20.57,34.22,41.23,21.2,0,0,0,0,34.22,1,0,0,0,0,0,1.94,1.61,0.83,0.6,0.5,0.97,1.12
2025/07/21-09:55,6043.2,6051.8,6040.2,6049.8,1243,6048.46,6047.86,6047.22,6046.77,6046.5,6055.07,6055.07,6050.56,           ,           ,           ,           ,0,12.43,30.26,39.83,17.69,0,0,0,0,30.26,1,0,0,0,0,0,2.25,1.71,0.76,0.41,0.31,0.7,0.6,0,12.43,30.26,39.83,17.69,0,0,0,0,30.26,1,0,0,0,0,0,2.25,1.71,0.76,0.41,0.31,0.7,0.6
2025/07/21-10:00,6050,6068,6048.8,6064.4,1581,6053.02,6050.4,6048.59,6047.49,6046.87,6057.28,6057.28,6051.65,           ,           ,           ,           ,0,15.81,27.63,38.66,17.07,0,0,0,0,27.63,1,0,0,0,0,0,2.27,1.62,0.71,0.57,0.41,0.93,1.27,0,15.81,27.63,38.66,17.07,0,0,0,0,27.63,1,0,0,0,0,0,2.27,1.62,0.71,0.57,0.41,0.93,1.27
2025/07/21-10:05,6064.4,6065,6053.6,6061.8,923,6055.52,6052.15,6049.65,6048.07,6047.18,6059.5,6059.5,6052.74,           ,           ,           ,           ,0,9.23,24.29,37.22,14.83,0,0,0,0,24.29,1,0,0,0,0,0,2.51,1.64,0.65,0.38,0.25,0.62,0.58,0,9.23,24.29,37.22,14.83,0,0,0,0,24.29,1,0,0,0,0,0,2.51,1.64,0.65,0.38,0.25,0.62,0.58
2025/07/21-10:10,6060.8,6061.6,6050.8,6060.6,633,6056.98,6053.45,6050.53,6048.58,6047.45,6061.72,6061.72,6053.83,           ,           ,           ,           ,0,6.33,21.02,35.72,12.7,0,0,0,0,21.02,1,0,0,0,0,0,2.81,1.65,0.59,0.3,0.18,0.5,0.69,0,6.33,21.02,35.72,12.7,0,0,0,0,21.02,1,0,0,0,0,0,2.81,1.65,0.59,0.3,0.18,0.5,0.69
2025/07/21-10:15,6060.6,6069.8,6060.4,6064.4,1086,6059.1,6055.14,6051.64,6049.23,6047.8,6063.93,6063.93,6054.92,           ,           ,           ,           ,0,10.86,19.17,34.5,12.29,0,0,0,0,19.17,1,0,0,1,0,0,2.81,1.56,0.56,0.57,0.31,0.88,1.72,0,10.86,19.17,34.5,12.29,0,0,0,0,19.17,1,0,0,1,0,0,2.81,1.56,0.56,0.57,0.31,0.88,1.72
2025/07/21-10:20,6064.4,6077.4,6062.6,6068.8,1805,6061.87,6057.24,6053.01,6050.03,6048.24,6066.15,6066.15,6056.01,           ,           ,           ,           ,0,18.05,18.97,33.7,13.44,0,0,0,0,18.97,0,1,0,1,0,0,2.51,1.41,0.56,0.95,0.54,1.34,1.66,0,18.05,18.97,33.7,13.44,0,0,0,0,18.97,0,1,0,1,0,0,2.51,1.41,0.56,0.95,0.54,1.34,1.66
