time,open,high,low,close,volume
2025/07/15-10:35,5898.4,5902.2,5892.2,5899.4,619
2025/07/15-10:40,5900,5910,5895.4,5910,544
2025/07/15-10:45,5910,5911.2,5898,5898.4,525
2025/07/15-10:50,5899,5900.4,5894,5898,347
2025/07/15-10:55,5898,5899,5894.2,5894.8,236
2025/07/15-11:00,5894.8,5896.6,5890.4,5894.8,376
2025/07/15-11:05,5894.8,5895.6,5875.6,5883.4,1177
2025/07/15-11:10,5883.4,5885.6,5870,5871.8,991
2025/07/15-11:15,5872,5872,5858,5860.4,1581
2025/07/15-11:20,5860.6,5864,5851.4,5853,1421
2025/07/15-11:25,5853,5859.6,5848.8,5856.2,1110
2025/07/15-11:30,5856,5857.2,5849.4,5854.2,739
2025/07/15-13:05,5856.8,5870,5853.2,5866,822
2025/07/15-13:10,5867,5875.2,5865.8,5873.2,773
2025/07/15-13:15,5873.6,5877,5870,5873.8,539
2025/07/15-13:20,5873,5881.2,5872.4,5875.8,762
2025/07/15-13:25,5875.2,5878.2,5873.8,5876,684
2025/07/15-13:30,5877,5878.8,5869.2,5872.8,455
2025/07/15-13:35,5873,5879,5870.8,5876.2,461
2025/07/15-13:40,5875.8,5881,5871,5873.2,535
2025/07/15-13:45,5872.6,5880.8,5872.6,5880.4,347
2025/07/15-13:50,5880.6,5880.6,5872.6,5874.8,279
2025/07/15-13:55,5876.2,5879.2,5873.4,5876.2,208
2025/07/15-14:00,5877,5881,5876.4,5880.2,266
2025/07/15-14:05,5880,5892,5879.6,5890,1090
2025/07/15-14:10,5889.8,5893,5887.4,5892,486
2025/07/15-14:15,5891,5893,5883.2,5886.8,403
2025/07/15-14:20,5887,5892.6,5883,5890,313
2025/07/15-14:25,5889.2,5895,5887.4,5890.8,220
2025/07/15-14:30,5890.2,5901.4,5890.2,5899,453
2025/07/15-14:35,5899.2,5904.8,5897.4,5899.4,576
2025/07/15-14:40,5900.2,5904.4,5896.2,5896.6,340
