time,open,high,low,close,volume
2025/07/09-13:05,5718,5728.6,5716.2,5725.4,269
2025/07/09-13:10,5725.8,5726.2,5722.2,5724.6,127
2025/07/09-13:15,5723.6,5729.6,5723.2,5728,107
2025/07/09-13:20,5727.2,5728.6,5723.4,5727,114
2025/07/09-13:25,5726.8,5728.2,5724.4,5728,86
2025/07/09-13:30,5728,5728,5719.4,5721.6,116
2025/07/09-13:35,5721.4,5723.2,5719.2,5720.2,95
2025/07/09-13:40,5720,5721,5717,5718.2,78
2025/07/09-13:45,5718.4,5722.4,5717.4,5720.6,75
2025/07/09-13:50,5720.2,5724.6,5718,5723.8,99
2025/07/09-13:55,5723.2,5725,5720.8,5723.6,91
2025/07/09-14:00,5723.6,5725.6,5722,5723.4,59
2025/07/09-14:05,5723.4,5724,5716,5716.6,106
2025/07/09-14:10,5717,5719,5713,5713.2,204
2025/07/09-14:15,5712,5715.2,5709,5715.2,226
2025/07/09-14:20,5715.6,5718.6,5713.6,5716.8,167
2025/07/09-14:25,5716.2,5716.2,5711,5711,111
2025/07/09-14:30,5710.8,5712.2,5707,5712.2,181
2025/07/09-14:35,5711.2,5712.2,5708,5709.2,132
2025/07/09-14:40,5709,5712.8,5698.4,5701.2,306
2025/07/09-14:45,5699.6,5702.8,5695.4,5697.2,337
2025/07/09-14:50,5696.2,5707,5694.8,5706,354
2025/07/09-14:55,5705.6,5708.8,5704.2,5705,208
2025/07/09-15:00,5705.2,5706.2,5696,5700,305
2025/07/10-09:35,5691.6,5713.6,5691.6,5707,479
2025/07/10-09:40,5706,5709,5696.2,5696.8,316
2025/07/10-09:45,5696.6,5713,5695.6,5710,265
2025/07/10-09:50,5710.6,5718.4,5708.6,5714.8,196
2025/07/10-09:55,5714.6,5716,5710.2,5712,126
2025/07/10-10:00,5711.2,5711.4,5706,5711.2,107
2025/07/10-10:05,5712.2,5714.6,5709.2,5709.8,107
2025/07/10-10:10,5709.8,5715.2,5708,5711.2,112
2025/07/10-10:15,5711.6,5713.2,5705,5705.4,166
2025/07/10-10:20,5705.4,5710.2,5703,5709.4,110
2025/07/10-10:25,5707.8,5711.2,5706,5709.6,145
2025/07/10-10:30,5708.6,5717.4,5706.6,5717.4,148
2025/07/10-10:35,5716.6,5719.6,5711.8,5713.2,218
2025/07/10-10:40,5712.4,5713.4,5703.6,5707,230
2025/07/10-10:45,5707,5707.6,5700.2,5700.2,206
2025/07/10-10:50,5701,5701.4,5688.8,5693.2,704
2025/07/10-10:55,5693.4,5698.8,5693,5698.6,173
2025/07/10-11:00,5697.2,5701,5697,5700.4,112
2025/07/10-11:05,5698.2,5705,5698.2,5699.4,107
2025/07/10-11:10,5700,5701.6,5697,5698.2,52
2025/07/10-11:15,5698.2,5701.4,5697.2,5701,70
2025/07/10-11:20,5701,5706.4,5700.8,5706,101
2025/07/10-11:25,5705.8,5707.2,5703.8,5706.8,58
2025/07/10-11:30,5706,5708,5705.4,5708,109
2025/07/10-13:05,5706,5720,5706,5717.2,254
2025/07/10-13:10,5717.6,5725.2,5715,5724.8,229
2025/07/10-13:15,5725,5725,5715.8,5718.4,158
2025/07/10-13:20,5718.4,5718.8,5711.8,5712.8,111
2025/07/10-13:25,5712.8,5716.6,5709.2,5715.8,112
2025/07/10-13:30,5716.6,5718.4,5713.2,5716.4,80
2025/07/10-13:35,5717.2,5719.4,5715.8,5717.2,112
2025/07/10-13:40,5718.4,5720.4,5716,5717.4,152
2025/07/10-13:45,5717.2,5720,5715.4,5716.6,90
2025/07/10-13:50,5716.6,5718.8,5714.8,5718.6,90
2025/07/10-13:55,5718.6,5724.2,5716.4,5720.8,117
2025/07/10-14:00,5721.2,5724.8,5718.2,5724.8,112
2025/07/10-14:05,5724.6,5732.2,5721.8,5729.2,296
2025/07/10-14:10,5729,5740.8,5728.2,5738.2,341
2025/07/10-14:15,5738.4,5754.2,5736.4,5754.2,409
2025/07/10-14:20,5754.4,5755.8,5744,5747,412
2025/07/10-14:25,5746,5746.8,5735,5739.8,304
2025/07/10-14:30,5740.4,5741.6,5729.4,5730.8,303
2025/07/10-14:35,5730.2,5735,5724.2,5725.8,322
2025/07/10-14:40,5726.4,5732.6,5724.4,5731.4,169
2025/07/10-14:45,5731.2,5734.8,5729.4,5731.2,128
2025/07/10-14:50,5730.6,5733,5728,5728,154
2025/07/10-14:55,5728.2,5732.2,5728.2,5731.2,155
2025/07/10-15:00,5731,5732.2,5729.6,5731.2,198
2025/07/11-09:35,5736.6,5736.6,5711,5711,557
2025/07/11-09:40,5711,5729.6,5705.4,5726.8,402
2025/07/11-09:45,5728.4,5732.6,5723.6,5730.4,239
2025/07/11-09:50,5730,5740.8,5729,5740.8,291
2025/07/11-09:55,5741,5742,5735.8,5740,206
2025/07/11-10:00,5740.6,5745.4,5731.6,5745.4,237
2025/07/11-10:05,5746.2,5749.8,5738,5749.8,311
2025/07/11-10:10,5750,5764.2,5749.6,5755.6,295
2025/07/11-10:15,5754.8,5764.6,5746,5746.6,383
2025/07/11-10:20,5746.8,5755.2,5744.4,5751,387
2025/07/11-10:25,5750.4,5780.4,5749.8,5779.6,576
2025/07/11-10:30,5779.4,5787,5768.8,5776.2,432
2025/07/11-10:35,5776.4,5795.6,5773,5785.2,487
2025/07/11-10:40,5784.6,5796.2,5777.8,5784.2,297
2025/07/11-10:45,5785.2,5791.4,5782.8,5790.8,204
2025/07/11-10:50,5790.2,5791.2,5775.4,5775.4,289
2025/07/11-10:55,5775,5780.2,5768.6,5775.6,303
2025/07/11-11:00,5774.8,5777.4,5770.4,5772,220
2025/07/11-11:05,5770.8,5776.2,5767.2,5772.2,186
2025/07/11-11:10,5772.8,5783,5770.6,5778.2,161
2025/07/11-11:15,5776.8,5782,5772.2,5772.2,132
2025/07/11-11:20,5771.2,5788.8,5769.2,5788.4,145
2025/07/11-11:25,5788.4,5794.6,5785,5794.4,207
2025/07/11-11:30,5793.6,5829.8,5790.8,5822.8,789
2025/07/11-13:05,5825.8,5846.8,5825.8,5838,977
2025/07/11-13:10,5836.2,5847.2,5831.8,5833.2,670
2025/07/11-13:15,5833.4,5833.4,5816.8,5819.4,374
2025/07/11-13:20,5819.6,5825.8,5815.8,5819.4,325
2025/07/11-13:25,5819.2,5827,5818,5822.8,271
2025/07/11-13:30,5823.8,5828.8,5816.6,5818.4,280
2025/07/11-13:35,5820.4,5833,5820,5830,421
2025/07/11-13:40,5831.4,5833.2,5812.2,5813,369
2025/07/11-13:45,5813.6,5827.2,5813,5827.2,259
2025/07/11-13:50,5826,5838.2,5822.2,5831,371
2025/07/11-13:55,5830,5831.4,5813.6,5816,250
2025/07/11-14:00,5815.8,5820.6,5810.2,5815.4,246
2025/07/11-14:05,5815.4,5816.8,5810,5812.2,281
2025/07/11-14:10,5812.2,5819.4,5808.6,5812.8,330
2025/07/11-14:15,5812,5814,5806.8,5814,174
2025/07/11-14:20,5814.8,5818.4,5813.6,5815.4,163
2025/07/11-14:25,5815.4,5817.8,5810,5812.2,172
2025/07/11-14:30,5810.4,5815.8,5808.6,5810.8,232
