      时间,    开盘,    最高,    最低,    收盘,         成交量,LH_MAS.MA0   ,LH_MAS.M5_1  ,LH_MAS.M5_2  ,LH_MAS.M5_3  ,LH_MAS.M15_1 , VOL1.VOLUME, VOL1.MAVOL1, VOL1.MAVOL2, VOL1.MAVOL3, VOL1.LB    , VOL1.FZFL  , VOL1.分布  , VOL1.      , VOL1.      , VOL1.      , VOL1.      , VOL1.      ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_SIGNAL.B     ,LH_SIGNAL.S     ,LH_KL.多头  ,LH_KL.空头  ,LH_KL.靠拢  ,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4 ,LH_KT.抽MA3 ,LH_KT.抽MA2 ,LH_KT.抽MA1 ,LH_KT.超买  ,LH_KT.超买L ,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势  ,LH_DF_SLP.DF01  ,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.SLP0  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2022/07/22-10:10,3713,3727,3710,3725,3488,3725,3725,3725,3725,3725,3488,           ,           ,           ,           ,           ,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,           ,           ,           ,           ,           ,0,0,1,           ,           ,0,0,0,1,0,0,0,0,0,0,0,           ,           ,0,0,0,0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,3488,           ,           
 2022/07/22-10:15,3725,3737,3721,3735,6362,3727.22,3725.95,3725.49,3725.33,3725.17,6362,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,           ,           ,0,0,1,           ,           ,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.34,0.12,0.04,0.04,1000.54,1000.26,1000.13,1000.09,1000.04,           ,           ,           ,           ,           ,6362,           ,           
 2022/07/22-10:35,3735,3739,3724,3730,8568,3727.84,3726.34,3725.71,3725.48,3725.25,8568,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.4,0.17,0.06,0.06,1000.16,1000.1,1000.06,1000.04,1000.02,           ,           ,           ,           ,1000.35,8568,           ,           
 2022/07/22-10:40,3730,3731,3716,3718,6274,3725.65,3725.54,3725.33,3725.24,3725.13,6274,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.03,0.06,0.03,0.03,999.48,999.79,999.9,999.93,999.97,           ,           ,           ,           ,999.82,6274,           ,           
 2022/07/22-10:45,3719,3722,3713,3722,3741,3724.84,3725.21,3725.17,3725.13,3725.07,3741,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,           ,           ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.1,0.01,0.01,0.02,999.8,999.91,999.96,999.97,999.99,1000,1000.01,1000.01,1000.01,999.64,3741,5686.6,           
 2022/07/22-10:50,3722,3727,3710,3712,3683,3721.99,3723.95,3724.53,3724.7,3724.86,3683,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.53,-0.16,-0.05,-0.04,999.3,999.66,999.83,999.88,999.94,999.69,999.87,999.94,999.96,999.55,3683,5725.6,           
 2022/07/22-10:55,3712,3718,3709,3718,2077,3721.1,3723.38,3724.21,3724.48,3724.74,2077,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.61,-0.22,-0.07,-0.07,999.77,999.85,999.91,999.94,999.97,999.59,999.8,999.9,999.93,999.54,2077,4868.6,           
 2022/07/22-11:00,3718,3720,3707,3709,2763,3718.41,3722.01,3723.47,3723.97,3724.48,2763,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,3,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.97,-0.39,-0.14,-0.14,999.33,999.63,999.8,999.86,999.93,999.55,999.76,999.87,999.92,999.55,2763,3707.6,           
 2022/07/22-11:05,3710,3716,3707,3713,1671,3717.21,3721.15,3722.96,3723.61,3724.29,1671,           ,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,4,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-1.06,-0.48,-0.18,-0.18,999.68,999.77,999.86,999.9,999.95,999.52,999.73,999.85,999.9,999.5,1671,2787,           
 2022/07/22-11:10,3713,3723,3712,3721,2311,3718.05,3721.14,3722.86,3723.53,3724.24,2311,4093.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,5,5,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,           ,           ,-0.83,-0.46,-0.18,-0.19,1000.17,1000,999.97,999.98,999.99,999.74,999.81,999.89,999.92,999.93,2311,2501,4093.8
