      时间,    开盘,    最高,    最低,    收盘,         成交量,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M1M   ,LH_MA_ALL.M2M   ,LH_MA_ALL.M3M   ,LH_MA_ALL.M1L   ,LH_MA_ALL.M2L   ,LH_MA_ALL.M3L   ,LH_VOL_TDX.AMO1  ,LH_VOL_TDX.VOLUME,LH_VOL_TDX.MV1   ,LH_VOL_TDX.MV2   ,LH_VOL_TDX.MV3   ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_TEST.上涨力,LH_TEST.下跌力,LH_TEST.净力  ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_RQ.HHV10 ,LH_RQ.TOP1_VOL,LH_RQ.TOP2_VOL,LH_RQ.TOP3_VOL,LH_VOL_TDX.AMO1  ,LH_VOL_TDX.VOLUME,LH_VOL_TDX.MV1   ,LH_VOL_TDX.MV2   ,LH_VOL_TDX.MV3   ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_KL_ALL.KL_S  ,LH_KL_ALL.KL_M  ,LH_KL_ALL.KL_L  ,LH_BIAS.BI1S  ,LH_BIAS.BI2S  ,LH_BIAS.BI3S  ,LH_BIAS.BI2M  ,LH_BIAS.BI3M  ,LH_BIAS.BI2L  ,LH_BIAS.BI3L  ,LH_BIAS.BI2S_DF,LH_BIAS.BI3S_DF,LH_BIAS.BI1M_DF,LH_BIAS.BI2M_DF,LH_BIAS.BI3M_DF,LH_BIAS.BI1L_DF,LH_BIAS.BI2L_DF,LH_BIAS.BI3L_DF,LH_BSP.MAB   ,LH_BSP.LABEL_BSP,LH_BSP.弱买卖压,LH_BSP.涨跌系数,LH_BSP.BIG_K ,LH_BSP.RELATIVE_BSP,LH_BSP.BSP_RARIO,LH_BSP.BPV_10_2K,LH_BSP.UP_PV_10,LH_BSP.DW_PV_10,LH_BSP.UP_PV_20,LH_BSP.DW_PV_20,LH_BSP.UP_PV_40,LH_BSP.DW_PV_40,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.DF45  ,LH_DF_SLP.DF56  ,LH_DF_SLP.DF67  ,LH_DF_SLP.DF78  ,LH_DF_SLP.DF89  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,LH_ZDF_V_P.UP_K_10,LH_ZDF_V_P.DW_K_10,LH_ZDF_V_P.UP_K_20,LH_ZDF_V_P.DW_K_20,LH_ZDF_V_P.UP_K_40,LH_ZDF_V_P.DW_K_40,LH_ZDF_V_P.BPV_10_2K,LH_ZDF_V_P.UP_PV_10,LH_ZDF_V_P.DW_PV_10,LH_ZDF_V_P.UP_PV_20,LH_ZDF_V_P.DW_PV_20,LH_ZDF_V_P.UP_PV_40,LH_ZDF_V_P.DW_PV_40
 2023/01/06-21:05,528.6,530.6,528.6,530.6,224,527.85,527.86,528.11,528.11,529.25,533.8,533.8,542.11,550.23,0,2.24,1.17,1.19,1.12,0,0,0,0,1,           ,3,3,0,1,0,0,0,1,229,431,328,229,0,2.24,1.17,1.19,1.12,0,0,0,0,1,           ,1,0,0,5.22,5.19,4.71,2.56,-6,-21.23,-35.67,6.1,5.78,6.07,5.71,5.71,6.54,6.31,6.26,0.36,0,1,5.56,1,0.08,0.28,0,1,0,1,0,1,0,-0.03,-0.47,0,-2.13,-8.59,0,-15.65,-15.3,1000.54,1000.22,1000.1,999.92,1000.05,999.95,999.93,999.9,1000.53,1,0,1,0,1,0,0,1,0,1,0,1,0
 2023/01/06-21:10,530.6,531,529.9,530.2,261,528.37,528.14,528.24,528.24,529.27,533.75,533.75,542.02,550.15,0,2.61,1.26,1.25,1.12,0,0,0,0,1,           ,3,2,1,1,0,0,0,1,261,431,328,261,0,2.61,1.26,1.25,1.12,0,0,0,0,1,           ,1,0,0,3.47,3.91,3.71,1.75,-6.65,-21.8,-36.26,4.04,4.51,4.61,4.56,4.56,5.32,5.29,5.2,0.35,1,0,-1.13,0,5.83,1.59,0,1,0,1,0,1,0,0.44,-0.19,0,-1.95,-8.44,0,-15.59,-15.34,1000.41,1000.18,1000.07,999.91,1000.39,1000.12,1000.02,999.96,1001.11,1,0,1,0,1,0,0,1,0,1,0,1,0
 2023/01/06-21:15,530.4,530.5,529.8,530,131,528.73,528.36,528.35,528.35,529.3,533.69,533.69,541.92,550.07,0,1.31,1.36,1.27,1.12,0,0,0,0,0,           ,3,2,1,0,1,0,0,1,261,431,328,261,0,1.31,1.36,1.27,1.12,0,0,0,0,0,           ,1,0,0,2.4,3.11,3.13,1.33,-6.91,-22,-36.49,2.52,3.69,3.6,3.94,3.94,4.48,4.77,4.65,0.33,0,0,-1.21,0,0.5,0.78,0,1,0,1,0,1,0,0.71,0.02,0,-1.79,-8.29,0,-15.53,-15.38,1000.34,1000.15,1000.06,999.9,1000.65,1000.27,1000.1,1000.02,1000.77,1,0,1,0,1,0,0,1,0,1,0,1,0
 2023/01/06-21:20,530.4,530.4,529,529.2,394,528.84,528.45,528.4,528.4,529.29,533.62,533.62,541.82,549.99,0,3.94,1.52,1.36,1.14,0,1,0,0,1,1.52,3,3,0,1,0,0,0,1,394,431,394,328,0,3.94,1.52,1.36,1.14,0,1,0,0,1,1.52,1,0,0,0.69,1.41,1.52,-0.18,-8.28,-23.3,-37.8,0.38,1.88,1.75,2.35,2.35,2.71,3.27,3.09,0.39,0,0,-3.08,1,1,0.77,0,1,0,1,0,1,0,0.72,0.11,0,-1.69,-8.18,0,-15.5,-15.43,1000.16,1000.07,1000.01,999.88,1000.77,1000.36,1000.15,1000.06,1000.43,1,0,1,0,1,0,0,0,1,0,1,0,1
 2023/01/06-21:25,529.1,530.2,529,530.1,69,529.12,528.65,528.5,528.5,529.32,533.57,533.57,541.73,549.91,0,0.69,1.55,1.37,1.14,0,0,0,0,0,1.55,4,2,2,0,0,0,0,1,394,431,394,328,0,0.69,1.55,1.37,1.14,0,0,0,0,0,1.55,0,0,0,1.86,2.75,3.03,1.48,-6.5,-21.47,-36.03,0.98,3.04,2.76,3.77,3.77,3.84,4.74,4.57,0.44,0,1,2.27,1,0.21,0.16,0,1,0,1,0,1,0,0.88,0.28,0,-1.54,-8.01,0,-15.4,-15.43,1000.31,1000.15,1000.06,999.91,1000.57,1000.3,1000.14,1000.05,1000.36,1,0,1,0,1,0,0,0,1,0,1,0,1
 2023/01/06-21:30,530,530,529.5,529.9,26,529.29,528.8,528.59,528.59,529.34,533.51,533.51,541.64,549.83,0,0.26,1.52,1.37,1.14,1,0,0,0,0,1.52,4,2,2,0,0,0,0,1,394,431,394,328,0,0.26,1.52,1.37,1.14,1,0,0,0,0,1.52,0,0,0,1.15,2.09,2.49,1.06,-6.76,-21.67,-36.26,-0.31,2.22,1.72,3.14,3.14,2.87,4.19,4.04,0.43,0,0,-0.23,0,1.73,0.28,0,1,0,1,0,1,0,0.93,0.4,0,-1.42,-7.87,0,-15.34,-15.47,1000.24,1000.12,1000.05,999.9,1000.42,1000.26,1000.12,1000.04,1000.42,1,0,1,0,1,0,0,0,1,0,1,0,1
 2023/01/06-21:35,529.7,529.9,528.9,529.4,118,529.31,528.87,528.64,528.64,529.34,533.45,533.45,541.54,549.76,0,1.18,1.56,1.37,1.15,0,0,0,0,0,1.56,4,3,1,0,1,0,0,1,394,431,394,328,0,1.18,1.56,1.37,1.15,0,0,0,0,0,1.56,0,0,0,0.16,1.01,1.45,0.12,-7.58,-22.43,-37.03,-1.77,0.9,0.32,1.97,1.97,1.48,3.09,3.01,0.45,0,0,-0.67,0,3.29,0.92,0,1,0,1,0,1,0,0.85,0.44,0,-1.33,-7.76,0,-15.3,-15.51,1000.13,1000.07,1000.01,999.89,1000.28,1000.21,1000.1,1000.03,1000.2,1,0,1,0,1,0,0,0,1,0,1,0,1
 2023/01/06-21:40,529.2,529.3,528.2,528.6,186,529.16,528.84,528.63,528.63,529.32,533.37,533.37,541.44,549.67,0,1.86,1.65,1.36,1.15,0,0,0,0,0,1.65,4,3,1,1,0,0,0,1,394,431,394,328,0,1.86,1.65,1.36,1.15,0,0,0,0,0,1.65,1,0,0,-1.05,-0.45,-0.06,-1.35,-8.94,-23.72,-38.34,-2.42,-0.81,-1.49,0.36,0.36,-0.4,1.51,1.6,0.43,0,0,-1.38,0,0.79,0.73,0,1,0,1,0,1,0,0.61,0.38,0,-1.29,-7.67,0,-15.27,-15.57,999.97,999.99,999.96,999.87,1000.17,1000.16,1000.08,1000.02,999.92,1,0,1,0,1,0,0,0,1,0,1,0,1
 2023/01/06-21:45,528.6,528.7,527.4,527.9,283,528.88,528.73,528.59,528.59,529.27,533.29,533.29,541.34,549.59,0,2.83,1.89,1.42,1.16,0,0,0,0,1,1.89,4,4,0,1,0,1,0,0,394,431,394,328,0,2.83,1.89,1.42,1.16,0,0,0,0,1,1.89,1,0,0,-1.85,-1.56,-1.3,-2.59,-10.1,-24.82,-39.46,-2.76,-2.13,-2.91,-0.92,-0.92,-1.97,0.23,0.44,0.47,0,0,-1.49,0,1.3,0.94,0,1,0,1,0,1,0,0.29,0.26,0,-1.29,-7.6,0,-15.25,-15.63,999.85,999.93,999.92,999.85,999.93,1000.05,1000.03,999.99,999.65,1,0,1,0,1,0,0,0,1,0,1,0,1
 2023/01/06-21:50,527.8,527.9,527.4,527.8,67,528.64,528.62,528.54,528.54,529.23,533.2,533.2,541.23,549.5,0,0.67,1.76,1.41,1.16,0,0,0,0,0,1.76,4,4,0,0,1,1,0,0,394,431,394,328,0,0.67,1.76,1.41,1.16,0,0,0,0,0,1.76,1,0,0,-1.58,-1.54,-1.4,-2.7,-10.13,-24.82,-39.5,-2.07,-2.37,-3.13,-1.12,-1.12,-2.34,-0.01,0.35,0.46,0,0,0,0,0.71,0.66,0,1,0,1,0,1,0,0.04,0.14,0,-1.3,-7.53,0,-15.22,-15.67,999.85,999.92,999.92,999.85,999.74,999.95,999.98,999.95,999.57,1,0,1,0,1,0,0,0,1,0,1,0,1
