time,open,high,low,close,volume
 2024/09/13-14:20,113.87,113.92,113.87,113.89,466
 2024/09/13-14:25,113.9,113.91,113.88,113.91,274
 2024/09/13-14:30,113.91,113.99,113.91,113.98,896
 2024/09/13-14:35,113.98,114.07,113.96,114.05,1649
 2024/09/13-14:40,114.05,114.1,114.05,114.08,1731
 2024/09/13-14:45,114.07,114.08,114.02,114.08,992
 2024/09/13-14:50,114.07,114.2,114.06,114.17,2450
 2024/09/13-14:55,114.17,114.22,114.16,114.22,1429
 2024/09/13-15:00,114.21,114.22,114.18,114.21,1364
 2024/09/13-15:05,114.22,114.26,114.21,114.24,1109
 2024/09/13-15:10,114.24,114.27,114.22,114.27,1270
 2024/09/13-15:15,114.27,114.34,114.26,114.33,1278
 2024/09/18-09:35,114.81,114.87,114.71,114.72,4091
 2024/09/18-09:40,114.72,114.76,114.63,114.76,2214
 2024/09/18-09:45,114.76,114.82,114.74,114.79,1590
 2024/09/18-09:50,114.79,114.79,114.74,114.78,670
 2024/09/18-09:55,114.78,114.83,114.78,114.8,1111
 2024/09/18-10:00,114.79,114.8,114.73,114.8,1212
 2024/09/18-10:05,114.8,114.81,114.77,114.8,771
 2024/09/18-10:10,114.8,114.8,114.72,114.75,930
 2024/09/18-10:15,114.75,114.75,114.68,114.72,1419
 2024/09/18-10:20,114.72,114.78,114.72,114.74,664
 2024/09/18-10:25,114.75,114.76,114.69,114.71,1025
 2024/09/18-10:30,114.7,114.72,114.67,114.71,682
 2024/09/18-10:35,114.72,114.75,114.7,114.74,446
 2024/09/18-10:40,114.75,114.77,114.72,114.75,470
 2024/09/18-10:45,114.75,114.77,114.73,114.76,398
 2024/09/18-10:50,114.76,114.77,114.75,114.75,190
 2024/09/18-10:55,114.75,114.76,114.74,114.75,282
 2024/09/18-11:00,114.75,114.8,114.75,114.76,933
 2024/09/18-11:05,114.76,114.79,114.76,114.79,276
 2024/09/18-11:10,114.79,114.84,114.77,114.84,622
 2024/09/18-11:15,114.83,114.85,114.82,114.84,970
 2024/09/18-11:20,114.84,114.89,114.84,114.86,1096
 2024/09/18-11:25,114.86,114.94,114.85,114.93,997
 2024/09/18-11:30,114.93,114.95,114.92,114.93,602
 2024/09/18-13:05,114.95,114.95,114.92,114.93,659
 2024/09/18-13:10,114.93,114.95,114.92,114.95,467
 2024/09/18-13:15,114.95,114.95,114.89,114.91,837
 2024/09/18-13:20,114.91,114.94,114.86,114.93,952
 2024/09/18-13:25,114.93,114.98,114.92,114.96,885
 2024/09/18-13:30,114.97,114.99,114.94,114.98,611
 2024/09/18-13:35,114.98,114.98,114.92,114.95,609
 2024/09/18-13:40,114.95,114.98,114.92,114.97,379
 2024/09/18-13:45,114.97,114.97,114.87,114.89,1010
 2024/09/18-13:50,114.89,114.95,114.85,114.95,1165
 2024/09/18-13:55,114.95,114.98,114.94,114.97,657
 2024/09/18-14:00,114.97,114.97,114.94,114.94,626
 2024/09/18-14:05,114.94,114.97,114.93,114.97,946
 2024/09/18-14:10,114.97,115.03,114.96,115,1451
 2024/09/18-14:15,115,115,114.96,114.96,619
 2024/09/18-14:20,114.96,115,114.95,115,697
 2024/09/18-14:25,114.99,115.07,114.99,115.07,934
 2024/09/18-14:30,115.07,115.08,115.02,115.02,810
 2024/09/18-14:35,115.03,115.05,115,115.02,583
 2024/09/18-14:40,115.02,115.03,115,115,442
 2024/09/18-14:45,115,115.07,115,115.06,617
 2024/09/18-14:50,115.06,115.1,115.06,115.08,1118
 2024/09/18-14:55,115.08,115.13,115.06,115.12,1072
 2024/09/18-15:00,115.12,115.2,115.09,115.13,2128
 2024/09/18-15:05,115.13,115.14,115.08,115.1,680
 2024/09/18-15:10,115.1,115.13,115.08,115.12,633
 2024/09/18-15:15,115.12,115.16,115.1,115.13,781
 2024/09/19-09:35,115.3,115.39,115.11,115.22,5200
 2024/09/19-09:40,115.22,115.43,115.17,115.4,4891
 2024/09/19-09:45,115.4,115.45,115.36,115.44,2430
 2024/09/19-09:50,115.45,115.54,115.44,115.51,3628
 2024/09/19-09:55,115.51,115.52,115.4,115.43,2189
 2024/09/19-10:00,115.43,115.47,115.41,115.44,962
 2024/09/19-10:05,115.44,115.44,115.36,115.39,1517
 2024/09/19-10:10,115.39,115.49,115.38,115.39,1218
