time,holding_values,cash,total,orders
2022/05/18-09:45,0,,,0
2022/05/18-09:50,0,20000.0,20000.0,0
2022/05/18-09:55,0,20000.0,20000.0,0
2022/05/18-10:00,0,20000.0,20000.0,0
2022/05/18-10:05,18064,1936.0,20000.0,1
2022/05/18-10:10,18040,1936.0,19976.0,0
2022/05/18-10:15,18048,1936.0,19984.0,0
2022/05/18-10:35,0,19952.0,19952.0,-1
2022/05/18-10:40,18068,1884.0,19952.0,1
2022/05/18-10:45,18108,1884.0,19992.0,0
2022/05/18-10:50,18116,1884.0,20000.0,0
2022/05/18-10:55,18096,1884.0,19980.0,0
2022/05/18-11:00,18088,1884.0,19972.0,0
2022/05/18-11:05,18096,1884.0,19980.0,0
2022/05/18-11:10,0,19952.0,19952.0,-1
2022/05/18-11:15,0,19952.0,19952.0,0
2022/05/18-11:20,0,19952.0,19952.0,0
2022/05/18-11:25,0,19952.0,19952.0,0
2022/05/18-11:30,0,19952.0,19952.0,0
2022/05/18-13:35,18064,1888.0,19952.0,1
2022/05/18-13:40,0,19904.0,19904.0,-1
2022/05/18-13:45,0,19904.0,19904.0,0
2022/05/18-13:50,0,19904.0,19904.0,0
2022/05/18-13:55,0,19904.0,19904.0,0
2022/05/18-14:00,18048,1856.0,19904.0,1
2022/05/18-14:05,18052,1856.0,19908.0,0
2022/05/18-14:10,18048,1856.0,19904.0,0
2022/05/18-14:15,18032,1856.0,19888.0,0
2022/05/18-14:20,0,19868.0,19868.0,-1
2022/05/18-14:25,0,19868.0,19868.0,0
2022/05/18-14:30,0,19868.0,19868.0,0
2022/05/18-14:35,0,19868.0,19868.0,0
2022/05/18-14:40,0,19868.0,19868.0,0
2022/05/18-14:45,0,19868.0,19868.0,0
2022/05/18-14:50,0,19868.0,19868.0,0
2022/05/18-14:55,0,19868.0,19868.0,0
2022/05/18-15:00,0,19868.0,19868.0,0
2022/05/19-21:05,0,19868.0,19868.0,0
2022/05/19-21:10,0,19868.0,19868.0,0
2022/05/19-21:15,0,19868.0,19868.0,0
2022/05/19-21:20,0,19868.0,19868.0,0
2022/05/19-21:25,0,19868.0,19868.0,0
2022/05/19-21:30,0,19868.0,19868.0,0
2022/05/19-21:35,0,19868.0,19868.0,0
2022/05/19-21:40,0,19868.0,19868.0,0
2022/05/19-21:45,0,19868.0,19868.0,0
2022/05/19-21:50,0,19868.0,19868.0,0
2022/05/19-21:55,0,19868.0,19868.0,0
2022/05/19-22:00,0,19868.0,19868.0,0
2022/05/19-22:05,0,19868.0,19868.0,0
2022/05/19-22:10,0,19868.0,19868.0,0
2022/05/19-22:15,0,19868.0,19868.0,0
2022/05/19-22:20,0,19868.0,19868.0,0
2022/05/19-22:25,0,19868.0,19868.0,0
2022/05/19-22:30,0,19868.0,19868.0,0
2022/05/19-22:35,0,19868.0,19868.0,0
2022/05/19-22:40,0,19868.0,19868.0,0
2022/05/19-22:45,0,19868.0,19868.0,0
2022/05/19-22:50,0,19868.0,19868.0,0
2022/05/19-22:55,0,19868.0,19868.0,0
2022/05/19-23:00,0,19868.0,19868.0,0
2022/05/19-09:05,0,19868.0,19868.0,0
2022/05/19-09:10,0,19868.0,19868.0,0
2022/05/19-09:15,0,19868.0,19868.0,0
2022/05/19-09:20,0,19868.0,19868.0,0
2022/05/19-09:25,0,19868.0,19868.0,0
2022/05/19-09:30,0,19868.0,19868.0,0
2022/05/19-09:35,17660,2208.0,19868.0,1
2022/05/19-09:40,17640,2208.0,19848.0,0
2022/05/19-09:45,17656,2208.0,19864.0,0
2022/05/19-09:50,17752,2208.0,19960.0,0
2022/05/19-09:55,17756,2208.0,19964.0,0
2022/05/19-10:00,17760,2208.0,19968.0,0
2022/05/19-10:05,17784,2208.0,19992.0,0
2022/05/19-10:10,17796,2208.0,20004.0,0
2022/05/19-10:15,17824,2208.0,20032.0,0
2022/05/19-10:35,17812,2208.0,20020.0,0
2022/05/19-10:40,17848,2208.0,20056.0,0
2022/05/19-10:45,17820,2208.0,20028.0,0
2022/05/19-10:50,17828,2208.0,20036.0,0
2022/05/19-10:55,0,20004.0,20004.0,-1
2022/05/19-11:00,17808,2196.0,20004.0,1
2022/05/19-11:05,17840,2196.0,20036.0,0
2022/05/19-11:10,17808,2196.0,20004.0,0
2022/05/19-11:15,17824,2196.0,20020.0,0
2022/05/19-11:20,17844,2196.0,20040.0,0
2022/05/19-11:25,17900,2196.0,20096.0,0
2022/05/19-11:30,0,20036.0,20036.0,-1
2022/05/19-13:35,0,20036.0,20036.0,0
2022/05/19-13:40,0,20036.0,20036.0,0
2022/05/19-13:45,0,20036.0,20036.0,0
2022/05/19-13:50,0,20036.0,20036.0,0
2022/05/19-13:55,0,20036.0,20036.0,0
2022/05/19-14:00,17828,2208.0,20036.0,1
2022/05/19-14:05,17828,2208.0,20036.0,0
2022/05/19-14:10,17852,2208.0,20060.0,0
2022/05/19-14:15,17924,2208.0,20132.0,0
2022/05/19-14:20,0,20152.0,20152.0,-1
2022/05/19-14:25,0,20152.0,20152.0,0
2022/05/19-14:30,0,20152.0,20152.0,0
2022/05/19-14:35,0,20152.0,20152.0,0
2022/05/19-14:40,0,20152.0,20152.0,0
2022/05/19-14:45,0,20152.0,20152.0,0
2022/05/19-14:50,0,20152.0,20152.0,0
2022/05/19-14:55,0,20152.0,20152.0,0
2022/05/19-15:00,0,20152.0,20152.0,0
2022/05/20-21:05,0,20152.0,20152.0,0
2022/05/20-21:10,0,20152.0,20152.0,0
2022/05/20-21:15,0,20152.0,20152.0,0
2022/05/20-21:20,17960,2192.0,20152.0,1
2022/05/20-21:25,17996,2192.0,20188.0,0
2022/05/20-21:30,17988,2192.0,20180.0,0
2022/05/20-21:35,18016,2192.0,20208.0,0
2022/05/20-21:40,18028,2192.0,20220.0,0
2022/05/20-21:45,18036,2192.0,20228.0,0
2022/05/20-21:50,18024,2192.0,20216.0,0
2022/05/20-21:55,18028,2192.0,20220.0,0
2022/05/20-22:00,18000,2192.0,20192.0,0
2022/05/20-22:05,0,20180.0,20180.0,-1
2022/05/20-22:10,0,20180.0,20180.0,0
2022/05/20-22:15,0,20180.0,20180.0,0
