time,holding_values,cash,total,orders
2022/05/18-09:45,0,,,0
2022/05/18-09:50,0,20000.0,20000.0,0
2022/05/18-09:55,0,20000.0,20000.0,0
2022/05/18-10:00,0,20000.0,20000.0,0
2022/05/18-10:05,0,20000.0,20000.0,0
2022/05/18-10:10,-18040,1960.0,20000.0,-1
2022/05/18-10:15,-18048,1960.0,20008.0,0
2022/05/18-10:35,-18016,1960.0,19976.0,0
2022/05/18-10:40,0,20028.0,20028.0,1
2022/05/18-10:45,0,20028.0,20028.0,0
2022/05/18-10:50,0,20028.0,20028.0,0
2022/05/18-10:55,0,20028.0,20028.0,0
2022/05/18-11:00,0,20028.0,20028.0,0
2022/05/18-11:05,0,20028.0,20028.0,0
2022/05/18-11:10,-18068,1960.0,20028.0,-1
2022/05/18-11:15,-18068,1960.0,20028.0,0
2022/05/18-11:20,-18036,1960.0,19996.0,0
2022/05/18-11:25,-18032,1960.0,19992.0,0
2022/05/18-11:30,-18004,1960.0,19964.0,0
2022/05/18-13:35,0,20024.0,20024.0,1
2022/05/18-13:40,-18016,2008.0,20024.0,-1
2022/05/18-13:45,-18004,2008.0,20012.0,0
2022/05/18-13:50,-18004,2008.0,20012.0,0
2022/05/18-13:55,-18028,2008.0,20036.0,0
2022/05/18-14:00,0,20056.0,20056.0,1
2022/05/18-14:05,0,20056.0,20056.0,0
2022/05/18-14:10,0,20056.0,20056.0,0
2022/05/18-14:15,-18032,2024.0,20056.0,-1
2022/05/18-14:20,-18012,2024.0,20036.0,0
2022/05/18-14:25,-17984,2024.0,20008.0,0
2022/05/18-14:30,-17964,2024.0,19988.0,0
2022/05/18-14:35,-17944,2024.0,19968.0,0
2022/05/18-14:40,-17940,2024.0,19964.0,0
2022/05/18-14:45,-17900,2024.0,19924.0,0
2022/05/18-14:50,-17900,2024.0,19924.0,0
2022/05/18-14:55,-17884,2024.0,19908.0,0
2022/05/18-15:00,-17848,2024.0,19872.0,0
2022/05/19-21:05,-17792,2024.0,19816.0,0
2022/05/19-21:10,-17752,2024.0,19776.0,0
2022/05/19-21:15,-17744,2024.0,19768.0,0
2022/05/19-21:20,-17708,2024.0,19732.0,0
2022/05/19-21:25,-17704,2024.0,19728.0,0
2022/05/19-21:30,-17708,2024.0,19732.0,0
2022/05/19-21:35,0,19764.0,19764.0,1
2022/05/19-21:40,0,19764.0,19764.0,0
2022/05/19-21:45,0,19764.0,19764.0,0
2022/05/19-21:50,0,19764.0,19764.0,0
2022/05/19-21:55,0,19764.0,19764.0,0
2022/05/19-22:00,0,19764.0,19764.0,0
2022/05/19-22:05,0,19764.0,19764.0,0
2022/05/19-22:10,0,19764.0,19764.0,0
2022/05/19-22:15,0,19764.0,19764.0,0
2022/05/19-22:20,0,19764.0,19764.0,0
2022/05/19-22:25,0,19764.0,19764.0,0
2022/05/19-22:30,0,19764.0,19764.0,0
2022/05/19-22:35,0,19764.0,19764.0,0
2022/05/19-22:40,0,19764.0,19764.0,0
2022/05/19-22:45,0,19764.0,19764.0,0
2022/05/19-22:50,0,19764.0,19764.0,0
2022/05/19-22:55,0,19764.0,19764.0,0
2022/05/19-23:00,0,19764.0,19764.0,0
2022/05/19-09:05,0,19764.0,19764.0,0
2022/05/19-09:10,0,19764.0,19764.0,0
2022/05/19-09:15,0,19764.0,19764.0,0
2022/05/19-09:20,0,19764.0,19764.0,0
2022/05/19-09:25,0,19764.0,19764.0,0
2022/05/19-09:30,0,19764.0,19764.0,0
2022/05/19-09:35,0,19764.0,19764.0,0
2022/05/19-09:40,-17640,2124.0,19764.0,-1
2022/05/19-09:45,-17656,2124.0,19780.0,0
2022/05/19-09:50,0,19876.0,19876.0,1
2022/05/19-09:55,0,19876.0,19876.0,0
2022/05/19-10:00,0,19876.0,19876.0,0
2022/05/19-10:05,0,19876.0,19876.0,0
2022/05/19-10:10,0,19876.0,19876.0,0
2022/05/19-10:15,0,19876.0,19876.0,0
2022/05/19-10:35,0,19876.0,19876.0,0
2022/05/19-10:40,0,19876.0,19876.0,0
2022/05/19-10:45,0,19876.0,19876.0,0
2022/05/19-10:50,0,19876.0,19876.0,0
2022/05/19-10:55,-17796,2080.0,19876.0,-1
2022/05/19-11:00,-17808,2080.0,19888.0,0
2022/05/19-11:05,0,19920.0,19920.0,1
2022/05/19-11:10,0,19920.0,19920.0,0
2022/05/19-11:15,0,19920.0,19920.0,0
2022/05/19-11:20,0,19920.0,19920.0,0
2022/05/19-11:25,0,19920.0,19920.0,0
2022/05/19-11:30,0,19920.0,19920.0,0
2022/05/19-13:35,-17808,2112.0,19920.0,-1
2022/05/19-13:40,-17780,2112.0,19892.0,0
2022/05/19-13:45,-17792,2112.0,19904.0,0
2022/05/19-13:50,-17788,2112.0,19900.0,0
2022/05/19-13:55,-17800,2112.0,19912.0,0
2022/05/19-14:00,0,19940.0,19940.0,1
2022/05/19-14:05,0,19940.0,19940.0,0
2022/05/19-14:10,0,19940.0,19940.0,0
2022/05/19-14:15,0,19940.0,19940.0,0
2022/05/19-14:20,0,19940.0,19940.0,0
2022/05/19-14:25,0,19940.0,19940.0,0
2022/05/19-14:30,0,19940.0,19940.0,0
2022/05/19-14:35,0,19940.0,19940.0,0
2022/05/19-14:40,0,19940.0,19940.0,0
2022/05/19-14:45,0,19940.0,19940.0,0
2022/05/19-14:50,0,19940.0,19940.0,0
2022/05/19-14:55,0,19940.0,19940.0,0
2022/05/19-15:00,0,19940.0,19940.0,0
2022/05/20-21:05,-17940,2000.0,19940.0,-1
2022/05/20-21:10,-17928,2000.0,19928.0,0
2022/05/20-21:15,-17940,2000.0,19940.0,0
2022/05/20-21:20,-17960,2000.0,19960.0,0
2022/05/20-21:25,0,19996.0,19996.0,1
2022/05/20-21:30,0,19996.0,19996.0,0
2022/05/20-21:35,0,19996.0,19996.0,0
2022/05/20-21:40,0,19996.0,19996.0,0
2022/05/20-21:45,0,19996.0,19996.0,0
2022/05/20-21:50,0,19996.0,19996.0,0
2022/05/20-21:55,0,19996.0,19996.0,0
2022/05/20-22:00,-18000,1996.0,19996.0,-1
2022/05/20-22:05,-17988,1996.0,19984.0,0
