,v3_strength,mv13_ratio,bsp,zig,peak,p_pos,valley,p_v_value,v_pos,z_pos,dw_pct_prev,up_pct_prev,z_pct_prev,z_len_prev,z_pct_prev_avg,up_pct_avg,up_pct_avg_k,dw_pct_avg,dw_pct_avg_k,zig_pct_curr,zig_pct_curr_avg_k,zig_pct_avg,zig_pct_avg_k
0,,,,1,4647.0,0,,4647.0,-1,0,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,-1.2868954166666668,0.07201704003813154
1,,,,0,4647.0,1,,4647.0,-1,1,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.12911555842478606,-0.06455777921239303,-1.2868954166666668,0.07201704003813154
2,,,,0,4647.0,2,,4647.0,-1,2,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.021519259737468044,-0.007173086579156014,-1.2868954166666668,0.07201704003813154
3,,,,0,4647.0,3,,4647.0,-1,3,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.12911555842478606,-0.032278889606196515,-1.2868954166666668,0.07201704003813154
4,,,,0,4647.0,4,,4647.0,-1,4,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,-1.2868954166666668,0.07201704003813154
5,,,,0,4647.0,5,,4647.0,-1,5,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.2582311168495832,-0.04303851947493054,-1.2868954166666668,0.07201704003813154
6,,,,0,4647.0,6,,4647.0,-1,6,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.1506348181622541,-0.021519259737464873,-1.2868954166666668,0.07201704003813154
7,,,,0,4647.0,7,,4647.0,-1,7,0.0,,0.0,,,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.2582311168495832,-0.0322788896061979,-1.2868954166666668,0.07201704003813154
8,,,,-1,4647.0,8,4631.0,4631.0,0,0,-0.3443,0.0,-0.3443,7.0,-0.049185714285714284,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,1.2261912863070539,0.07201704003813154
9,,,,0,4647.0,9,4631.0,4631.0,1,1,-0.3443,0.0,-0.3443,7.0,-0.049185714285714284,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.1727488663355592,0.0863744331677796,1.2261912863070539,0.07201704003813154
