time,pro_loss,orders
2022/05/18-10:05,-48.0,1
2022/05/18-10:35,-48.0,-1
2022/05/18-10:40,0.0,1
2022/05/18-11:10,0.0,-1
2022/05/18-13:35,-48.0,1
2022/05/18-13:40,-48.0,-1
2022/05/18-14:00,-36.0,1
2022/05/18-14:20,-36.0,-1
2022/05/19-09:35,136.0,1
2022/05/19-10:55,136.0,-1
2022/05/19-11:00,32.0,1
2022/05/19-11:30,32.0,-1
2022/05/19-14:00,116.0,1
2022/05/19-14:20,116.0,-1
2022/05/20-21:20,28.0,1
2022/05/20-22:05,28.0,-1
2022/05/20-22:20,192.0,1
2022/05/20-10:05,192.0,-1
2022/05/20-11:00,-68.0,1
2022/05/20-11:10,-68.0,-1
2022/05/20-11:20,-12.0,1
2022/05/20-14:00,-12.0,-1
2022/05/20-14:10,116.0,1
2022/05/23-22:30,116.0,-1
2022/05/23-09:05,-112.0,1
2022/05/23-09:10,-112.0,-1
2022/05/23-09:25,-52.0,1
2022/05/23-09:35,-52.0,-1
2022/05/23-09:50,-64.0,1
2022/05/23-10:00,-64.0,-1
2022/05/23-10:35,-48.0,1
2022/05/23-10:45,-48.0,-1
2022/05/23-11:05,-76.0,1
2022/05/23-11:20,-76.0,-1
2022/05/23-13:55,-60.0,1
2022/05/23-14:05,-60.0,-1
2022/05/23-14:35,44.0,1
2022/05/23-15:00,44.0,-1
2022/05/24-21:05,-44.0,1
2022/05/24-21:25,-44.0,-1
2022/05/24-21:35,-56.0,1
2022/05/24-22:00,-56.0,-1
2022/05/24-22:20,-20.0,1
2022/05/24-22:40,-20.0,-1
2022/05/24-09:25,-40.0,1
2022/05/24-09:35,-40.0,-1
2022/05/24-09:45,-88.0,1
2022/05/24-10:00,-88.0,-1
2022/05/24-10:40,-52.0,1
2022/05/24-10:50,-52.0,-1
2022/05/24-11:15,-56.0,1
2022/05/24-11:20,-56.0,-1
2022/05/25-21:40,-4.0,1
2022/05/25-22:10,-4.0,-1
2022/05/25-22:25,-36.0,1
2022/05/25-22:40,-36.0,-1
2022/05/25-22:45,88.0,1
2022/05/25-09:20,88.0,-1
2022/05/25-14:35,-36.0,1
2022/05/26-21:05,-36.0,-1
2022/05/26-21:40,-36.0,1
2022/05/26-21:55,-36.0,-1
2022/05/26-22:00,-40.0,1
2022/05/26-22:30,-40.0,-1
2022/05/26-09:05,-8.0,1
2022/05/26-09:25,-8.0,-1
2022/05/26-11:25,108.0,1
2022/05/26-13:40,108.0,-1
2022/05/26-14:00,-12.0,1
2022/05/26-14:35,-12.0,-1
2022/05/26-14:40,128.0,1
2022/05/27-21:25,128.0,-1
2022/05/27-22:25,112.0,1
2022/05/27-09:55,112.0,-1
2022/05/27-10:05,-32.0,1
2022/05/27-13:35,-32.0,-1
2022/05/27-14:25,24.0,1
2022/05/27-14:45,24.0,-1
2022/05/30-22:45,-72.0,1
2022/05/30-09:05,-72.0,-1
2022/05/30-09:15,-60.0,1
2022/05/30-09:30,-60.0,-1
2022/05/30-09:40,-48.0,1
2022/05/30-09:55,-48.0,-1
2022/05/30-10:10,-28.0,1
2022/05/30-10:50,-28.0,-1
2022/05/30-13:35,-4.0,1
2022/05/30-13:55,-4.0,-1
2022/05/30-14:00,8.0,1
2022/05/30-14:45,8.0,-1
2022/05/30-14:55,-8.0,1
2022/05/31-21:15,-8.0,-1
2022/05/31-21:25,180.0,1
2022/05/31-22:50,180.0,-1
2022/05/31-23:00,16.0,1
2022/05/31-09:30,16.0,-1
2022/05/31-09:35,-60.0,1
2022/05/31-11:05,-60.0,-1
2022/05/31-13:35,32.0,1
2022/05/31-14:40,32.0,-1
2022/05/31-15:00,-12.0,1
2022/06/01-21:20,-12.0,-1
2022/06/01-21:25,-8.0,1
2022/06/01-23:00,-8.0,-1
2022/06/01-09:20,140.0,1
2022/06/01-10:35,140.0,-1
2022/06/01-14:00,-16.0,1
2022/06/01-14:15,-16.0,-1
2022/06/01-14:45,-56.0,1
2022/06/02-09:05,-56.0,-1
2022/06/02-09:35,-28.0,1
2022/06/02-09:55,-28.0,-1
2022/06/02-10:35,296.0,1
2022/06/06-09:10,296.0,-1
2022/06/06-09:15,-48.0,1
