      时间,    开盘,    最高,    最低,    收盘,         成交量,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M2M   ,LH_MA_ALL.M3M   ,LH_MA_ALL.M2L   ,LH_MA_ALL.M3L   ,LH_VOL_TDX.AMO1  ,LH_VOL_TDX.VOLUME,LH_VOL_TDX.MV1   ,LH_VOL_TDX.MV2   ,LH_VOL_TDX.MV3   ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.AMO1  ,LH_VOL_TDX.VOLUME,LH_VOL_TDX.MV1   ,LH_VOL_TDX.MV2   ,LH_VOL_TDX.MV3   ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.AMO1  ,LH_VOL_TDX.VOLUME,LH_VOL_TDX.MV1   ,LH_VOL_TDX.MV2   ,LH_VOL_TDX.MV3   ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.AMO1  ,LH_VOL_TDX.VOLUME,LH_VOL_TDX.MV1   ,LH_VOL_TDX.MV2   ,LH_VOL_TDX.MV3   ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      ,LH_VOL_TDX.      
 2023/03/16-22:20,4227,4230,4225,4226,1258,4226,4226,4226,4226,4226,4226,4226,0.01,12.58,12.58,12.58,12.58,0,0,0,0,0,           ,0.01,12.58,12.58,12.58,12.58,0,0,0,0,0,           ,0.01,12.58,12.58,12.58,12.58,0,0,0,0,0,           ,0.01,12.58,12.58,12.58,12.58,0,0,0,0,0,           
 2023/03/16-22:25,4226,4230,4224,4225,1023,4225.78,4225.88,4225.94,4225.97,4225.98,4225.99,4226,0.01,10.23,12.15,12.47,10.23,0,0,0,0,0,           ,0.01,10.23,12.15,12.47,10.23,0,0,0,0,0,           ,0.01,10.23,12.15,12.47,10.23,0,0,0,0,0,           ,0.01,10.23,12.15,12.47,10.23,0,0,0,0,0,           
 2023/03/16-22:30,4224,4228,4224,4226,975,4225.83,4225.9,4225.94,4225.97,4225.98,4225.99,4226,0.01,9.75,11.72,12.33,9.91,0,0,0,0,0,           ,0.01,9.75,11.72,12.33,9.91,0,0,0,0,0,           ,0.01,9.75,11.72,12.33,9.91,0,0,0,0,0,           ,0.01,9.75,11.72,12.33,9.91,0,0,0,0,0,           
 2023/03/16-22:35,4226,4226,4220,4220,1563,4224.53,4225.2,4225.58,4225.79,4225.89,4225.95,4225.97,0.01,15.63,12.43,12.49,12.77,0,0,0,0,0,           ,0.01,15.63,12.43,12.49,12.77,0,0,0,0,0,           ,0.01,15.63,12.43,12.49,12.77,0,0,0,0,0,           ,0.01,15.63,12.43,12.49,12.77,0,0,0,0,0,           
 2023/03/16-22:40,4220,4222,4210,4212,9783,4221.75,4223.65,4224.76,4225.36,4225.68,4225.84,4225.92,0.01,97.83,27.96,16.66,46.79,0,0,0,1,0,           ,0.01,97.83,27.96,16.66,46.79,0,0,0,1,0,           ,0.01,97.83,27.96,16.66,46.79,0,0,0,1,0,           ,0.01,97.83,27.96,16.66,46.79,0,0,0,1,0,           
 2023/03/16-22:45,4212,4219,4209,4217,5586,4220.69,4222.87,4224.29,4225.1,4225.54,4225.77,4225.88,0.01,55.86,33.03,18.57,49.82,0,0,0,1,0,           ,0.01,55.86,33.03,18.57,49.82,0,0,0,1,0,           ,0.01,55.86,33.03,18.57,49.82,0,0,0,1,0,           ,0.01,55.86,33.03,18.57,49.82,0,0,0,1,0,           
 2023/03/16-22:50,4216,4225,4216,4221,2711,4220.76,4222.65,4224.09,4224.98,4225.47,4225.73,4225.86,0.01,27.11,31.95,18.99,43.33,0,0,0,0,0,           ,0.01,27.11,31.95,18.99,43.33,0,0,0,0,0,           ,0.01,27.11,31.95,18.99,43.33,0,0,0,0,0,           ,0.01,27.11,31.95,18.99,43.33,0,0,0,0,0,           
 2023/03/16-22:55,4221,4223,4218,4223,1386,4221.26,4222.69,4224.02,4224.92,4225.43,4225.71,4225.85,0.01,13.86,28.66,18.74,35.96,0,0,0,0,0,           ,0.01,13.86,28.66,18.74,35.96,0,0,0,0,0,           ,0.01,13.86,28.66,18.74,35.96,0,0,0,0,0,           ,0.01,13.86,28.66,18.74,35.96,0,0,0,0,0,           
 2023/03/16-23:00,4223,4224,4220,4222,2131,4221.42,4222.61,4223.9,4224.83,4225.38,4225.68,4225.84,0.01,21.31,27.33,18.86,32.71,0,0,0,0,0,           ,0.01,21.31,27.33,18.86,32.71,0,0,0,0,0,           ,0.01,21.31,27.33,18.86,32.71,0,0,0,0,0,           ,0.01,21.31,27.33,18.86,32.71,0,0,0,0,0,           
 2023/03/16-09:05,4224,4234,4219,4219,9052,4220.88,4222.18,4223.6,4224.65,4225.28,4225.63,4225.81,0.01,90.52,38.82,22.36,44.27,0,0,0,1,0,           ,0.01,90.52,38.82,22.36,44.27,0,0,0,1,0,           ,0.01,90.52,38.82,22.36,44.27,0,0,0,1,0,           ,0.01,90.52,38.82,22.36,44.27,0,0,0,1,0,           
