time,pro_loss,orders,price,date
2022/06/14-10:10,-52.0,1,4619.0,2022/06/14
2022/06/14-10:35,-52.0,-1,-4606.0,2022/06/14
2022/06/14-14:05,48.0,1,4587.0,2022/06/14
2022/06/14-14:55,48.0,-1,-4599.0,2022/06/14
2022/06/15-09:35,-12.0,1,4573.0,2022/06/15
2022/06/15-10:05,-12.0,-1,-4570.0,2022/06/15
2022/06/16-22:20,44.0,1,4538.0,2022/06/16
2022/06/16-09:10,44.0,-1,-4549.0,2022/06/16
2022/06/17-22:15,64.0,1,4360.0,2022/06/17
2022/06/17-22:45,64.0,-1,-4376.0,2022/06/17
2022/06/17-23:00,16.0,1,4377.0,2022/06/17
2022/06/17-09:25,16.0,-1,-4381.0,2022/06/17
2022/06/17-09:30,-56.0,1,8778.0,2022/06/17
2022/06/17-10:10,-56.0,-1,-4375.0,2022/06/17
2022/06/17-10:55,-48.0,1,4382.0,2022/06/17
2022/06/17-11:05,-48.0,-1,-4370.0,2022/06/17
2022/06/20-10:40,-16.0,1,4095.0,2022/06/20
2022/06/20-11:00,-16.0,-1,-4091.0,2022/06/20
2022/06/20-11:20,124.0,1,4092.0,2022/06/20
2022/06/20-14:05,124.0,-1,-4123.0,2022/06/20
2022/06/20-14:40,-24.0,1,4109.0,2022/06/20
2022/06/20-14:55,-24.0,-1,-4103.0,2022/06/20
2022/06/20-15:00,-108.0,1,8242.0,2022/06/20
2022/06/21-21:05,-108.0,-1,-8188.0,2022/06/21
2022/06/21-21:10,0.0,1,8216.0,2022/06/21
2022/06/21-21:30,0.0,-1,-4108.0,2022/06/21
2022/06/21-22:40,120.0,1,4100.0,2022/06/21
2022/06/21-22:45,120.0,-1,-8260.0,2022/06/21
2022/06/22-11:25,68.0,1,4103.0,2022/06/22
2022/06/22-13:45,68.0,-1,-4120.0,2022/06/22
2022/06/22-15:00,132.0,1,4096.0,2022/06/22
2022/06/23-21:45,132.0,-1,-4129.0,2022/06/23
2022/07/01-22:10,-36.0,1,4275.0,2022/07/01
2022/07/01-22:20,-36.0,-1,-4266.0,2022/07/01
2022/07/01-22:35,-44.0,1,4270.0,2022/07/01
2022/07/01-22:45,-44.0,-1,-4259.0,2022/07/01
2022/07/01-22:55,-36.0,1,4264.0,2022/07/01
2022/07/01-23:00,-36.0,-1,-8510.0,2022/07/01
2022/07/01-09:10,-20.0,1,4270.0,2022/07/01
2022/07/01-09:30,-20.0,-1,-4265.0,2022/07/01
2022/07/01-09:40,104.0,1,4279.0,2022/07/01
2022/07/01-10:05,104.0,-1,-4305.0,2022/07/01
2022/07/04-21:50,-40.0,1,4251.0,2022/07/04
2022/07/04-22:05,-40.0,-1,-4241.0,2022/07/04
2022/07/04-10:10,-60.0,1,4158.0,2022/07/04
2022/07/04-10:40,-60.0,-1,-4143.0,2022/07/04
2022/07/04-11:10,-36.0,1,4146.0,2022/07/04
2022/07/04-11:20,-36.0,-1,-4137.0,2022/07/04
2022/07/04-11:30,-36.0,1,4140.0,2022/07/04
2022/07/04-14:00,-36.0,-1,-4131.0,2022/07/04
2022/07/04-14:25,-48.0,1,4139.0,2022/07/04
