,zig,p_pos,v_pos,peak,valley,,,
0,1,0,-1,4647,,,,
1,0,1,-1,4647,,,,
2,0,2,-1,4647,,,,
3,0,3,-1,4647,,,,
4,0,4,-1,4647,,,,
5,0,5,-1,4647,,,,
6,0,6,-1,4647,,,,
7,0,7,-1,4647,,,,
8,-1,8,0,4647,4631,-8,8,up
9,0,9,1,4647,4631,-8,8,up
10,0,10,2,4647,4631,-8,8,up
11,0,11,3,4647,4631,-8,8,up
12,0,12,4,4647,4631,-8,8,up
13,0,13,5,4647,4631,-8,8,up
14,0,14,6,4647,4631,-8,8,up
15,0,15,7,4647,4631,-8,8,up
16,0,16,8,4647,4631,-8,8,up
17,0,17,9,4647,4631,-8,8,up
18,0,18,10,4647,4631,-8,8,up
19,0,19,11,4647,4631,-8,8,up
20,0,20,12,4647,4631,-8,8,up
21,0,21,13,4647,4631,-8,8,up
22,0,22,14,4647,4631,-8,8,up
23,0,23,15,4647,4631,-8,8,up
24,0,24,16,4647,4631,-8,8,up
25,0,25,17,4647,4631,-8,8,up
26,0,26,18,4647,4631,-8,8,up
27,0,27,19,4647,4631,-8,8,up
28,0,28,20,4647,4631,-8,8,up
29,0,29,21,4647,4631,-8,8,up
30,0,30,22,4647,4631,-8,8,up
31,0,31,23,4647,4631,-8,8,up
32,0,32,24,4647,4631,-8,8,up
33,0,33,25,4647,4631,-8,8,up
34,0,34,26,4647,4631,-8,8,up
35,0,35,27,4647,4631,-8,8,up
36,0,36,28,4647,4631,-8,8,up
37,0,37,29,4647,4631,-8,8,up
38,0,38,30,4647,4631,-8,8,up
39,0,39,31,4647,4631,-8,8,up
40,0,40,32,4647,4631,-8,8,up
41,0,41,33,4647,4631,-8,8,up
42,0,42,34,4647,4631,-8,8,up
43,0,43,35,4647,4631,-8,8,up
44,0,44,36,4647,4631,-8,8,up
45,1,0,37,4710,4631,37,-37,dw
46,0,1,38,4710,4631,37,-37,dw
47,0,2,39,4710,4631,37,-37,dw
48,0,3,40,4710,4631,37,-37,dw
49,0,4,41,4710,4631,37,-37,dw
50,0,5,42,4710,4631,37,-37,dw
51,-1,6,0,4710,4680,-6,6,up
52,0,7,1,4710,4680,-6,6,up
53,0,8,2,4710,4680,-6,6,up
54,1,0,3,4716,4680,3,-3,dw
55,-1,1,0,4716,4685,-1,1,up
56,0,2,1,4716,4685,-1,1,up
57,0,3,2,4716,4685,-1,1,up
58,0,4,3,4716,4685,-1,1,up
59,0,5,4,4716,4685,-1,1,up
60,0,6,5,4716,4685,-1,1,up
61,0,7,6,4716,4685,-1,1,up
62,0,8,7,4716,4685,-1,1,up
63,0,9,8,4716,4685,-1,1,up
64,0,10,9,4716,4685,-1,1,up
65,0,11,10,4716,4685,-1,1,up
66,0,12,11,4716,4685,-1,1,up
67,0,13,12,4716,4685,-1,1,up
68,0,14,13,4716,4685,-1,1,up
69,0,15,14,4716,4685,-1,1,up
70,0,16,15,4716,4685,-1,1,up
71,0,17,16,4716,4685,-1,1,up
