time,orders
2022/05/18-09:45,0
2022/05/18-09:50,0
2022/05/18-09:55,0
2022/05/18-10:00,0
2022/05/18-10:05,1
2022/05/18-10:10,0
2022/05/18-10:15,0
2022/05/18-10:35,-1
2022/05/18-10:40,1
2022/05/18-10:45,0
2022/05/18-10:50,0
2022/05/18-10:55,0
2022/05/18-11:00,0
2022/05/18-11:05,0
2022/05/18-11:10,-1
2022/05/18-11:15,0
2022/05/18-11:20,0
2022/05/18-11:25,0
2022/05/18-11:30,0
2022/05/18-13:35,1
2022/05/18-13:40,-1
2022/05/18-13:45,0
2022/05/18-13:50,0
2022/05/18-13:55,0
2022/05/18-14:00,1
2022/05/18-14:05,0
2022/05/18-14:10,0
2022/05/18-14:15,0
2022/05/18-14:20,-1
2022/05/18-14:25,0
2022/05/18-14:30,0
2022/05/18-14:35,0
2022/05/18-14:40,0
2022/05/18-14:45,0
2022/05/18-14:50,0
2022/05/18-14:55,0
2022/05/18-15:00,0
2022/05/19-21:05,0
2022/05/19-21:10,0
2022/05/19-21:15,0
2022/05/19-21:20,0
2022/05/19-21:25,0
2022/05/19-21:30,0
2022/05/19-21:35,0
2022/05/19-21:40,0
2022/05/19-21:45,0
2022/05/19-21:50,0
2022/05/19-21:55,0
2022/05/19-22:00,0
2022/05/19-22:05,0
2022/05/19-22:10,0
2022/05/19-22:15,0
2022/05/19-22:20,0
2022/05/19-22:25,0
2022/05/19-22:30,0
2022/05/19-22:35,0
2022/05/19-22:40,0
2022/05/19-22:45,0
2022/05/19-22:50,0
2022/05/19-22:55,0
2022/05/19-23:00,0
2022/05/19-09:05,0
2022/05/19-09:10,0
2022/05/19-09:15,0
2022/05/19-09:20,0
2022/05/19-09:25,0
2022/05/19-09:30,0
2022/05/19-09:35,1
2022/05/19-09:40,0
2022/05/19-09:45,0
2022/05/19-09:50,0
2022/05/19-09:55,0
2022/05/19-10:00,0
2022/05/19-10:05,0
2022/05/19-10:10,0
2022/05/19-10:15,0
2022/05/19-10:35,0
2022/05/19-10:40,0
2022/05/19-10:45,0
2022/05/19-10:50,0
2022/05/19-10:55,-1
2022/05/19-11:00,1
2022/05/19-11:05,0
2022/05/19-11:10,0
2022/05/19-11:15,0
2022/05/19-11:20,0
2022/05/19-11:25,0
2022/05/19-11:30,-1
2022/05/19-13:35,0
2022/05/19-13:40,0
2022/05/19-13:45,0
2022/05/19-13:50,0
2022/05/19-13:55,0
2022/05/19-14:00,1
2022/05/19-14:05,0
2022/05/19-14:10,0
2022/05/19-14:15,0
2022/05/19-14:20,-1
2022/05/19-14:25,0
2022/05/19-14:30,0
2022/05/19-14:35,0
2022/05/19-14:40,0
2022/05/19-14:45,0
2022/05/19-14:50,0
2022/05/19-14:55,0
2022/05/19-15:00,0
2022/05/20-21:05,0
2022/05/20-21:10,0
2022/05/20-21:15,0
2022/05/20-21:20,1
2022/05/20-21:25,0
2022/05/20-21:30,0
2022/05/20-21:35,0
2022/05/20-21:40,0
2022/05/20-21:45,0
2022/05/20-21:50,0
2022/05/20-21:55,0
2022/05/20-22:00,0
2022/05/20-22:05,-1
2022/05/20-22:10,0
2022/05/20-22:15,0
2022/05/20-22:20,1
2022/05/20-22:25,0
2022/05/20-22:30,0
2022/05/20-22:35,0
2022/05/20-22:40,0
2022/05/20-22:45,0
2022/05/20-22:50,0
2022/05/20-22:55,0
2022/05/20-23:00,0
2022/05/20-09:05,0
2022/05/20-09:10,0
2022/05/20-09:15,0
2022/05/20-09:20,0
2022/05/20-09:25,0
2022/05/20-09:30,0
2022/05/20-09:35,0
2022/05/20-09:40,0
2022/05/20-09:45,0
2022/05/20-09:50,0
