time,pro_loss,orders
2022/05/27-09:55,,1
2022/05/27-14:45,,-1
2022/05/30-22:45,-72.0,1
2022/05/30-09:05,-72.0,-1
2022/05/30-09:15,-40.0,1
2022/05/30-09:25,-40.0,-1
2022/05/30-09:40,-48.0,1
2022/05/30-09:55,-48.0,-1
2022/05/30-10:10,-28.0,1
2022/05/30-10:50,-28.0,-1
2022/05/30-14:30,-24.0,1
2022/05/30-14:45,-24.0,-1
2022/05/30-14:55,0.0,1
2022/05/31-21:15,0.0,-1
2022/05/31-21:20,224.0,1
2022/05/31-22:35,224.0,-1
2022/05/31-23:00,16.0,1
2022/05/31-09:30,16.0,-1
2022/05/31-09:35,-36.0,1
2022/05/31-10:10,-36.0,-1
2022/05/31-10:15,-56.0,1
2022/05/31-11:05,-56.0,-1
2022/05/31-14:05,40.0,1
2022/05/31-14:40,40.0,-1
2022/05/31-15:00,-12.0,1
2022/06/01-21:20,-12.0,-1
2022/06/01-21:25,-8.0,1
2022/06/01-23:00,-8.0,-1
2022/06/01-10:00,120.0,1
2022/06/01-10:35,120.0,-1
2022/06/01-14:00,-16.0,1
2022/06/01-14:15,-16.0,-1
2022/06/01-14:45,-8.0,1
2022/06/02-21:05,-8.0,-1
2022/06/02-21:25,-44.0,1
2022/06/02-09:05,-44.0,-1
2022/06/06-09:15,-48.0,1
2022/06/06-09:20,-48.0,-1
2022/06/06-09:50,-56.0,1
2022/06/06-11:05,-56.0,-1
2022/06/06-11:20,4.0,1
2022/06/06-13:55,4.0,-1
2022/06/06-14:00,-52.0,1
2022/06/06-14:15,-52.0,-1
2022/06/08-09:55,12.0,1
2022/06/08-10:45,12.0,-1
2022/06/08-11:20,-28.0,1
2022/06/08-11:30,-28.0,-1
2022/06/08-14:35,-48.0,1
2022/06/08-14:50,-48.0,-1
2022/06/08-15:00,72.0,1
2022/06/09-21:50,72.0,-1
2022/06/09-21:55,-48.0,1
2022/06/09-22:15,-48.0,-1
2022/06/09-09:20,-24.0,1
2022/06/09-09:40,-24.0,-1
2022/06/09-11:00,-44.0,1
2022/06/09-11:15,-44.0,-1
2022/06/10-13:35,-40.0,1
2022/06/10-13:40,-40.0,-1
2022/06/10-14:00,112.0,1
2022/06/10-14:55,112.0,-1
2022/06/15-09:35,-12.0,1
2022/06/15-10:05,-12.0,-1
2022/06/15-13:45,-48.0,1
2022/06/15-14:10,-48.0,-1
2022/06/21-10:55,-36.0,1
2022/06/21-11:00,-36.0,-1
2022/06/21-11:25,-52.0,1
2022/06/21-13:35,-52.0,-1
2022/06/21-14:00,40.0,1
2022/06/21-14:40,40.0,-1
2022/06/21-15:00,88.0,1
2022/06/22-21:05,88.0,-1
2022/06/22-21:25,-8.0,1
2022/06/22-21:55,-8.0,-1
2022/06/22-22:05,16.0,1
2022/06/22-22:55,16.0,-1
2022/06/23-22:40,16.0,1
2022/06/23-09:05,16.0,-1
2022/06/23-10:05,-76.0,1
2022/06/23-10:15,-76.0,-1
2022/06/23-15:00,84.0,1
2022/06/24-21:45,84.0,-1
2022/06/24-22:30,-48.0,1
2022/06/24-22:40,-48.0,-1
2022/06/24-09:15,-64.0,1
2022/06/24-09:50,-64.0,-1
2022/06/24-10:10,-72.0,1
2022/06/24-10:35,-72.0,-1
2022/06/24-13:40,-16.0,1
2022/06/24-13:55,-16.0,-1
2022/06/27-21:15,-52.0,1
2022/06/27-21:20,-52.0,-1
2022/06/27-22:10,144.0,1
2022/06/27-22:55,144.0,-1
2022/06/27-10:00,-44.0,1
2022/06/27-10:45,-44.0,-1
2022/06/27-11:15,-56.0,1
2022/06/27-11:25,-56.0,-1
2022/06/27-13:40,12.0,1
2022/06/27-14:30,12.0,-1
2022/06/27-14:40,-12.0,1
2022/06/28-21:20,-12.0,-1
2022/06/28-21:30,-36.0,1
2022/06/28-21:35,-36.0,-1
2022/06/28-22:05,-40.0,1
2022/06/28-22:10,-40.0,-1
2022/06/28-09:05,-40.0,1
2022/06/28-09:20,-40.0,-1
2022/06/28-13:35,100.0,1
2022/06/28-14:15,100.0,-1
2022/06/29-22:20,-68.0,1
2022/06/29-22:30,-68.0,-1
2022/06/29-22:45,-28.0,1
2022/06/29-09:10,-28.0,-1
2022/06/29-09:20,44.0,1
2022/06/29-10:55,44.0,-1
2022/06/30-21:45,12.0,1
2022/06/30-22:15,12.0,-1
2022/07/01-09:40,104.0,1
2022/07/01-10:05,104.0,-1
2022/07/01-10:45,-40.0,1
2022/07/01-10:55,-40.0,-1
2022/07/04-21:50,-40.0,1
2022/07/04-22:05,-40.0,-1
2022/07/05-09:50,20.0,1
2022/07/05-10:10,20.0,-1
2022/07/05-10:55,36.0,1
2022/07/05-13:35,36.0,-1
2022/07/06-09:05,28.0,1
2022/07/06-09:30,28.0,-1
2022/07/07-10:45,148.0,1
2022/07/07-11:20,148.0,-1
2022/07/07-14:30,-48.0,1
2022/07/07-14:45,-48.0,-1
2022/07/08-21:05,-128.0,1
2022/07/08-11:00,-128.0,-1
2022/07/13-10:50,-44.0,1
2022/07/13-10:55,-44.0,-1
2022/07/14-10:40,36.0,1
2022/07/14-10:45,36.0,-1
2022/07/14-11:00,-32.0,1
2022/07/14-11:20,-32.0,-1
2022/07/14-11:25,-84.0,1
2022/07/14-13:35,-84.0,-1
2022/07/18-22:25,8.0,1
2022/07/18-22:35,8.0,-1
2022/07/18-09:40,-56.0,1
2022/07/18-09:50,-56.0,-1
2022/07/18-09:55,-48.0,1
2022/07/18-10:05,-48.0,-1
2022/07/18-10:10,-28.0,1
2022/07/18-10:50,-28.0,-1
2022/07/18-11:05,40.0,1
2022/07/18-13:45,40.0,-1
2022/07/18-14:15,84.0,1
2022/07/18-15:00,84.0,-1
2022/07/19-22:35,-24.0,1
2022/07/19-09:05,-24.0,-1
2022/07/19-10:10,-48.0,1
2022/07/19-10:50,-48.0,-1
2022/07/19-11:10,-92.0,1
2022/07/19-11:15,-92.0,-1
2022/07/19-14:45,-48.0,1
2022/07/19-14:55,-48.0,-1
2022/07/20-11:25,-88.0,1
2022/07/20-13:35,-88.0,-1
2022/07/20-14:55,-32.0,1
2022/07/21-21:05,-32.0,-1
2022/07/21-21:20,0.0,1
2022/07/21-21:40,0.0,-1
2022/07/21-13:40,76.0,1
2022/07/21-14:20,76.0,-1
2022/07/22-13:45,16.0,1
2022/07/22-14:45,16.0,-1
2022/07/22-15:00,124.0,1
2022/07/25-21:05,124.0,-1
2022/07/25-21:40,0.0,1
2022/07/25-22:05,0.0,-1
2022/07/25-22:10,52.0,1
2022/07/25-22:50,52.0,-1
2022/07/25-09:45,-20.0,1
2022/07/25-10:10,-20.0,-1
2022/07/25-10:15,24.0,1
2022/07/25-11:15,24.0,-1
2022/07/26-11:05,-60.0,1
2022/07/26-11:10,-60.0,-1
2022/07/26-11:30,-36.0,1
2022/07/26-13:45,-36.0,-1
2022/07/26-13:55,44.0,1
2022/07/26-14:30,44.0,-1
2022/07/26-14:45,64.0,1
2022/07/27-21:10,64.0,-1
2022/07/27-22:00,-44.0,1
2022/07/27-22:15,-44.0,-1
2022/07/27-22:25,-28.0,1
2022/07/27-22:55,-28.0,-1
2022/07/27-14:25,-32.0,1
2022/07/27-14:30,-32.0,-1
2022/07/27-14:55,-32.0,1
2022/07/28-21:05,-32.0,-1
2022/07/28-21:20,256.0,1
2022/07/28-09:20,256.0,-1
2022/07/28-11:00,88.0,1
2022/07/28-13:40,88.0,-1
2022/07/29-22:15,-16.0,1
2022/07/29-23:00,-16.0,-1
2022/07/29-09:15,-12.0,1
2022/07/29-09:50,-12.0,-1
2022/08/01-23:00,24.0,1
2022/08/01-09:05,24.0,-1
2022/08/01-10:05,-40.0,1
2022/08/01-10:45,-40.0,-1
2022/08/01-10:50,16.0,1
2022/08/01-11:15,16.0,-1
2022/08/01-11:30,24.0,1
2022/08/01-14:00,24.0,-1
2022/08/02-14:05,88.0,1
2022/08/02-14:15,88.0,-1
2022/08/03-22:50,-48.0,1
2022/08/03-23:00,-48.0,-1
2022/08/03-09:05,64.0,1
2022/08/03-09:25,64.0,-1
2022/08/03-09:45,-12.0,1
2022/08/03-10:35,-12.0,-1
2022/08/03-10:45,-48.0,1
2022/08/03-10:55,-48.0,-1
2022/08/03-11:10,4.0,1
2022/08/03-13:35,4.0,-1
2022/08/03-13:40,12.0,1
2022/08/03-14:20,12.0,-1
2022/08/03-14:30,-52.0,1
2022/08/03-14:40,-52.0,-1
2022/08/05-09:05,164.0,1
2022/08/05-09:35,164.0,-1
2022/08/05-10:10,72.0,1
2022/08/05-10:35,72.0,-1
2022/08/05-11:20,100.0,1
2022/08/05-14:35,100.0,-1
2022/08/08-14:35,0.0,1
2022/08/09-21:05,0.0,-1
2022/08/09-21:10,40.0,1
2022/08/09-22:05,40.0,-1
2022/08/09-14:15,-88.0,1
2022/08/09-14:25,-88.0,-1
2022/08/11-21:05,-124.0,1
2022/08/11-22:10,-124.0,-1
2022/08/11-10:15,-40.0,1
2022/08/11-10:40,-40.0,-1
2022/08/11-14:20,72.0,1
2022/08/12-21:15,72.0,-1
2022/08/12-22:20,-64.0,1
2022/08/12-22:30,-64.0,-1
2022/08/12-22:35,48.0,1
2022/08/12-09:45,48.0,-1
2022/08/12-14:40,-20.0,1
2022/08/15-21:05,-20.0,-1
2022/08/15-21:10,-12.0,1
2022/08/15-21:40,-12.0,-1
2022/08/15-21:50,-36.0,1
2022/08/15-22:05,-36.0,-1
2022/08/15-22:25,8.0,1
2022/08/15-22:50,8.0,-1
2022/08/15-23:00,-32.0,1
2022/08/15-09:05,-32.0,-1
2022/08/15-09:30,-36.0,1
2022/08/15-09:55,-36.0,-1
2022/08/15-10:00,-68.0,1
2022/08/15-10:05,-68.0,-1
2022/08/16-11:10,-16.0,1
2022/08/16-11:25,-16.0,-1
2022/08/16-11:30,-32.0,1
2022/08/16-13:35,-32.0,-1
2022/08/16-13:55,-52.0,1
2022/08/16-14:25,-52.0,-1
2022/08/16-14:45,-28.0,1
2022/08/17-21:20,-28.0,-1
2022/08/19-10:40,40.0,1
2022/08/19-11:10,40.0,-1
2022/08/19-11:30,-84.0,1
2022/08/19-13:35,-84.0,-1
2022/08/22-14:00,-32.0,1
2022/08/22-14:05,-32.0,-1
2022/08/22-14:45,-20.0,1
2022/08/23-21:05,-20.0,-1
2022/08/23-10:40,-32.0,1
2022/08/23-10:50,-32.0,-1
2022/08/23-11:10,-60.0,1
2022/08/23-13:40,-60.0,-1
2022/08/23-14:05,-44.0,1
2022/08/23-14:20,-44.0,-1
2022/08/24-22:10,72.0,1
2022/08/24-22:50,72.0,-1
2022/08/24-13:40,-40.0,1
2022/08/24-13:50,-40.0,-1
2022/08/25-22:00,32.0,1
2022/08/25-22:20,32.0,-1
2022/08/25-09:50,-4.0,1
2022/08/25-10:10,-4.0,-1
2022/08/25-10:15,24.0,1
2022/08/25-11:25,24.0,-1
2022/08/25-11:30,-176.0,1
2022/08/25-13:35,-176.0,-1
2022/08/26-10:00,32.0,1
2022/08/26-11:05,32.0,-1
2022/08/26-14:30,-12.0,1
2022/08/26-14:45,-12.0,-1
2022/08/26-14:50,4.0,1
2022/08/26-15:00,4.0,-1
2022/08/29-22:10,-16.0,1
2022/08/29-22:25,-16.0,-1
2022/08/31-22:20,-32.0,1
2022/08/31-22:50,-32.0,-1
2022/08/31-09:05,-60.0,1
2022/08/31-09:10,-60.0,-1
2022/08/31-09:35,0.0,1
2022/08/31-10:10,0.0,-1
2022/08/31-15:00,152.0,1
2022/09/01-21:15,152.0,-1
2022/09/01-22:50,-20.0,1
2022/09/01-09:10,-20.0,-1
2022/09/01-09:25,-48.0,1
2022/09/01-10:40,-48.0,-1
2022/09/01-11:00,20.0,1
2022/09/01-11:30,20.0,-1
2022/09/02-13:40,-20.0,1
2022/09/02-14:10,-20.0,-1
2022/09/05-21:30,-44.0,1
2022/09/05-21:40,-44.0,-1
2022/09/05-22:05,176.0,1
2022/09/05-22:50,176.0,-1
2022/09/05-13:55,44.0,1
2022/09/05-14:45,44.0,-1
2022/09/06-21:05,-16.0,1
2022/09/06-22:45,-16.0,-1
2022/09/06-22:50,-32.0,1
2022/09/06-22:55,-32.0,-1
2022/09/06-23:00,0.0,1
2022/09/06-09:10,0.0,-1
2022/09/06-11:10,-44.0,1
2022/09/06-13:35,-44.0,-1
2022/09/06-13:40,-48.0,1
2022/09/06-13:50,-48.0,-1
2022/09/06-14:00,92.0,1
2022/09/07-21:45,92.0,-1
2022/09/08-21:05,-36.0,1
2022/09/08-21:20,-36.0,-1
2022/09/08-21:40,-4.0,1
2022/09/08-22:00,-4.0,-1
2022/09/08-09:45,116.0,1
2022/09/08-13:35,116.0,-1
2022/09/08-13:45,-72.0,1
2022/09/08-13:55,-72.0,-1
2022/09/08-14:25,-32.0,1
2022/09/08-14:35,-32.0,-1
2022/09/09-21:05,44.0,1
2022/09/09-09:15,44.0,-1
2022/09/09-09:20,88.0,1
2022/09/09-10:45,88.0,-1
2022/09/09-13:35,-32.0,1
2022/09/09-13:50,-32.0,-1
2022/09/09-13:55,76.0,1
2022/09/13-09:15,76.0,-1
2022/09/15-22:35,32.0,1
2022/09/15-09:35,32.0,-1
2022/09/15-09:40,-40.0,1
2022/09/15-10:10,-40.0,-1
2022/09/19-23:00,-44.0,1
2022/09/19-09:05,-44.0,-1
2022/09/19-10:00,-40.0,1
2022/09/19-10:50,-40.0,-1
2022/09/19-10:55,-40.0,1
2022/09/19-11:05,-40.0,-1
2022/09/19-11:15,-16.0,1
2022/09/19-14:05,-16.0,-1
2022/09/20-09:05,60.0,1
2022/09/20-09:55,60.0,-1
2022/09/20-10:35,-16.0,1
2022/09/20-13:35,-16.0,-1
2022/09/20-13:40,-44.0,1
2022/09/20-14:10,-44.0,-1
2022/09/21-14:30,0.0,1
2022/09/21-15:00,0.0,-1
2022/09/22-22:10,180.0,1
2022/09/22-09:15,180.0,-1
2022/09/22-11:15,16.0,1
2022/09/22-14:00,16.0,-1
2022/09/22-14:05,120.0,1
2022/09/23-21:10,120.0,-1
2022/09/23-21:35,-20.0,1
