time,pro_loss,orders,price,date
2022/06/08-09:55,12.0,1,4697.0,2022/06/08
2022/06/08-10:45,12.0,-1,-4700.0,2022/06/08
2022/06/08-11:20,-28.0,1,4692.0,2022/06/08
2022/06/08-11:30,-28.0,-1,-4685.0,2022/06/08
2022/06/08-14:35,-48.0,1,4726.0,2022/06/08
2022/06/08-14:50,-48.0,-1,-4714.0,2022/06/08
2022/06/08-15:00,72.0,1,4724.0,2022/06/08
2022/06/09-21:50,72.0,-1,-4742.0,2022/06/09
2022/06/09-21:55,-48.0,1,9502.0,2022/06/09
2022/06/09-22:15,-48.0,-1,-4739.0,2022/06/09
2022/06/09-09:20,-24.0,1,4734.0,2022/06/09
2022/06/09-09:40,-24.0,-1,-4728.0,2022/06/09
2022/06/09-11:00,-44.0,1,4730.0,2022/06/09
2022/06/09-11:15,-44.0,-1,-4719.0,2022/06/09
2022/06/09-14:10,-36.0,1,4710.0,2022/06/09
2022/06/09-14:55,-36.0,-1,-4701.0,2022/06/09
2022/06/09-15:00,-56.0,1,9426.0,2022/06/09
2022/06/10-21:10,-56.0,-1,-4699.0,2022/06/10
2022/06/10-22:35,-56.0,1,4711.0,2022/06/10
2022/06/10-23:00,-56.0,-1,-4697.0,2022/06/10
2022/06/10-10:05,80.0,1,4692.0,2022/06/10
2022/06/10-11:25,80.0,-1,-4712.0,2022/06/10
2022/06/10-13:35,-40.0,1,4713.0,2022/06/10
2022/06/10-13:40,-40.0,-1,-9406.0,2022/06/10
2022/06/10-14:00,112.0,1,4707.0,2022/06/10
2022/06/10-14:55,112.0,-1,-4735.0,2022/06/10
2022/06/14-09:35,-56.0,1,4626.0,2022/06/14
2022/06/14-09:45,-56.0,-1,-4612.0,2022/06/14
2022/06/21-10:55,-36.0,1,4192.0,2022/06/21
2022/06/21-11:00,-36.0,-1,-8366.0,2022/06/21
2022/06/21-11:25,-52.0,1,4183.0,2022/06/21
2022/06/21-13:35,-52.0,-1,-4170.0,2022/06/21
2022/06/21-14:00,40.0,1,4175.0,2022/06/21
2022/06/21-14:40,40.0,-1,-4185.0,2022/06/21
2022/06/21-15:00,88.0,1,4188.0,2022/06/21
2022/06/22-21:05,88.0,-1,-8420.0,2022/06/22
2022/06/22-21:25,-8.0,1,4197.0,2022/06/22
2022/06/22-21:55,-8.0,-1,-4195.0,2022/06/22
2022/06/22-22:05,16.0,1,4196.0,2022/06/22
2022/06/22-22:55,16.0,-1,-4200.0,2022/06/22
2022/06/23-22:40,16.0,1,4136.0,2022/06/23
2022/06/23-09:05,16.0,-1,-4140.0,2022/06/23
2022/06/23-09:55,-60.0,1,4125.0,2022/06/23
2022/06/23-10:15,-60.0,-1,-4110.0,2022/06/23
2022/06/23-15:00,84.0,1,4206.0,2022/06/23
2022/06/24-21:45,84.0,-1,-4227.0,2022/06/24
2022/06/24-22:30,-48.0,1,4217.0,2022/06/24
2022/06/24-22:40,-48.0,-1,-4205.0,2022/06/24
2022/06/24-09:15,-64.0,1,4208.0,2022/06/24
2022/06/24-09:50,-64.0,-1,-4192.0,2022/06/24
2022/06/24-10:10,-72.0,1,4204.0,2022/06/24
2022/06/24-10:35,-72.0,-1,-4186.0,2022/06/24
2022/06/24-13:40,-16.0,1,4197.0,2022/06/24
2022/06/24-13:55,-16.0,-1,-4193.0,2022/06/24
2022/06/24-14:40,-40.0,1,4180.0,2022/06/24
2022/06/24-14:55,-40.0,-1,-4170.0,2022/06/24
2022/06/27-21:15,-52.0,1,4189.0,2022/06/27
2022/06/27-21:20,-52.0,-1,-8352.0,2022/06/27
2022/06/27-22:10,144.0,1,4180.0,2022/06/27
2022/06/27-22:55,144.0,-1,-4216.0,2022/06/27
2022/06/27-10:00,-44.0,1,4247.0,2022/06/27
2022/06/27-10:45,-44.0,-1,-4236.0,2022/06/27
2022/06/27-11:15,-56.0,1,4237.0,2022/06/27
2022/06/27-11:25,-56.0,-1,-4223.0,2022/06/27
2022/06/27-13:40,12.0,1,4231.0,2022/06/27
2022/06/27-14:30,12.0,-1,-4234.0,2022/06/27
2022/06/27-14:40,-12.0,1,4244.0,2022/06/27
2022/06/28-21:20,-12.0,-1,-4241.0,2022/06/28
2022/06/28-22:05,-40.0,1,4240.0,2022/06/28
