,blockname
0,融资融券
1,专精特新
2,即将解禁
3,近已解禁
4,送转潜力
5,预高送转
6,已高送转
7,业绩预升
8,业绩预增
9,业绩预降
10,预计扭亏
11,预计转亏
12,破净资产
13,破发行价
14,破增发价
15,高股息股
16,股东增持
17,股东减持
18,拟增持
19,拟减持
20,户数增加
21,户数减少
22,高融资盘
23,融资增加
24,密集调研
25,券商金股
26,基金独门
27,行业龙头
28,大盘股
29,微盘股
30,高市盈率
31,低市盈率
32,高市净率
33,低市净率
34,保险重仓
35,保险新进
36,QFII重仓
37,QFII新进
38,信托重仓
39,北上重仓
40,券商重仓
41,社保重仓
42,社保新进
43,基金重仓
44,基金增仓
45,基金减仓
46,证金汇金
47,国开持股
48,养老金
49,个人持股
50,亏损股
51,微利股
52,绩优股
53,摘帽
54,持续增长
55,连续亏损
56,两年新股
57,高贝塔值
58,参股金融
59,被举牌
60,回购计划
61,配股预案
62,配股股
63,定增预案
64,定增股
65,重组预案
66,重组股
67,发可转债
68,股权激励
69,股权转让
70,债转股
71,股权集中
72,股权分散
73,分拆上市
74,壳资源
75,要约收购
76,高质押股
77,高负债率
78,高商誉
79,商誉减值
80,整体上市
81,海外业务
82,高校背景
83,外资背景
84,台资背景
85,机构吸筹
86,新进成份
87,沪港通SH
88,深港通SZ
89,MSCI成份
90,MSCI中盘
91,参股新股
92,扣非亏损
93,久不分红
94,员工持股
95,中字头
96,中小银行
97,百元股
98,低价股
99,风险提示
100,昨日涨停
101,昨曾涨停
102,昨日跌停
103,昨曾跌停
104,昨日首板
105,昨日连板
106,昨日较强
107,昨日较弱
108,昨日振荡
109,昨日上榜
110,昨高换手
111,昨成交20
112,昨收活跃
113,陆股通重
114,陆股通增
115,陆股通减
116,次新预增
117,近端次新
118,次新超跌
119,送转超跌
120,最近闪拉
121,最近闪跌
122,最近多板
123,最近异动
124,近期复牌
125,活跃股
126,不活跃股
127,历史新高
128,历史新低
129,近期新高
130,近期新低
131,近期强势
132,近期弱势
133,轮动趋势
134,板块趋势
135,通达信热
136,活跃ETF
137,活跃转债
138,周期股
139,非周期股
