,blockname
0,精选指数
1,重点沪指
2,沪深300
3,深证成指
4,创业板指
5,上证50
6,科创50
7,北证50
8,中证100
9,中证200
10,中证500
11,中证800
12,中证1000
13,中证龙头
14,中证央企
15,中证红利
16,红利低波
17,创业大盘
18,创业板50
19,创业300
20,创业创新
21,创业蓝筹
22,创成长
23,创质量
24,创科技
25,创医药
26,300周期
27,300非周
28,300ESG
29,大盘成长
30,大盘价值
31,中盘成长
32,中盘价值
33,小盘成长
34,小盘价值
35,央企100
36,上证380
37,上证180
38,上证中盘
39,上证红利
40,上证治理
41,上证超大
42,上证混改
43,上证创新
44,中小100
45,中小300
46,深证100
47,深证300
48,深证成长
49,深证红利
50,深证治理
51,深证价值
52,深次新股
53,深证创新
54,消费100
55,资源优势
56,国证2000
57,国证成长
58,国证价值
59,国证服务
60,国证红利
61,国证治理
62,国证基建
63,国证农业
64,能源金属
65,国证芯片
66,国证算力
67,民企100
68,在线消费
69,新硬件
70,科技100
71,银河99
72,中创100
73,央视50
74,腾讯济安
75,中华A80
76,能源互联
77,金融科技
78,富时A50
79,MSCIA50
80,半导体50
81,投资时钟
82,双创50
83,区块链50
84,创新100
85,农业50
86,科创信息
87,科创生物
88,科创芯片
89,科创高装
90,科创材料
91,科创成长
92,环保50
93,国信价值
94,内地低碳
95,内地绿电
96,新兴成指
97,国企改革
98,数字经济
99,长三角
100,珠三角
101,环渤海
102,科创100
