,industry_code,industry_name
0,881002,煤炭开采
1,881005,焦炭加工
2,881007,油气开采
3,881011,石油化工
4,881008,油服工程
5,881016,日用化工
6,881019,化纤
7,881026,化学原料
8,881034,化学制品
9,881044,塑料
10,881051,橡胶
11,881055,农用化工
12,881104,非金属材料
13,881062,冶钢原料
14,881065,普钢
15,881069,特钢
16,881071,工业金属
17,881075,贵金属
18,881078,能源金属
19,881082,稀有金属
20,881087,金属新材料
21,881091,水泥
22,881094,玻璃玻纤
23,881097,装饰建材
24,881106,种植业
25,881111,养殖业
26,881115,林业
27,881116,渔业
28,881119,饲料
29,881123,农产品加工
30,881127,动物保健
31,881130,酿酒
32,881136,饮料乳品
33,881139,调味品
34,881140,休闲食品
35,881144,食品加工
36,881151,纺织制造
37,881157,服装家纺
38,881162,饰品
39,881167,造纸
40,881171,包装印刷
41,881177,家居用品
42,881180,文娱用品
43,881184,白色家电
44,881187,黑色家电
45,881190,小家电
46,881194,厨卫电器
47,881198,家电零部件
48,881200,一般零售
49,881204,商业物业经营
50,881205,专业连锁
51,881206,贸易
52,881207,电子商务
53,881212,乘用车
54,881215,商用车
55,881218,汽车零部件
56,881224,汽车服务
57,881227,摩托车及其他
58,881231,化学制药
59,881234,生物制品
60,881256,中药
61,881252,医药商业
62,881241,医疗器械
63,881247,医疗服务
64,881257,医疗美容
65,881261,电机制造
66,881262,电池
67,881268,电网设备
68,881275,光伏设备
69,881282,风电设备
70,881285,其他发电设备
71,881287,地面兵装
72,881288,航空装备
73,881289,航天装备
74,881290,航海装备
75,881291,军工电子
76,881293,轨交设备
77,881294,通用设备
78,881303,专用设备
79,881310,工程机械
80,881313,自动化设备
81,881319,半导体
82,881326,消费电子
83,881329,光学光电
84,881333,元器件
85,881336,其他电子
86,881338,通信设备
87,881347,通信工程
88,881344,电信服务
89,881352,IT设备
90,881355,软件服务
91,881359,云服务
92,881364,产业互联网
93,881369,游戏
94,881370,广告营销
95,881373,影视院线
96,881376,数字媒体
97,881380,出版业
98,881384,广播电视
99,881386,全国性银行
100,881389,地方性银行
101,881394,证券
102,881395,保险
103,881396,多元金融
104,881406,房屋建设
105,881407,基础建设
106,881410,专业工程
107,881415,工程咨询服务
108,881416,装修装饰
109,881418,房地产开发
110,881422,房产服务
111,881427,体育
112,881428,教育培训
113,881429,酒店餐饮
114,881432,旅游
115,881436,专业服务
116,881442,公路铁路
117,881446,航空机场
118,881449,航运港口
119,881452,物流
120,881459,电力
121,881467,燃气
122,881468,水务
123,881470,环保设备
124,881471,环境治理
125,881476,环境监测
126,881478,综合类
