,0
0,000007
1,000613
2,000676
3,000711
4,000835
5,000933
6,000985
7,002043
8,002046
9,002132
10,002141
11,002184
12,002194
13,002277
14,002480
15,002514
16,002582
17,002962
18,002980
19,002981
20,002985
21,300300
22,300443
23,300459
24,300492
25,300522
26,300705
27,300767
28,300787
29,300792
30,300796
31,300812
32,300819
33,600071
34,600126
35,600439
36,600692
37,600784
38,600822
39,600903
40,600936
41,600996
42,603032
43,603053
44,603080
45,603118
46,603128
47,603318
48,603336
49,603390
50,603439
51,603778
52,603920
53,603992
54,688200
55,688208
56,688365
