,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,ma0,ma1,ma2,ma3,ma4,cToMa1,cToMa2,std_cToMa1,std_cToMa2,cdlBody,cdlHl,std_cdl_b,std_cdl_f,ma_body,ma_cToMa1,ma_cToMa2,ma_min1_3,ma_max1_3,ma_band1_3,kl1_3_thresh,ma_kl1_3,ma_min1_4,ma_max1_4,ma_band1_4,kl1_4_thresh,ma_kl1_4,df_12,df_23,df_34,mv1,mv2,bodyU,bodyD,bdr,upperShadow,lowerShadow,stdCdlB,stdCdlF,maBody,zdStrengh,longUShadow,longLShadow,rng3D,rng5D,rng7D,rng9D,bRng,yby,ctpj,ybyD,wygd,tp3D,tp5D,tp7D,s001,time
0,1.6157721e+18,13804.0,4716.0,4729.0,4714.0,4725.0,22851.0,1029331.0,1030173.0,SHFE.rb2105,300,,,,,,,,,,9.0,15.0,,,,,,,,,,False,,,,,False,,,,,,4725.0,4716.0,9.0,4.0,2.0,,,,,,,,,,,9.0,False,False,False,False,False,False,False,False,2021-03-15 09:35
1,1.6157724e+18,13805.0,4725.0,4742.0,4722.0,4741.0,37321.0,1030173.0,1030553.0,SHFE.rb2105,300,,,,,,,,,,16.0,20.0,,,,,,,,,,False,,,,,False,,,,,,4741.0,4725.0,16.0,1.0,3.0,,,,,,,,,,,16.0,False,False,False,False,False,False,False,False,2021-03-15 09:40
2,1.6157727e+18,13806.0,4741.0,4749.0,4732.0,4738.0,37137.0,1030553.0,1030480.0,SHFE.rb2105,300,,,,,,,,,,-3.0,17.0,,,,,,,,,,False,,,,,False,,,,,,4741.0,4738.0,3.0,8.0,6.0,,,,,,,16.0,,,,3.0,False,False,False,False,False,False,False,False,2021-03-15 09:45
3,1.615773e+18,13807.0,4738.0,4743.0,4730.0,4740.0,22509.0,1030480.0,1032176.0,SHFE.rb2105,300,,,,,,,,,,2.0,13.0,,,,,,,,,,False,,,,,False,,,,,,4740.0,4738.0,2.0,3.0,8.0,,,,,,,3.0,,,,2.0,False,False,False,False,False,False,False,False,2021-03-15 09:50
4,1.6157733e+18,13808.0,4740.0,4757.0,4739.0,4755.0,37012.0,1032176.0,1033290.0,SHFE.rb2105,300,,,,,,,,,,15.0,18.0,,,,,,,,,,False,,,,,False,,,,,,4755.0,4740.0,15.0,2.0,1.0,,,,,,,17.0,30.0,,,15.0,False,False,False,False,False,False,False,False,2021-03-15 09:55
5,1.6157736e+18,13809.0,4755.0,4765.0,4747.0,4752.0,44110.0,1033290.0,1034650.0,SHFE.rb2105,300,,,,,,,,,,-3.0,18.0,,,,,,,,,,False,,,,,False,,,,,,4755.0,4752.0,3.0,10.0,5.0,,,,,,,15.0,17.0,,,3.0,False,False,False,False,False,False,False,False,2021-03-15 10:00
6,1.6157739e+18,13810.0,4752.0,4755.0,4734.0,4746.0,34016.0,1034650.0,1033410.0,SHFE.rb2105,300,,,,,,,,,,-6.0,21.0,,,,,,,,,,False,,,,,False,,,,,,4752.0,4746.0,6.0,3.0,12.0,,,,,,,9.0,17.0,30.0,,6.0,False,False,False,False,False,False,False,False,2021-03-15 10:05
7,1.6157742e+18,13811.0,4746.0,4754.0,4740.0,4749.0,19328.0,1033410.0,1034360.0,SHFE.rb2105,300,4743.25,,,,,,,,,3.0,14.0,,,,,,,,,,False,,,,,False,,,,31785.5,,4749.0,4746.0,3.0,5.0,6.0,,,,,,,6.0,15.0,17.0,,3.0,False,False,False,False,False,False,False,False,2021-03-15 10:10
8,1.6157754e+18,13812.0,4749.0,4749.0,4734.0,4740.0,26063.0,1034360.0,1035745.0,SHFE.rb2105,300,4745.125,,,,,,,,,-9.0,15.0,,,,,,,,,,False,,,,,False,,,,32187.0,,4749.0,4740.0,9.0,0.0,6.0,,,,,,,9.0,15.0,17.0,30.0,9.0,False,False,False,False,False,False,False,False,2021-03-15 10:30
9,1.6157757e+18,13813.0,4740.0,4743.0,4727.0,4729.0,23328.0,1035745.0,1037430.0,SHFE.rb2105,300,4743.625,,,,,,,,,-11.0,16.0,,,,,,,,,,False,,,,,False,,,,30437.875,,4740.0,4729.0,11.0,3.0,2.0,,,,,,,20.0,23.0,26.0,26.0,11.0,False,False,False,False,False,False,False,False,2021-03-15 10:35
10,1.615776e+18,13814.0,4729.0,4743.0,4728.0,4741.0,17495.0,1037430.0,1035572.0,SHFE.rb2105,300,4744.0,,,,,,,,,12.0,15.0,,,,,,,,,,False,,,,,False,,,,27982.625,,4741.0,4729.0,12.0,2.0,1.0,,,,,,,12.0,20.0,26.0,26.0,12.0,False,False,False,False,False,False,False,False,2021-03-15 10:40
