,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,ma0,ma1,ma2,ma3,ma4,cToMa1,cToMa2,std_cToMa1,std_cToMa2,cdlBody,cdlHl,std_cdl_b,std_cdl_f,ma_body,ma_cToMa1,ma_cToMa2,ma_min1_3,ma_max1_3,ma_band1_3,kl_base_ref,kl1_3_thresh,ma_kl1_3,ma_min1_4,ma_max1_4,ma_band1_4,kl1_4_thresh,ma_kl1_4,df_12,df_23,df_34,mv1,mv2,bodyU,bodyD,bdr,upperShadow,lowerShadow,stdCdlB,stdCdlF,maBody,zdStrengh,longUShadow,longLShadow,rng3D,rng5D,rng7D,rng9D,bRng,yby,ctpj,ybyD,wygd,tp3D,tp5D,tp7D,s001,time
0,1.6166793e+18,14401.0,4790.0,4795.0,4783.0,4792.0,32375.0,933967.0,935005.0,SHFE.rb2105,300,4792.0,4792.0,4792.0,4792.0,4792.0,0.0,0.0,,,2.0,12.0,,,,,,4792.0,4792.0,0.0,0.4792,0.57504,True,4792.0,4792.0,0.0,0.57504,True,0.0,0.0,0.0,,,4792.0,4790.0,2.0,3.0,7.0,,,,,,,,,,,2.0,False,False,False,False,False,False,False,False,2021-03-25 21:35
1,1.6166796e+18,14402.0,4792.0,4795.0,4788.0,4792.0,14702.0,935005.0,935309.0,SHFE.rb2105,300,4792.0,4792.0,4792.0,4792.0,4792.0,0.0,0.0,,,0.0,7.0,,,,,,4792.0,4792.0,0.0,0.4792,0.57504,True,4792.0,4792.0,0.0,0.57504,True,0.0,0.0,0.0,,,4792.0,4792.0,0.0,3.0,4.0,,,,,,,,,,,0.0,False,False,False,False,False,False,False,False,2021-03-25 21:40
2,1.6166799e+18,14403.0,4792.0,4796.0,4786.0,4786.0,19187.0,935309.0,936087.0,SHFE.rb2105,300,4790.666666666667,4791.428571428572,4791.70731707317,4791.803278688524,4791.900826446282,-5.4285714285715585,-5.707317073170088,,,-6.0,10.0,,,,,,4791.428571428572,4791.803278688524,0.3747072599526291,0.47917073170731705,0.5750048780487804,True,4791.428571428572,4791.900826446282,0.47225501771026757,0.5750048780487804,True,-0.2787456445985299,-0.0959616153540992,-0.09754775775763846,,,4792.0,4786.0,6.0,4.0,0.0,,,,,,,6.0,,,,6.0,False,False,False,False,False,False,False,False,2021-03-25 21:45
3,1.6166802e+18,14404.0,4786.0,4791.0,4784.0,4786.0,15132.0,936087.0,935488.0,SHFE.rb2105,300,4789.62962962963,4790.911564625851,4791.4289113622835,4791.613007256114,4791.803292124856,-4.911564625850588,-5.428911362283543,,,0.0,7.0,,,,,,4790.911564625851,4791.613007256114,0.7014426302630454,0.4791428911362284,0.5749714693634741,False,4790.911564625851,4791.803292124856,0.8917274990053556,0.5749714693634741,False,-0.5173467364329554,-0.18409589383009006,-0.1902848687423102,,,4786.0,4786.0,0.0,5.0,2.0,,,,,,,6.0,,,,0.0,False,False,False,False,False,False,False,False,2021-03-25 21:50
4,1.6166805e+18,14405.0,4786.0,4789.0,4782.0,4785.0,15266.0,935488.0,935211.0,SHFE.rb2105,300,4788.600823045267,4790.348558471007,4791.115305929977,4791.396187346078,4791.690841015355,-5.348558471006982,-6.115305929976785,,,-1.0,7.0,,,,,,4790.348558471007,4791.396187346078,1.0476288750705862,0.4791115305929977,0.5749338367115973,False,4790.348558471007,4791.690841015355,1.342282544347654,0.5749338367115973,False,-0.7667474589698031,-0.2808814161007831,-0.2946536692770678,,,4786.0,4785.0,1.0,3.0,3.0,,,,,,,1.0,7.0,,,1.0,False,False,False,False,False,False,False,False,2021-03-25 21:55
5,1.6166808e+18,14406.0,4785.0,4791.0,4785.0,4789.0,10491.0,935211.0,934639.0,SHFE.rb2105,300,4788.689529035208,4790.220124330912,4791.012120274856,4791.317623826533,4791.646364304357,-1.2201243309118581,-2.012120274855988,,,4.0,6.0,,,,,,4790.220124330912,4791.317623826533,1.0974994956213777,0.4791012120274856,0.5749214544329828,False,4790.220124330912,4791.646364304357,1.4262399734452629,0.5749214544329828,False,-0.79199594394413,-0.30550355167724774,-0.32874047782388516,,,4789.0,4785.0,4.0,2.0,0.0,,,,,,,4.0,7.0,,,4.0,False,False,False,False,False,False,False,False,2021-03-25 22:00
6,1.6166811e+18,14407.0,4789.0,4790.0,4784.0,4784.0,9388.0,934639.0,934880.0,SHFE.rb2105,300,4787.6474114718285,4789.627731537492,4790.6700656273015,4791.07770173386,4791.519978117508,-5.627731537491854,-6.670065627301483,,,-5.0,6.0,,,,,,4789.627731537492,4791.07770173386,1.449970196367758,0.47906700656273016,0.5748804078752763,False,4789.627731537492,4791.519978117508,1.8922465800160353,0.5748804078752763,False,-1.0423340898096285,-0.40763610655812954,-0.44227638364827726,,,4789.0,4784.0,5.0,1.0,0.0,,,,,,,5.0,5.0,8.0,,5.0,False,False,False,False,False,False,False,False,2021-03-25 22:05
7,1.6166814e+18,14408.0,4784.0,4790.0,4782.0,4788.0,11712.0,934880.0,934705.0,SHFE.rb2105,300,4787.725764478089,4789.472709486302,4790.539818523531,4790.97679348029,4791.46179666102,-1.4727094863019374,-2.539818523530812,,,4.0,8.0,,,,,,4789.472709486302,4790.97679348029,1.504083993988388,0.4790539818523531,0.5748647782228237,False,4789.472709486302,4791.46179666102,1.9890871747184065,0.5748647782228237,False,-1.0671090372288745,-0.4369749567595136,-0.48500318073001836,16031.625,,4788.0,4784.0,4.0,2.0,2.0,,,,,,,5.0,5.0,8.0,,4.0,False,False,False,False,False,False,False,False,2021-03-25 22:10
8,1.6166817e+18,14409.0,4788.0,4794.0,4783.0,4794.0,10621.0,934705.0,934012.0,SHFE.rb2105,300,4789.120039038514,4789.903880011416,4790.708607863847,4791.075915005526,4791.5037504352185,4.096119988584178,3.291392136153263,,,6.0,11.0,,,,,,4789.903880011416,4791.075915005526,1.1720349941106178,0.4790708607863847,0.5748850329436617,False,4789.903880011416,4791.5037504352185,1.599870423802713,0.5748850329436617,False,-0.8047278524309149,-0.3673071416797029,-0.4278354296920952,13312.375,,4794.0,4788.0,6.0,0.0,5.0,,,,,,,10.0,10.0,10.0,10.0,6.0,False,False,False,False,False,False,False,False,2021-03-25 22:15
9,1.616682e+18,14410.0,4794.0,4815.0,4792.0,4806.0,60496.0,934012.0,936664.0,SHFE.rb2105,300,4792.871141474399,4791.436843819852,4791.454529431463,4791.56522926764,4791.743357866042,14.563156180148326,14.545470568536985,,,12.0,23.0,,,,,,4791.436843819852,4791.56522926764,0.12838544778787764,0.4791454529431463,0.5749745435317756,True,4791.436843819852,4791.743357866042,0.3065140461903866,0.5749745435317756,True,-0.0176856116113413,-0.11069983617653634,-0.17812859840250894,19036.625,,4806.0,4794.0,12.0,9.0,2.0,,,,,,,18.0,22.0,22.0,22.0,12.0,False,False,False,False,False,False,False,False,2021-03-25 22:20
10,1.6166823e+18,14411.0,4806.0,4811.0,4801.0,4806.0,23435.0,936664.0,938429.0,SHFE.rb2105,300,4795.788665591199,4792.823811075104,4792.164064581147,4792.038500439192,4791.979004843463,13.17618892489645,13.835935418853296,,,0.0,10.0,,,,,,4792.038500439192,4792.823811075104,0.7853106359116282,0.4792164064581147,0.5750596877497376,False,4791.979004843463,4792.823811075104,0.8448062316401774,0.5750596877497376,False,0.6597464939568454,0.12556414195478283,0.05949559572854923,19567.625,,4806.0,4806.0,0.0,5.0,5.0,,,,,,,12.0,22.0,22.0,22.0,0.0,False,False,False,False,False,False,False,False,2021-03-25 22:25
11,1.6166826e+18,14412.0,4806.0,4810.0,4798.0,4805.0,27937.0,938429.0,939772.0,SHFE.rb2105,300,4797.835628793155,4793.98344811557,4792.79020777231,4792.463467637906,4792.194227903902,11.016551884429646,12.209792227689832,,,-1.0,12.0,,,,,,4792.463467637906,4793.98344811557,1.5199804776639212,0.47927902077723106,0.5751348249326773,False,4792.194227903902,4793.98344811557,1.7892202116681801,0.5751348249326773,False,1.193240343260186,0.3267401344037353,0.26923973400425893,21168.25,,4806.0,4805.0,1.0,4.0,7.0,,,,,,,1.0,18.0,22.0,22.0,1.0,False,False,False,False,False,False,False,False,2021-03-25 22:30
12,1.6166829e+18,14413.0,4805.0,4810.0,4803.0,4805.0,12146.0,939772.0,939947.0,SHFE.rb2105,300,4799.427711283564,4795.032643533135,4793.385807393172,4792.874501485844,4792.4058935583835,9.967356466864658,11.6141926068276,,,0.0,7.0,,,,,,4792.874501485844,4795.032643533135,2.1581420472912214,0.4793385807393173,0.5752062968871807,False,4792.4058935583835,4795.032643533135,2.626749974751874,0.5752062968871807,False,1.646836139962943,0.5113059073282784,0.4686079274606527,20778.25,,4805.0,4805.0,0.0,5.0,2.0,,,,,,,1.0,12.0,22.0,22.0,0.0,False,False,False,False,False,False,False,False,2021-03-25 22:35
13,1.6166832e+18,14414.0,4805.0,4806.0,4795.0,4797.0,20012.0,939947.0,938067.0,SHFE.rb2105,300,4798.888219887216,4795.220010815694,4793.562109471554,4793.00976373221,4792.481829202047,1.7799891843060323,3.4378905284456778,,,-8.0,11.0,,,,,,4793.00976373221,4795.220010815694,2.210247083484319,0.47935621094715547,0.5752274531365866,False,4792.481829202047,4795.220010815694,2.7381816136467023,0.5752274531365866,False,1.6579013441396455,0.5523457393446733,0.5279345301623835,21968.375,,4805.0,4797.0,8.0,1.0,2.0,,,,,,,8.0,9.0,18.0,22.0,8.0,False,False,False,False,False,False,False,False,2021-03-25 22:40
14,1.6166835e+18,14415.0,4797.0,4802.0,4796.0,4799.0,15148.0,938067.0,936205.0,SHFE.rb2105,300,4798.913059912279,4795.580009785628,4793.827372424161,4793.206164921317,4792.589567562344,3.4199902143718646,5.172627575839215,,,2.0,6.0,,,,,,4793.206164921317,4795.580009785628,2.3738448643107404,0.4793827372424161,0.5752592846908993,False,4792.589567562344,4795.580009785628,2.990442223283935,0.5752592846908993,False,1.7526373614673503,0.6212075028433901,0.6165973589731948,22688.375,,4799.0,4797.0,2.0,3.0,1.0,,,,,,,8.0,9.0,12.0,22.0,2.0,False,False,False,False,False,False,False,False,2021-03-25 22:45
15,1.6166838e+18,14416.0,4799.0,4802.0,4790.0,4795.0,19329.0,936205.0,932897.0,SHFE.rb2105,300,4798.043491042884,4795.524770758426,4793.884573769324,4793.264979186192,4792.629409420819,-0.5247707584258023,1.1154262306763485,,,-4.0,12.0,,,,,,4793.264979186192,4795.524770758426,2.259791572233553,0.47938845737693236,0.5752661488523187,False,4792.629409420819,4795.524770758426,2.895361337607028,0.5752661488523187,False,1.6401969891021508,0.619594583131402,0.6355697653734751,23640.5,,4799.0,4795.0,4.0,3.0,5.0,,,,,,,4.0,10.0,11.0,18.0,4.0,False,False,False,False,False,False,False,False,2021-03-25 22:50
