,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,ma0,ma1,ma2,ma3,ma4,cToMa1,cToMa2,std_cToMa1,std_cToMa2,cdlBody,cdlHl,std_cdl_b,std_cdl_f,ma_body,ma_cToMa1,ma_cToMa2,ma_min1_3,ma_max1_3,ma_band1_3,ma_kl1_3,ma_min1_4,ma_max1_4,ma_band1_4,ma_kl1_4,df_12,df_23,df_34,mv1,mv2,bodyU,bodyD,bdr,upperShadow,lowerShadow,stdCdlB,stdCdlF,maBody,zdStrengh,longUShadow,longLShadow,rng3D,rng5D,rng7D,rng9D,bRng,yby,ctpj,ybyD,wygd,tp3D,tp5D,tp7D,time
0,1.6171113e+18,14608.0,4954.0,4959.0,4948.0,4956.0,24187.0,842089.0,839171.0,SHFE.rb2105,300,,,,,,,,,,2.0,11.0,,,,,,,,,False,,,,False,,,,,,4956.0,4954.0,2.0,3.0,6.0,,,,,,,,,,,2.0,False,False,False,False,False,False,False,2021-03-30 21:35
1,1.6171116e+18,14609.0,4956.0,4960.0,4954.0,4956.0,22500.0,839171.0,838386.0,SHFE.rb2105,300,,,,,,,,,,0.0,6.0,,,,,,,,,False,,,,False,,,,,,4956.0,4956.0,0.0,4.0,2.0,,,,,,,,,,,0.0,False,False,False,False,False,False,False,2021-03-30 21:40
2,1.6171119e+18,14610.0,4956.0,4959.0,4955.0,4959.0,9580.0,838386.0,839160.0,SHFE.rb2105,300,,,,,,,,,,3.0,4.0,,,,,,,,,False,,,,False,,,,,,4959.0,4956.0,3.0,0.0,1.0,,,,,,,3.0,,,,3.0,False,False,False,False,False,False,False,2021-03-30 21:45
3,1.6171122e+18,14611.0,4959.0,4961.0,4956.0,4958.0,11964.0,839160.0,839176.0,SHFE.rb2105,300,,,,,,,,,,-1.0,5.0,,,,,,,,,False,,,,False,,,,,,4959.0,4958.0,1.0,2.0,2.0,,,,,,,3.0,,,,1.0,False,False,False,False,False,False,False,2021-03-30 21:50
4,1.6171125e+18,14612.0,4958.0,4959.0,4950.0,4955.0,21831.0,839176.0,836522.0,SHFE.rb2105,300,,,,,,,,,,-3.0,9.0,,,,,,,,,False,,,,False,,,,,,4958.0,4955.0,3.0,1.0,5.0,,,,,,,4.0,4.0,,,3.0,False,False,False,False,False,False,False,2021-03-30 21:55
5,1.6171128e+18,14613.0,4955.0,4959.0,4952.0,4957.0,11045.0,836522.0,836214.0,SHFE.rb2105,300,,,,,,,,,,2.0,7.0,,,,,,,,,False,,,,False,,,,,,4957.0,4955.0,2.0,2.0,3.0,,,,,,,3.0,4.0,,,2.0,False,False,False,False,False,False,False,2021-03-30 22:00
6,1.6171131e+18,14614.0,4957.0,4958.0,4953.0,4958.0,7730.0,836214.0,835839.0,SHFE.rb2105,300,,,,,,,,,,1.0,5.0,,,,,,,,,False,,,,False,,,,,,4958.0,4957.0,1.0,0.0,4.0,,,,,,,3.0,4.0,4.0,,1.0,False,False,False,False,False,False,False,2021-03-30 22:05
7,1.6171134e+18,14615.0,4958.0,4963.0,4955.0,4960.0,16955.0,835839.0,835698.0,SHFE.rb2105,300,4957.375,,,,,,,,,2.0,8.0,,,,,,,,,False,,,,False,,,,15724.0,,4960.0,4958.0,2.0,3.0,3.0,,,,,,,3.0,5.0,5.0,,2.0,False,False,False,False,False,False,False,2021-03-30 22:10
8,1.6171137e+18,14616.0,4960.0,4961.0,4955.0,4956.0,10511.0,835698.0,835826.0,SHFE.rb2105,300,4957.375,,,,,,,,,-4.0,6.0,,,,,,,,,False,,,,False,,,,14014.5,,4960.0,4956.0,4.0,1.0,1.0,,,,,,,4.0,5.0,5.0,5.0,4.0,False,False,False,False,False,False,False,2021-03-30 22:15
9,1.617114e+18,14617.0,4956.0,4957.0,4952.0,4955.0,11231.0,835826.0,835797.0,SHFE.rb2105,300,4957.25,,,,,,,,,-1.0,5.0,,,,,,,,,False,,,,False,,,,12605.875,,4956.0,4955.0,1.0,1.0,3.0,,,,,,,5.0,5.0,5.0,5.0,1.0,False,False,False,False,False,False,False,2021-03-30 22:20
10,1.6171143e+18,14618.0,4955.0,4957.0,4951.0,4952.0,10530.0,835797.0,834312.0,SHFE.rb2105,300,4956.375,,,,,,,,,-3.0,6.0,,,,,,,,,False,,,,False,,,,12724.625,,4955.0,4952.0,3.0,2.0,1.0,,,,,,,4.0,8.0,8.0,8.0,3.0,False,False,False,False,False,False,False,2021-03-30 22:25
11,1.6171146e+18,14619.0,4952.0,4959.0,4952.0,4959.0,8035.0,834312.0,833220.0,SHFE.rb2105,300,4956.5,,,,,,,,,7.0,7.0,,,,,,,,,False,,,,False,,,,12233.5,,4959.0,4952.0,7.0,0.0,0.0,,,,,,,7.0,8.0,8.0,8.0,7.0,False,False,False,False,False,False,False,2021-03-30 22:30
12,1.6171149e+18,14620.0,4959.0,4961.0,4953.0,4955.0,9749.0,833220.0,832497.0,SHFE.rb2105,300,4956.5,,,,,,,,,-4.0,8.0,,,,,,,,,False,,,,False,,,,10723.25,,4959.0,4955.0,4.0,2.0,2.0,,,,,,,7.0,7.0,8.0,8.0,4.0,False,False,False,False,False,False,False,2021-03-30 22:35
13,1.6171152e+18,14621.0,4955.0,4963.0,4954.0,4961.0,13613.0,832497.0,831520.0,SHFE.rb2105,300,4957.0,,,,,,,,,6.0,9.0,,,,,,,,,False,,,,False,,,,11044.25,,4961.0,4955.0,6.0,2.0,1.0,,,,,,,6.0,9.0,9.0,9.0,6.0,False,False,False,False,False,False,False,2021-03-30 22:40
14,1.6171155e+18,14622.0,4961.0,4963.0,4955.0,4956.0,13875.0,831520.0,831000.0,SHFE.rb2105,300,4956.75,,,,,,,,,-5.0,8.0,,,,,,,,,False,,,,False,,,,11812.375,,4961.0,4956.0,5.0,2.0,1.0,,,,,,,6.0,9.0,9.0,9.0,5.0,False,False,False,False,False,False,False,2021-03-30 22:45
