,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
0,sh000001,上证指数,3412.0747,48.483,1.441,3363.5915,3373.3171,3415.4126,3373.3171,185931893,216738155051
1,sh000002,Ａ股指数,3576.4299,50.871,1.443,3525.5589,3535.7696,3579.9322,3535.7696,185831374,216601183157
2,sh000003,Ｂ股指数,243.5548,1.204,0.497,242.3508,242.3281,243.7229,242.3109,86060,44728048
3,sh000004,工业指数,2984.3646,54.27,1.852,2930.0945,2938.3645,2989.0462,2938.3645,115424809,146948502709
4,sh000005,商业指数,3171.3124,30.949,0.986,3140.3635,3146.0526,3173.1833,3146.0526,11466507,14823650462
5,sh000006,地产指数,6322.0533,-0.624,-0.01,6322.6768,6345.483,6363.6199,6318.2366,1912665,1297757464
6,sh000007,公用指数,4395.2515,89.659,2.082,4305.5929,4319.1455,4400.4939,4319.1455,24064194,14340891065
7,sh000008,综合指数,3010.9933,22.809,0.763,2988.184,2997.6703,3014.4951,2997.3515,33063718,39327353351
8,sh000009,上证380,5759.3476,93.611,1.652,5665.7368,5674.003,5762.9989,5674.003,38170879,43813088471
9,sh000010,上证180,10371.3073,165.875,1.625,10205.4327,10252.1938,10388.876,10252.1938,58709887,96175824951
10,sh000011,基金指数,7169.8471,73.996,1.043,7095.8516,7106.2894,7173.857,7106.2894,91544015,33279669320
11,sh000012,国债指数,185.1407,-0.003,-0.001,185.1434,185.1598,185.1671,185.0917,64997,61300441
12,sh000013,企债指数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,sh000015,红利指数,2711.8312,29.182,1.088,2682.6495,2691.1947,2717.7557,2689.1965,16184125,11314362214
14,sh000016,上证50,3521.6518,57.779,1.668,3463.8727,3483.6948,3529.2662,3480.3337,16237806,48290779922
15,sh000017,新综指,2883.7983,41.021,1.443,2842.7776,2851.0119,2886.6243,2851.0119,172602709,197257921222
16,sh000018,180金融,5652.4655,29.872,0.531,5622.5931,5646.61,5672.7163,5631.2278,18441456,20415653490
17,sh000019,治理指数,1149.6428,15.381,1.356,1134.2623,1139.1596,1151.0975,1139.1596,58440556,59654052946
18,sh000020,中型综指,1285.2708,18.88,1.491,1266.3907,1267.4849,1285.8049,1267.4849,18477074,25211254324
19,sh000021,180治理,1069.9257,14.061,1.332,1055.8644,1061.0003,1071.3964,1060.8778,35033897,43524103272
20,sh000022,沪公司债,213.4815,0.039,0.018,213.4427,213.4706,213.4822,213.4583,711634,700722578
21,sh000025,180基建,1556.5991,6.496,0.419,1550.1026,1549.9676,1563.4864,1549.8968,6915665,5003460483
22,sh000026,180资源,2710.4402,40.503,1.517,2669.9372,2673.5556,2714.009,2664.5623,7761221,9092547622
23,sh000027,180运输,956.0488,23.996,2.575,932.0528,936.7516,971.2956,936.7516,4158212,3537659830
24,sh000028,180成长,5284.7328,103.871,2.005,5180.8621,5209.6397,5302.2531,5209.6397,12393897,49901766299
25,sh000029,180价值,4184.9211,25.339,0.609,4159.5824,4175.0736,4199.0525,4170.7579,25224058,25678228203
26,sh000030,180R成长,3138.8956,68.291,2.224,3070.6042,3085.9464,3146.1397,3085.9464,38637348,80523329312
27,sh000031,180R价值,3067.5764,30.424,1.002,3037.1524,3049.2434,3071.0615,3048.8854,51467509,56299791216
28,sh000032,上证能源,1157.5765,2.078,0.18,1155.4983,1152.3134,1161.1861,1148.6217,6066611,3152683138
29,sh000033,上证材料,2658.0396,48.945,1.876,2609.0947,2624.2428,2662.8932,2617.1219,24180738,22055229339
