,ma20,ma40,ma60,ma80,bias_cdl_b,bias_cdl_l,min,max,band
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,4802.9,,,,10.14876191567487,6.176355593799035,6.176355593799035,4802.9,4796.723644406201
20,4803.1,,,,10.093640520018951,6.176355593799035,6.176355593799035,4803.1,4796.923644406202
21,4802.6,,,,9.93915701180252,6.3734647274131,6.3734647274131,4802.6,4796.226535272587
22,4801.85,,,,9.776986943031607,6.439189226504904,6.439189226504904,4801.85,4795.4108107734955
23,4801.05,,,,9.791913957310308,6.357755313912209,6.357755313912209,4801.05,4794.692244686088
24,4800.4,,,,9.842977726598583,6.311851842701199,6.311851842701199,4800.4,4794.088148157299
25,4798.65,,,,8.150556971604361,5.395904879970013,5.395904879970013,4798.65,4793.25409512003
26,4796.35,,,,7.601073331410092,5.314082581613738,5.314082581613738,4796.35,4791.035917418387
27,4794.45,,,,7.104483388011146,6.5892655928131765,6.5892655928131765,4794.45,4787.860734407187
28,4793.25,,,,5.6157672766295414,5.250563879492524,5.250563879492524,4793.25,4787.999436120507
29,4792.8,,,,4.833000593507322,5.169750070310331,4.833000593507322,4792.8,4787.9669994064925
30,4792.6,,,,5.01864943040089,5.114221657094531,5.01864943040089,4792.6,4787.5813505696
31,4793.15,,,,5.014715188428218,5.2503132738613045,5.014715188428218,4793.15,4788.135284811571
32,4793.55,,,,5.024937810560448,5.32521311656558,5.024937810560448,4793.55,4788.52506218944
33,4793.6,,,,5.245549492063175,5.316310552886922,5.245549492063175,4793.6,4788.354450507937
34,4793.3,,,,4.860961568292952,5.212333551551702,4.860961568292952,4793.3,4788.439038431708
35,4792.85,,,,4.811171210947772,5.277559244475364,4.811171210947772,4792.85,4788.038828789053
36,4792.25,,,,4.95107643798163,5.232489595634286,4.95107643798163,4792.25,4787.298923562018
37,4791.85,,,,4.9148004189279915,5.31606304663418,4.9148004189279915,4791.85,4786.935199581072
38,4790.95,,,,4.430456790041076,5.341988590896013,4.430456790041076,4790.95,4786.519543209959
39,4790.65,4796.775,,,4.01936103851032,5.381254011551779,4.01936103851032,4796.775,4792.755638961489
40,4790.1,4796.6,,,4.111601045565433,5.46062460279331,4.111601045565433,4796.6,4792.488398954435
41,4789.95,4796.275,,,4.007886961322246,5.434780778031729,4.007886961322246,4796.275,4792.267113038677
42,4789.9,4795.875,,,4.105195680956925,5.434780778031729,4.105195680956925,4795.875,4791.769804319043
