,ma20,ma40,ma60,ma80,bias_cdl_b,bias_cdl_l,mazf,min,max,band,makl
0,,,,,,,,,,,False
1,,,,,,,,,,,False
2,,,,,,,,,,,False
3,,,,,,,,,,,False
4,,,,,,,,,,,False
5,,,,,,,,,,,False
6,,,,,,,,,,,False
7,,,,,,,,,,,False
8,,,,,,,,,,,False
9,,,,,,,,,,,False
10,,,,,,,,,,,False
11,,,,,,,,,,,False
12,,,,,,,,,,,False
13,,,,,,,,,,,False
14,,,,,,,,,,,False
15,,,,,,,,,,,False
16,,,,,,,,,,,False
17,,,,,,,,,,,False
18,,,,,,,,,,,False
19,4802.9,,,,10.14876191567487,6.176355593799035,0.45,4802.9,4802.9,0.0,True
20,4803.1,,,,10.093640520018951,6.176355593799035,0.25,4803.1,4803.1,0.0,True
21,4802.6,,,,9.93915701180252,6.3734647274131,-0.45,4802.6,4802.6,0.0,False
22,4801.85,,,,9.776986943031607,6.439189226504904,-0.7,4801.85,4801.85,0.0,False
23,4801.05,,,,9.791913957310308,6.357755313912209,-0.75,4801.05,4801.05,0.0,False
24,4800.4,,,,9.842977726598583,6.311851842701199,-0.6,4800.4,4800.4,0.0,False
25,4798.65,,,,8.150556971604361,5.395904879970013,-1.7,4798.65,4798.65,0.0,False
26,4796.35,,,,7.601073331410092,5.314082581613738,-2.25,4796.35,4796.35,0.0,False
27,4794.45,,,,7.104483388011146,6.5892655928131765,-1.5,4794.45,4794.45,0.0,False
28,4793.25,,,,5.6157672766295414,5.250563879492524,-0.8,4793.25,4793.25,0.0,False
29,4792.8,,,,4.833000593507322,5.169750070310331,-0.1,4792.8,4792.8,0.0,False
30,4792.6,,,,5.01864943040089,5.114221657094531,0.15,4792.6,4792.6,0.0,True
31,4793.15,,,,5.014715188428218,5.2503132738613045,0.9,4793.15,4793.15,0.0,True
32,4793.55,,,,5.024937810560448,5.32521311656558,0.75,4793.55,4793.55,0.0,True
33,4793.6,,,,5.245549492063175,5.316310552886922,0.4,4793.6,4793.6,0.0,True
